name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"22,769,744,000,000","21,267,275,000,000","19,467,424,000,000","18,148,889,000,000","16,815,597,000,000","15,251,382,000,000","13,874,299,000,000","12,680,615,000,000","11,830,066,000,000","10,459,865,000,000","8,751,943,000,000","6,955,694,000,000","5,995,553,000,000","5,325,273,000,000","4,742,806,000,000","4,270,443,000,000","3,979,965,000,000"
	TotalAssets,"22,769,744,000,000","21,267,275,000,000","19,467,424,000,000","18,148,889,000,000","16,815,597,000,000","15,251,382,000,000","13,874,299,000,000","12,680,615,000,000","11,830,066,000,000","10,459,865,000,000","8,751,943,000,000","6,955,694,000,000","5,995,553,000,000","5,325,273,000,000","4,742,806,000,000","4,270,443,000,000","3,979,965,000,000"
TotalAssets,"22,769,744,000,000","21,267,275,000,000","19,467,424,000,000","18,148,889,000,000","16,815,597,000,000","15,251,382,000,000","13,874,299,000,000","12,680,615,000,000","11,830,066,000,000","10,459,865,000,000","8,751,943,000,000","6,955,694,000,000","5,995,553,000,000","5,325,273,000,000","4,742,806,000,000","4,270,443,000,000","3,979,965,000,000"
	TotalLiabilitiesNetMinorityInterest,"20,793,048,000,000","19,541,878,000,000","17,890,745,000,000","16,661,797,000,000","15,457,992,000,000","14,067,954,000,000","12,912,822,000,000","11,819,073,000,000","11,074,172,000,000","9,783,715,000,000","8,206,549,000,000","6,461,793,000,000","5,540,560,000,000","4,907,459,000,000","4,480,186,000,000","4,037,705,000,000","3,750,489,000,000"
		TotalLiabilitiesNetMinorityInterest,"20,793,048,000,000","19,541,878,000,000","17,890,745,000,000","16,661,797,000,000","15,457,992,000,000","14,067,954,000,000","12,912,822,000,000","11,819,073,000,000","11,074,172,000,000","9,783,715,000,000","8,206,549,000,000","6,461,793,000,000","5,540,560,000,000","4,907,459,000,000","4,480,186,000,000","4,037,705,000,000","3,750,489,000,000"
	StockholdersEquity,"1,851,701,000,000","1,612,980,000,000","1,496,016,000,000","1,411,682,000,000","1,304,946,000,000","1,140,859,000,000","923,916,000,000","824,677,000,000","723,162,000,000","644,165,000,000","514,992,000,000","468,272,000,000","424,766,000,000","388,254,000,000","233,842,000,000","205,351,000,000","203,752,000,000"
		CapitalStock,"454,289,000,000","394,102,000,000","394,102,000,000","394,102,000,000","394,102,000,000","360,476,000,000","279,365,000,000","279,147,000,000","279,147,000,000","279,147,000,000","253,839,000,000","253,839,000,000","253,839,000,000","253,839,000,000","209,427,000,000","186,390,000,000","186,390,000,000"
		RetainedEarnings,"776,940,000,000","686,405,000,000","646,558,000,000","560,339,000,000","482,181,000,000","407,836,000,000","323,673,000,000","242,899,000,000","209,816,000,000","148,355,000,000","100,758,000,000","79,349,000,000","65,223,000,000","39,884,000,000","12,585,000,000","17,373,000,000","-26,624,000,000"
		StockholdersEquity,"1,851,701,000,000","1,612,980,000,000","1,496,016,000,000","1,411,682,000,000","1,304,946,000,000","1,140,859,000,000","923,916,000,000","824,677,000,000","723,162,000,000","644,165,000,000","514,992,000,000","468,272,000,000","424,766,000,000","388,254,000,000","233,842,000,000","205,351,000,000","203,752,000,000"
	TotalAssets,"22,769,744,000,000","21,267,275,000,000","19,467,424,000,000","18,148,889,000,000","16,815,597,000,000","15,251,382,000,000","13,874,299,000,000","12,680,615,000,000","11,830,066,000,000","10,459,865,000,000","8,751,943,000,000","6,955,694,000,000","5,995,553,000,000","5,325,273,000,000","4,742,806,000,000","4,270,443,000,000","3,979,965,000,000"
