name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
OperatingCashFlow,"185,236,000,000","-484,266,000,000","662,358,000,000","406,136,000,000","182,081,000,000","672,094,000,000","126,918,000,000","222,840,000,000","263,924,000,000","214,357,000,000","308,997,000,000","-120,093,000,000","424,767,000,000","51,383,000,000","27,908,000,000","13,883,000,000","-100,738,000,000","-60,699,000,000"
	NetIncome,"189,023,000,000","187,405,000,000","180,086,000,000","172,407,000,000","164,578,000,000","170,845,000,000","169,595,000,000","156,911,000,000","139,432,000,000","124,182,000,000","104,418,000,000","80,819,000,000","63,539,000,000","56,229,000,000","41,892,000,000","27,492,000,000","20,932,000,000","28,707,000,000"
	DepreciationAndAmortization,,"25,355,000,000","17,043,000,000","16,769,000,000","15,691,000,000","15,608,000,000","15,563,000,000","15,690,000,000","14,075,000,000","12,257,000,000","10,319,000,000","8,691,000,000","6,259,000,000","7,445,000,000",,,,
	ChangeInWorkingCapital,,"-679,860,000,000","483,552,000,000","241,919,000,000","40,246,000,000","525,154,000,000","-32,484,000,000","82,837,000,000","146,499,000,000","109,364,000,000","229,614,000,000","-191,230,000,000","362,522,000,000","-39,657,000,000",,,,
	FreeCashFlow,"146,047,000,000","-523,285,000,000","620,209,000,000","360,125,000,000","147,834,000,000","635,152,000,000","91,810,000,000","188,069,000,000","234,434,000,000","181,902,000,000","285,007,000,000","-154,720,000,000","402,989,000,000","39,037,000,000","20,483,000,000","7,932,000,000","-107,495,000,000","-66,637,000,000"
	OtherNonCashItems,,"-70,335,000,000","-99,294,000,000","-88,161,000,000","-89,072,000,000","-59,274,000,000","-48,381,000,000","-23,510,000,000","-19,387,000,000","-19,355,000,000","-12,993,000,000","-14,987,000,000","-43,130,000,000","-17,582,000,000",,,,
	OperatingCashFlow,"185,236,000,000","-484,266,000,000","662,358,000,000","406,136,000,000","182,081,000,000","672,094,000,000","126,918,000,000","222,840,000,000","263,924,000,000","214,357,000,000","308,997,000,000","-120,093,000,000","424,767,000,000","51,383,000,000","27,908,000,000","13,883,000,000","-100,738,000,000","-60,699,000,000"
InvestingCashFlow,"125,357,000,000","-165,678,000,000","-182,493,000,000","-505,090,000,000","-246,386,000,000","-757,279,000,000","-200,599,000,000","-72,149,000,000","-182,546,000,000","55,774,000,000","-194,943,000,000","-196,916,000,000","25,040,000,000","-7,350,000,000","-6,313,000,000","-2,425,000,000","-2,423,000,000","13,266,000,000"
	CapitalExpenditure,"-39,189,000,000","-39,019,000,000","-42,149,000,000","-46,011,000,000","-34,247,000,000","-36,942,000,000","-35,108,000,000","-34,771,000,000","-29,490,000,000","-32,455,000,000","-23,990,000,000","-34,627,000,000","-21,778,000,000","-12,346,000,000","-7,425,000,000","-5,951,000,000","-6,757,000,000","-5,938,000,000"
	PurchaseOfBusiness,,"-1,249,000,000","-3,246,000,000","-3,949,000,000","-2,860,000,000","-3,390,000,000","-260,000,000","-569,000,000","-1,028,000,000","-1,200,000,000","-1,834,000,000","-2,773,000,000","-456,000,000","-172,000,000","-5,373,000,000",,,
	PurchaseOfInvestment,"-3,269,440,000,000","-3,093,657,000,000","-2,722,573,000,000","-2,657,496,000,000","-2,509,672,000,000","-2,108,179,000,000","-1,165,371,000,000","-1,277,844,000,000","-1,428,836,000,000","-1,307,098,000,000","-1,434,877,000,000","-1,770,894,000,000","-1,287,405,000,000","-1,463,389,000,000","-1,635,000,000","-3,187,000,000","-891,000,000","-629,000,000"
	SaleOfInvestment,"3,422,164,000,000","2,956,234,000,000","2,566,104,000,000","2,184,814,000,000","2,261,335,000,000","1,371,236,000,000","989,438,000,000","1,234,278,000,000","1,272,052,000,000","1,392,107,000,000","1,262,310,000,000","1,608,835,000,000","1,329,790,000,000","523,000,000","3,279,000,000","2,422,000,000","2,262,000,000","1,940,000,000"
	NetOtherInvestingChanges,,,"3,798,000,000","3,640,000,000",,,,,,,,,,,,,,"13,348,000,000"
	InvestingCashFlow,"125,357,000,000","-165,678,000,000","-182,493,000,000","-505,090,000,000","-246,386,000,000","-757,279,000,000","-200,599,000,000","-72,149,000,000","-182,546,000,000","55,774,000,000","-194,943,000,000","-196,916,000,000","25,040,000,000","-7,350,000,000","-6,313,000,000","-2,425,000,000","-2,423,000,000","13,266,000,000"
ChangeInCashSupplementalAsReported,"537,772,000,000","-342,708,000,000","729,848,000,000","-60,495,000,000","-32,831,000,000","-96,073,000,000","-2,415,000,000","78,283,000,000","54,915,000,000","247,997,000,000","183,052,000,000","-335,088,000,000","392,470,000,000","8,993,000,000","122,832,000,000","30,970,000,000","-82,808,000,000","120,324,000,000"
BeginningCashPosition,"1,283,505,000,000","1,688,600,000,000","958,752,000,000","1,019,247,000,000","1,052,078,000,000","1,148,151,000,000","1,150,566,000,000","1,072,283,000,000","1,017,368,000,000","769,371,000,000","586,319,000,000","921,407,000,000","528,937,000,000","519,944,000,000","397,112,000,000","366,142,000,000","448,950,000,000","328,626,000,000"
EndCashPosition,"1,790,830,000,000","1,345,892,000,000","1,688,600,000,000","958,752,000,000","1,019,247,000,000","1,052,078,000,000","1,148,151,000,000","1,150,566,000,000","1,072,283,000,000","1,017,368,000,000","769,371,000,000","586,319,000,000","921,407,000,000","528,937,000,000","519,944,000,000","397,112,000,000","366,142,000,000","448,950,000,000"
FreeCashFlow,"146,047,000,000","-523,285,000,000","620,209,000,000","360,125,000,000","147,834,000,000","635,152,000,000","91,810,000,000","188,069,000,000","234,434,000,000","181,902,000,000","285,007,000,000","-154,720,000,000","402,989,000,000","39,037,000,000","20,483,000,000","7,932,000,000","-107,495,000,000","-66,637,000,000"
	OperatingCashFlow,"185,236,000,000","-484,266,000,000","662,358,000,000","406,136,000,000","182,081,000,000","672,094,000,000","126,918,000,000","222,840,000,000","263,924,000,000","214,357,000,000","308,997,000,000","-120,093,000,000","424,767,000,000","51,383,000,000","27,908,000,000","13,883,000,000","-100,738,000,000","-60,699,000,000"
	CapitalExpenditure,"-39,189,000,000","-39,019,000,000","-42,149,000,000","-46,011,000,000","-34,247,000,000","-36,942,000,000","-35,108,000,000","-34,771,000,000","-29,490,000,000","-32,455,000,000","-23,990,000,000","-34,627,000,000","-21,778,000,000","-12,346,000,000","-7,425,000,000","-5,951,000,000","-6,757,000,000","-5,938,000,000"
