name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"2,434,079,000,000","2,354,507,000,000","2,281,234,000,000","2,187,702,000,000","2,144,316,000,000","2,104,534,000,000","2,102,273,000,000","2,209,974,000,000","2,129,046,000,000","2,264,909,000,000","2,223,299,000,000","1,817,943,000,000","1,715,746,000,000","1,459,737,000,000","1,291,803,000,000","1,110,457,000,000","736,445,000,000","660,458,000,000","621,764,000,000","642,191,000,000","632,574,000,000","617,679,000,000","264,562,000,000","185,794,000,000","187,298,000,000","169,604,000,000","157,686,000,000","118,059,000,000"
	TotalAssets,"2,434,079,000,000","2,354,507,000,000","2,281,234,000,000","2,187,702,000,000","2,144,316,000,000","2,104,534,000,000","2,102,273,000,000","2,209,974,000,000","2,129,046,000,000","2,264,909,000,000","2,223,299,000,000","1,817,943,000,000","1,715,746,000,000","1,459,737,000,000","1,291,803,000,000","1,110,457,000,000","736,445,000,000","660,458,000,000","621,764,000,000","642,191,000,000","632,574,000,000","617,679,000,000","264,562,000,000","185,794,000,000","187,298,000,000","169,604,000,000","157,686,000,000","118,059,000,000"
TotalAssets,"2,434,079,000,000","2,354,507,000,000","2,281,234,000,000","2,187,702,000,000","2,144,316,000,000","2,104,534,000,000","2,102,273,000,000","2,209,974,000,000","2,129,046,000,000","2,264,909,000,000","2,223,299,000,000","1,817,943,000,000","1,715,746,000,000","1,459,737,000,000","1,291,803,000,000","1,110,457,000,000","736,445,000,000","660,458,000,000","621,764,000,000","642,191,000,000","632,574,000,000","617,679,000,000","264,562,000,000","185,794,000,000","187,298,000,000","169,604,000,000","157,686,000,000","118,059,000,000"
	TotalLiabilitiesNetMinorityInterest,"2,169,269,000,000","2,089,182,000,000","2,014,088,000,000","1,920,862,000,000","1,888,111,000,000","1,861,063,000,000","1,869,588,000,000","1,973,018,000,000","1,898,945,000,000","2,036,661,000,000","1,991,855,000,000","1,640,891,000,000","1,568,943,000,000","1,324,465,000,000","1,190,270,000,000","1,010,812,000,000","688,465,000,000","610,139,000,000","573,244,000,000","594,563,000,000","588,142,000,000","571,741,000,000","243,225,000,000","172,085,000,000","174,497,000,000","158,593,000,000","147,707,000,000","110,245,000,000"
		TotalLiabilitiesNetMinorityInterest,"2,169,269,000,000","2,089,182,000,000","2,014,088,000,000","1,920,862,000,000","1,888,111,000,000","1,861,063,000,000","1,869,588,000,000","1,973,018,000,000","1,898,945,000,000","2,036,661,000,000","1,991,855,000,000","1,640,891,000,000","1,568,943,000,000","1,324,465,000,000","1,190,270,000,000","1,010,812,000,000","688,465,000,000","610,139,000,000","573,244,000,000","594,563,000,000","588,142,000,000","571,741,000,000","243,225,000,000","172,085,000,000","174,497,000,000","158,593,000,000","147,707,000,000","110,245,000,000"
	StockholdersEquity,"264,810,000,000","265,325,000,000","267,146,000,000","266,840,000,000","256,205,000,000","243,471,000,000","232,685,000,000","236,956,000,000","230,101,000,000","228,248,000,000","231,444,000,000","177,052,000,000","146,803,000,000","135,272,000,000","101,533,000,000","99,645,000,000","47,980,000,000","50,319,000,000","48,520,000,000","47,628,000,000","44,432,000,000","45,938,000,000","21,337,000,000","13,709,000,000","12,801,000,000","11,011,000,000","9,979,000,000","7,814,000,000"
		CapitalStock,"115,124,000,000","141,222,000,000","160,412,000,000","172,258,000,000","173,315,000,000","172,767,000,000","168,645,000,000","176,910,000,000","175,018,000,000","167,467,000,000","165,942,000,000","114,467,000,000","64,737,000,000","64,425,000,000","41,964,000,000","44,507,000,000","68,000,000","554,000,000","5,141,000,000","8,685,000,000","11,748,000,000","83,000,000","94,000,000","171,000,000","105,000,000","111,000,000","208,000,000","119,000,000"
		RetainedEarnings,"156,319,000,000","136,314,000,000","113,816,000,000","101,870,000,000","88,564,000,000","75,024,000,000","72,497,000,000","62,843,000,000","60,520,000,000","60,849,000,000","71,233,000,000","73,823,000,000","81,393,000,000","79,024,000,000","67,552,000,000","58,006,000,000","50,213,000,000","48,517,000,000","42,980,000,000","39,815,000,000","35,681,000,000","30,998,000,000","11,754,000,000","9,673,000,000","7,826,000,000","6,451,000,000","5,247,000,000","4,179,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-6,633,000,000","-12,211,000,000","-7,082,000,000","-7,288,000,000","-5,674,000,000","-4,320,000,000","-8,457,000,000","-2,797,000,000","-5,437,000,000","-66,000,000","-5,619,000,000","-11,238,000,000","673,000,000","-8,177,000,000","-7,983,000,000","-2,868,000,000","-2,301,000,000","1,248,000,000","399,000,000","-872,000,000","-2,997,000,000",,,,,,,
		StockholdersEquity,"264,810,000,000","265,325,000,000","267,146,000,000","266,840,000,000","256,205,000,000","243,471,000,000","232,685,000,000","236,956,000,000","230,101,000,000","228,248,000,000","231,444,000,000","177,052,000,000","146,803,000,000","135,272,000,000","101,533,000,000","99,645,000,000","47,980,000,000","50,319,000,000","48,520,000,000","47,628,000,000","44,432,000,000","45,938,000,000","21,337,000,000","13,709,000,000","12,801,000,000","11,011,000,000","9,979,000,000","7,814,000,000"
	TotalAssets,"2,434,079,000,000","2,354,507,000,000","2,281,234,000,000","2,187,702,000,000","2,144,316,000,000","2,104,534,000,000","2,102,273,000,000","2,209,974,000,000","2,129,046,000,000","2,264,909,000,000","2,223,299,000,000","1,817,943,000,000","1,715,746,000,000","1,459,737,000,000","1,291,803,000,000","1,110,457,000,000","736,445,000,000","660,458,000,000","621,764,000,000","642,191,000,000","632,574,000,000","617,679,000,000","264,562,000,000","185,794,000,000","187,298,000,000","169,604,000,000","157,686,000,000","118,059,000,000"
