name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,,"61,777,000,000","39,520,000,000","10,403,000,000","18,306,000,000","27,730,000,000","26,739,000,000","92,817,000,000","-13,858,000,000","64,490,000,000","82,594,000,000","129,731,000,000","4,034,000,000","11,036,000,000","14,509,000,000","-12,223,000,000","-3,955,000,000","24,313,000,000","-12,007,000,000","-12,826,000,000","5,265,000,000","12,065,000,000","10,891,000,000","266,000,000","1,804,000,000","-4,933,000,000","9,118,000,000","2,137,000,000","7,801,000,000"
	NetIncome,"20,314,000,000","27,430,000,000","28,147,000,000","18,232,000,000","17,906,000,000","15,888,000,000","4,833,000,000","11,431,000,000","4,188,000,000","1,446,000,000","-2,238,000,000","6,276,000,000","4,008,000,000","14,982,000,000","21,133,000,000","16,465,000,000","14,143,000,000","10,810,000,000","9,249,000,000","6,792,000,000","7,517,000,000","7,882,000,000","5,165,000,000","3,077,000,000","2,375,000,000","1,950,000,000","1,690,000,000","1,501,000,000","1,145,000,000"
	DepreciationAndAmortization,,"1,729,000,000","2,063,000,000","2,103,000,000","2,241,000,000","2,389,000,000","2,522,000,000","2,683,000,000","3,038,000,000","3,485,000,000","3,912,000,000","4,314,000,000","3,319,000,000","2,844,000,000","2,869,000,000","1,768,000,000","1,636,000,000","1,107,000,000","1,104,000,000","1,732,000,000","1,784,000,000","1,917,000,000","1,998,000,000","865,000,000","442,000,000","399,000,000","406,000,000","352,000,000","339,000,000"
	DeferredIncomeTax,,"2,435,000,000","3,041,000,000","8,175,000,000","5,841,000,000","3,108,000,000","726,000,000","3,262,000,000","-2,735,000,000","-1,949,000,000","608,000,000","370,000,000","-5,801,000,000","-753,000,000","1,850,000,000","1,695,000,000","-402,000,000","-263,000,000","-377,000,000","-563,000,000","648,000,000","2,098,000,000","-100,000,000","414,000,000","304,000,000","192,000,000","235,000,000","223,000,000","9,000,000"
	StockBasedCompensation,,"1,974,000,000","1,729,000,000","1,649,000,000","1,235,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,,"13,170,000,000","1,257,000,000","-29,125,000,000","-14,703,000,000","6,480,000,000","18,703,000,000","56,105,000,000","-37,494,000,000","52,336,000,000","40,057,000,000","71,774,000,000","-32,249,000,000","-19,773,000,000","-16,423,000,000","-27,220,000,000","-20,525,000,000","10,600,000,000","-30,582,000,000","-24,075,000,000","-8,904,000,000","-2,433,000,000","-63,000,000","-182,000,000","-10,000,000","20,000,000","69,000,000","52,000,000","174,000,000"
	FreeCashFlow,,"61,777,000,000","39,520,000,000","10,403,000,000","18,306,000,000","27,730,000,000","25,579,000,000","92,296,000,000","-13,858,000,000","63,183,000,000","81,607,000,000","127,491,000,000","1,936,000,000","8,893,000,000","13,761,000,000","-13,451,000,000","-4,818,000,000","24,104,000,000","-12,946,000,000","-13,661,000,000","4,623,000,000","10,388,000,000","10,454,000,000","141,000,000","1,456,000,000","-5,240,000,000","8,791,000,000","-2,534,000,000","7,514,000,000"
	OtherNonCashItems,,"7,528,000,000","-1,669,000,000","3,977,000,000","-455,000,000","-4,677,000,000","-3,654,000,000","15,474,000,000","12,638,000,000","-4,048,000,000","1,946,000,000","3,150,000,000","35,881,000,000","13,916,000,000","4,637,000,000","-3,847,000,000","3,316,000,000","3,000,000,000","9,229,000,000","3,763,000,000","4,245,000,000","2,841,000,000","4,908,000,000","-3,755,000,000","-1,240,000,000","-7,465,000,000","6,705,000,000","293,000,000","6,383,000,000"
	OperatingCashFlow,,"61,777,000,000","39,520,000,000","10,403,000,000","18,306,000,000","27,730,000,000","26,739,000,000","92,817,000,000","-13,858,000,000","64,490,000,000","82,594,000,000","129,731,000,000","4,034,000,000","11,036,000,000","14,509,000,000","-12,223,000,000","-3,955,000,000","24,313,000,000","-12,007,000,000","-12,826,000,000","5,265,000,000","12,065,000,000","10,891,000,000","266,000,000","1,804,000,000","-4,933,000,000","9,118,000,000","2,137,000,000","7,801,000,000"
InvestingCashFlow,,"-80,630,000,000","-71,468,000,000","-52,007,000,000","-63,143,000,000","-54,954,000,000","-4,204,000,000","25,058,000,000","-37,177,000,000","52,429,000,000","-30,347,000,000","157,925,000,000","-2,930,000,000","-108,480,000,000","-68,304,000,000","-150,445,000,000","-127,132,000,000","-73,425,000,000","-10,081,000,000","37,552,000,000","2,890,000,000","-31,321,000,000","-47,243,000,000","-19,154,000,000","15,874,000,000","-6,182,000,000","-9,002,000,000","-10,600,000,000","-14,421,000,000"
