name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalAssets,"1,469,222,655,000","1,417,143,716,000","1,369,201,171,000","1,401,376,974,000","1,401,128,757,000","1,437,485,512,000","1,303,915,123,000","1,150,486,189,000","981,229,907,000","802,819,794,000","708,548,843,000","521,272,817,000","357,750,243,000","296,356,419,000","252,976,988,000"
	TotalAssets,"1,469,222,655,000","1,417,143,716,000","1,369,201,171,000","1,401,376,974,000","1,401,128,757,000","1,437,485,512,000","1,303,915,123,000","1,150,486,189,000","981,229,907,000","802,819,794,000","708,548,843,000","521,272,817,000","357,750,243,000","296,356,419,000","252,976,988,000"
TotalAssets,"1,469,222,655,000","1,417,143,716,000","1,369,201,171,000","1,401,376,974,000","1,401,128,757,000","1,437,485,512,000","1,303,915,123,000","1,150,486,189,000","981,229,907,000","802,819,794,000","708,548,843,000","521,272,817,000","357,750,243,000","296,356,419,000","252,976,988,000"
	TotalLiabilitiesNetMinorityInterest,"1,360,657,761,000","1,314,890,834,000","1,270,477,769,000","1,314,183,222,000","1,319,592,584,000","1,356,872,318,000","1,231,690,328,000","1,084,416,224,000","922,813,537,000","748,400,858,000","672,429,578,000","491,335,671,000","333,488,147,000","275,598,261,000","236,127,224,000"
		TotalLiabilitiesNetMinorityInterest,"1,360,657,761,000","1,314,890,834,000","1,270,477,769,000","1,314,183,222,000","1,319,592,584,000","1,356,872,318,000","1,231,690,328,000","1,084,416,224,000","922,813,537,000","748,400,858,000","672,429,578,000","491,335,671,000","333,488,147,000","275,598,261,000","236,127,224,000"
	StockholdersEquity,"106,661,238,000","99,741,967,000","95,325,730,000","83,980,784,000","78,408,095,000","77,519,742,000","69,526,297,000","65,495,798,000","57,972,442,000","54,317,162,000","36,119,124,000","29,937,250,000","24,262,096,000","20,758,158,000","16,849,764,000"
		CapitalStock,"67,000,000,000","67,000,000,000","67,000,000,000","67,000,000,000","60,000,000,000","54,000,000,000","54,000,000,000","48,400,000,000","33,122,569,000","33,077,996,000","18,566,919,000","13,779,905,000","13,211,644,000","11,912,895,000","10,797,337,000"
		RetainedEarnings,"53,814,656,000","42,612,582,000","35,280,691,000","27,646,569,000","29,031,090,000","26,625,511,000","19,972,166,000","16,132,046,000",,"3,872,661,000","17,301,439,000",,,,
		StockholdersEquity,"106,661,238,000","99,741,967,000","95,325,730,000","83,980,784,000","78,408,095,000","77,519,742,000","69,526,297,000","65,495,798,000","57,972,442,000","54,317,162,000","36,119,124,000","29,937,250,000","24,262,096,000","20,758,158,000","16,849,764,000"
	TotalAssets,"1,469,222,655,000","1,417,143,716,000","1,369,201,171,000","1,401,376,974,000","1,401,128,757,000","1,437,485,512,000","1,303,915,123,000","1,150,486,189,000","981,229,907,000","802,819,794,000","708,548,843,000","521,272,817,000","357,750,243,000","296,356,419,000","252,976,988,000"
