name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
OperatingCashFlow,"25,488,645,000","55,374,041,000","30,250,512,000","-40,783,371,000","23,242,852,000","37,619,440,000","-14,346,433,000","2,603,653,000","4,695,876,000","32,093,982,000","-23,183,893,000","-32,033,026,000","-27,138,230,000","-51,481,212,000","-40,019,598,000","-6,402,666,000"
	NetIncome,"17,361,958,000","18,162,067,000","12,862,026,000","11,010,776,000","8,033,556,000","14,399,559,000","11,245,814,000","15,757,937,000","12,205,120,000","14,009,664,000","11,296,009,000","10,148,111,000","8,802,869,000","5,058,119,000","6,043,777,000","4,153,602,000"
	DepreciationAndAmortization,"3,033,943,000","3,039,597,000","3,157,990,000","4,456,598,000","4,459,212,000","4,382,287,000","4,641,350,000","4,252,131,000","4,341,696,000","3,918,410,000","3,965,232,000","2,541,350,000","1,598,182,000","1,096,985,000","952,741,000","833,752,000"
	ChangeInWorkingCapital,"-23,841,109,000","11,466,966,000","-5,729,508,000","-81,005,792,000","-22,948,687,000","14,548,065,000","-75,453,482,000","-43,617,502,000","-40,502,712,000","-4,200,286,000","-51,091,899,000","-63,732,790,000","-36,614,762,000","-26,489,616,000","-36,724,169,000","-4,372,278,000"
	FreeCashFlow,"20,323,208,000","50,980,388,000","28,232,576,000","-44,046,054,000","18,735,614,000","34,543,417,000","-18,465,186,000","-4,146,007,000","623,918,000","25,529,779,000","-29,416,606,000","-35,001,241,000","-36,230,529,000","-52,800,319,000","-40,356,000,000","-7,098,692,000"
	OtherNonCashItems,"2,876,698,000","1,003,040,000","-2,393,016,000","-1,646,713,000","-904,564,000","-2,530,749,000","-1,981,837,000","-1,287,778,000","-3,896,665,000","-2,755,665,000","-3,844,900,000","-4,175,672,000","-590,768,000","-6,519,813,000","-2,949,143,000","-996,071,000"
	OperatingCashFlow,"25,488,645,000","55,374,041,000","30,250,512,000","-40,783,371,000","23,242,852,000","37,619,440,000","-14,346,433,000","2,603,653,000","4,695,876,000","32,093,982,000","-23,183,893,000","-32,033,026,000","-27,138,230,000","-51,481,212,000","-40,019,598,000","-6,402,666,000"
InvestingCashFlow,"-25,921,521,000","-30,138,449,000","-10,594,165,000","-14,478,124,000","-7,025,251,000","-8,971,314,000","-7,320,078,000","-2,810,690,000","-8,623,393,000","-18,611,457,000","-11,279,463,000","-3,515,412,000","-4,055,800,000","23,176,000","-502,262,000","-788,039,000"
	CapitalExpenditure,"-5,165,437,000","-4,393,653,000","-2,017,936,000","-3,262,683,000","-4,507,238,000","-3,076,023,000","-4,118,753,000","-6,749,660,000","-4,071,958,000","-6,564,203,000","-6,232,713,000","-2,968,215,000","-9,092,299,000","-1,319,107,000","-336,402,000","-696,026,000"
	PurchaseOfBusiness,,,,,,,,,"0",,"-72,789,000",,,,,"-28,475,000"
	PurchaseOfInvestment,"-170,225,360,000","-151,849,513,000","-101,039,474,000","-74,567,324,000","-35,783,048,000","-34,838,156,000",,,,"-13,185,093,000","-37,771,650,000","-15,288,468,000","-764,672,000","-87,676,000","-164,737,000","-1,377,000"
	SaleOfInvestment,"142,364,799,000","118,647,370,000","87,253,691,000","58,471,162,000","29,962,323,000","24,030,749,000",,,,"1,465,195,000","32,467,228,000","10,771,841,000","1,166,295,000","926,509,000","164,922,000","827,000"
	NetOtherInvestingChanges,,,,,,,,,,"-327,356,000",,"3,969,430,000","-32,801,000","-158,658,000","-907,258,000","-695,660,000"
	InvestingCashFlow,"-25,921,521,000","-30,138,449,000","-10,594,165,000","-14,478,124,000","-7,025,251,000","-8,971,314,000","-7,320,078,000","-2,810,690,000","-8,623,393,000","-18,611,457,000","-11,279,463,000","-3,515,412,000","-4,055,800,000","23,176,000","-502,262,000","-788,039,000"
ChangeInCashSupplementalAsReported,,,,,,,,,,"16,349,327,000","-5,818,181,000","-30,137,155,000","81,210,990,000","-396,770,000","-1,078,852,000","-9,666,159,000"
BeginningCashPosition,"89,210,989,000","60,335,451,000","47,183,948,000","103,123,670,000","102,707,171,000","61,859,479,000","71,797,486,000","57,805,818,000","43,852,139,000","25,147,713,000","31,037,881,000","68,012,137,000","25,350,711,000","4,748,810,000","5,827,663,000","15,493,822,000"
EndCashPosition,"90,549,281,000","71,936,023,000","60,349,122,000","47,183,948,000","103,123,670,000","102,707,171,000","65,328,572,000","71,797,486,000","57,805,818,000","43,852,139,000","25,219,700,000","37,874,982,000","106,561,701,000","4,352,040,000","4,748,811,000","5,827,663,000"
FreeCashFlow,"20,323,208,000","50,980,388,000","28,232,576,000","-44,046,054,000","18,735,614,000","34,543,417,000","-18,465,186,000","-4,146,007,000","623,918,000","25,529,779,000","-29,416,606,000","-35,001,241,000","-36,230,529,000","-52,800,319,000","-40,356,000,000","-7,098,692,000"
	OperatingCashFlow,"25,488,645,000","55,374,041,000","30,250,512,000","-40,783,371,000","23,242,852,000","37,619,440,000","-14,346,433,000","2,603,653,000","4,695,876,000","32,093,982,000","-23,183,893,000","-32,033,026,000","-27,138,230,000","-51,481,212,000","-40,019,598,000","-6,402,666,000"
	CapitalExpenditure,"-5,165,437,000","-4,393,653,000","-2,017,936,000","-3,262,683,000","-4,507,238,000","-3,076,023,000","-4,118,753,000","-6,749,660,000","-4,071,958,000","-6,564,203,000","-6,232,713,000","-2,968,215,000","-9,092,299,000","-1,319,107,000","-336,402,000","-696,026,000"
	FreeCashFlow,"20,323,208,000","50,980,388,000","28,232,576,000","-44,046,054,000","18,735,614,000","34,543,417,000","-18,465,186,000","-4,146,007,000","623,918,000","25,529,779,000","-29,416,606,000","-35,001,241,000","-36,230,529,000","-52,800,319,000","-40,356,000,000","-7,098,692,000"
