name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,312,267,000,000","1,490,321,000,000","1,563,527,000,000","1,489,645,000,000","1,378,929,000,000","2,040,632,712,660","1,228,571,844,500","996,477,015,870","924,143,778,360","521,854,770,640","442,786,400,000","403,267,529,850","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
	TotalAssets,"1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,312,267,000,000","1,490,321,000,000","1,563,527,000,000","1,489,645,000,000","1,378,929,000,000","2,040,632,712,660","1,228,571,844,500","996,477,015,870","924,143,778,360","521,854,770,640","442,786,400,000","403,267,529,850","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
TotalAssets,"1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,312,267,000,000","1,490,321,000,000","1,563,527,000,000","1,489,645,000,000","1,378,929,000,000","2,040,632,712,660","1,228,571,844,500","996,477,015,870","924,143,778,360","521,854,770,640","442,786,400,000","403,267,529,850","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
	TotalLiabilitiesNetMinorityInterest,"1,074,569,000,000","1,069,504,000,000","1,067,232,000,000","1,141,761,000,000","1,054,148,000,000","1,291,948,000,000","1,248,318,000,000","1,427,364,000,000","1,498,331,000,000","1,427,383,000,000","1,320,451,000,000","1,993,507,171,090","1,196,063,855,500","969,095,561,010","899,719,367,040","503,545,128,800","425,769,120,000","387,899,008,950","340,883,071,920","301,724,544,160","245,668,529,040","211,207,523,450","226,517,435,820","178,414,516,658","162,269,674,992","156,072,150,594","160,051,185,524","139,189,639,841","131,684,134,194","128,307,000,000","120,943,000,000","98,818,000,000","83,557,000,000","75,126,000,000","61,830,000,000"
		TotalLiabilitiesNetMinorityInterest,"1,074,569,000,000","1,069,504,000,000","1,067,232,000,000","1,141,761,000,000","1,054,148,000,000","1,291,948,000,000","1,248,318,000,000","1,427,364,000,000","1,498,331,000,000","1,427,383,000,000","1,320,451,000,000","1,993,507,171,090","1,196,063,855,500","969,095,561,010","899,719,367,040","503,545,128,800","425,769,120,000","387,899,008,950","340,883,071,920","301,724,544,160","245,668,529,040","211,207,523,450","226,517,435,820","178,414,516,658","162,269,674,992","156,072,150,594","160,051,185,524","139,189,639,841","131,684,134,194","128,307,000,000","120,943,000,000","98,818,000,000","83,557,000,000","75,126,000,000","61,830,000,000"
	StockholdersEquity,"64,429,000,000","62,556,000,000","63,905,000,000","64,873,000,000","59,810,000,000","59,567,000,000","55,385,000,000","53,586,000,000","55,589,000,000","50,858,000,000","47,277,000,000","36,397,653,870","23,313,998,750","19,792,678,980","17,422,014,480","17,409,253,120","16,734,480,000","15,212,687,550","14,540,235,210","13,200,925,840","8,473,119,120","7,921,133,090","7,613,523,120","7,266,958,118","7,062,392,364","6,167,312,460","5,313,065,964","9,030,908,943","5,734,807,578","6,105,000,000","6,225,000,000","5,711,000,000","4,187,000,000","3,770,000,000","3,250,000,000"
		CapitalStock,"4,594,000,000","4,311,000,000","22,045,000,000","21,842,000,000","21,586,000,000","20,809,000,000","19,887,000,000","12,477,000,000","3,050,000,000","3,045,000,000","2,853,000,000","2,080,704,890","1,652,427,250","1,633,312,000","1,622,598,720","1,613,087,840","1,639,680,000","1,645,873,350","1,671,710,670","1,663,757,200","1,493,474,560",,,,,,,,,,,,,,
		RetainedEarnings,"44,204,000,000","43,460,000,000","27,536,000,000","30,531,000,000","31,021,000,000","31,712,000,000","33,186,000,000","37,465,000,000","39,372,000,000","36,765,000,000","33,845,000,000","24,062,290,190","20,990,919,000","12,165,111,940","8,955,094,440","9,325,044,960","8,487,920,000","7,383,769,050","6,827,241,600","5,850,265,760","4,835,247,520","4,494,939,695","6,084,829,788","4,054,996,148","3,885,483,924","3,048,092,802","2,574,495,528","3,663,699,011","4,137,265,872",,,,,,
		StockholdersEquity,"64,429,000,000","62,556,000,000","63,905,000,000","64,873,000,000","59,810,000,000","59,567,000,000","55,385,000,000","53,586,000,000","55,589,000,000","50,858,000,000","47,277,000,000","36,397,653,870","23,313,998,750","19,792,678,980","17,422,014,480","17,409,253,120","16,734,480,000","15,212,687,550","14,540,235,210","13,200,925,840","8,473,119,120","7,921,133,090","7,613,523,120","7,266,958,118","7,062,392,364","6,167,312,460","5,313,065,964","9,030,908,943","5,734,807,578","6,105,000,000","6,225,000,000","5,711,000,000","4,187,000,000","3,770,000,000","3,250,000,000"
	TotalAssets,"1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,312,267,000,000","1,490,321,000,000","1,563,527,000,000","1,489,645,000,000","1,378,929,000,000","2,040,632,712,660","1,228,571,844,500","996,477,015,870","924,143,778,360","521,854,770,640","442,786,400,000","403,267,529,850","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
