name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"45,225,000,000","-12,295,000,000","8,504,000,000","60,711,000,000","11,286,000,000","16,128,000,000","-10,441,000,000","-25,174,000,000","-13,716,000,000","29,079,000,000","18,686,000,000","41,844,000,000","32,672,598,020","-10,757,669,500","10,043,847,980","-10,495,749,600","4,740,726,480","-3,808,000,000","5,937,188,550","2,183,065,560","7,455,105,200","7,992,808,800","-2,132,492,265","8,722,522,956","15,387,986,880","-3,534,723,204","9,304,505,721","6,746,338,368","-2,583,254,940","1,829,373,102",,
	NetIncome,"1,084,000,000","2,461,000,000","1,394,000,000","-1,922,000,000","1,623,000,000","-394,000,000","-174,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000"
	DepreciationAndAmortization,,"1,520,000,000","1,261,000,000","1,241,000,000","1,261,000,000","1,324,000,000","1,279,000,000","1,274,000,000","1,119,000,000","1,104,000,000","1,346,000,000","1,196,000,000","945,092,080","669,644,000","611,981,590","449,817,840","593,829,040","553,280,000","545,106,300","529,248,870","302,623,040","275,699,360","269,957,845","265,620,372","295,006,488","329,663,304","232,249,653","305,029,248","237,688,465","223,815,096",,
	ChangeInWorkingCapital,"37,367,000,000","-22,801,000,000","4,573,000,000","51,720,000,000","24,191,000,000","8,972,000,000","-16,765,000,000","-33,065,000,000","-24,987,000,000","16,693,000,000","11,650,000,000","24,799,000,000","-35,468,267,800","-18,410,167,500","1,172,922,180","-36,312,620,280","-1,678,779,200","-2,726,640,000","-722,048,550","-2,181,689,100","3,120,632,720","4,058,220,400","-2,868,324,695","4,787,941,800","16,422,962,136","2,774,892,648","2,508,564,897","-70,037,744","-1,840,321,896","-2,462,767,686",,
	FreeCashFlow,"43,432,000,000","-14,088,000,000","7,102,000,000","59,255,000,000","9,579,000,000","15,276,000,000","-11,098,000,000","-25,910,000,000","-14,320,000,000","27,625,000,000","16,702,000,000","40,468,000,000","31,073,999,350","-11,645,653,750","9,963,713,610","-11,083,883,520","4,208,939,280","-4,117,680,000","5,636,076,300","1,831,380,030","7,089,547,280","7,769,034,880","-2,550,411,830","8,368,221,312","14,943,958,904","-3,861,344,856","8,937,102,249","6,485,319,324","-2,890,832,385","1,480,664,052",,
	OtherNonCashItems,,"602,000,000","-4,366,000,000","1,031,000,000","-20,025,000,000","-635,000,000","-808,000,000","-1,293,000,000","5,448,000,000","1,345,000,000","-5,698,000,000","4,573,000,000","55,823,939,630","-2,897,924,750","-1,027,455,330","-34,401,185,040","29,058,520,960","2,032,800,000","1,409,950,350","-945,628,020","739,150,080","1,281,445,680","-1,360,753,815","2,313,093,096","-215,999,406","-6,216,165,948","8,575,839,225","7,975,649,504","-3,946,287,849","2,308,908,168",,
	OperatingCashFlow,"45,225,000,000","-12,295,000,000","8,504,000,000","60,711,000,000","11,286,000,000","16,128,000,000","-10,441,000,000","-25,174,000,000","-13,716,000,000","29,079,000,000","18,686,000,000","41,844,000,000","32,672,598,020","-10,757,669,500","10,043,847,980","-10,495,749,600","4,740,726,480","-3,808,000,000","5,937,188,550","2,183,065,560","7,455,105,200","7,992,808,800","-2,132,492,265","8,722,522,956","15,387,986,880","-3,534,723,204","9,304,505,721","6,746,338,368","-2,583,254,940","1,829,373,102",,
InvestingCashFlow,"-7,350,000,000","-12,826,000,000","677,000,000","3,502,000,000","36,707,000,000","-8,434,000,000","10,655,000,000","-22,645,000,000","-7,099,000,000","-1,912,000,000","-5,627,000,000","11,888,000,000","-8,702,495,280","10,073,906,500","-1,153,526,600","-5,179,879,080","-6,946,079,280","501,200,000","-7,371,972,900","-1,326,907,440","-7,070,800,720","-7,639,221,280","2,916,339,960","-7,731,119,568","-3,180,020,452","-1,801,046,280","-324,356,373","-2,606,539,824","-75,888,883","-1,151,942,310",,
	CapitalExpenditure,,"-1,793,000,000","-1,402,000,000","-1,456,000,000","-1,707,000,000","-852,000,000","-657,000,000","-736,000,000","-604,000,000","-1,454,000,000","-1,984,000,000","-1,376,000,000","-1,598,598,670","-887,984,250","-80,134,370","-588,133,920","-531,787,200","-309,680,000","-301,112,250","-351,685,530","-365,557,920","-223,773,920","-417,919,565","-354,301,644","-444,027,976","-326,621,652","-367,403,472","-261,019,044","-307,577,445","-348,709,050",,
	PurchaseOfBusiness,,,,,,,,,,,"886,000,000","-109,000,000",,,,,,,"-612,000,000",,,,,,,,,,,,,
