name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,463,000,000","21,632,000,000","21,136,000,000","21,076,000,000","21,451,000,000","25,987,000,000","25,768,000,000","28,444,000,000","25,291,000,000","31,903,000,000","32,204,000,000","29,954,000,000","24,625,657,940","24,556,470,750","23,359,424,060","18,697,660,680","14,042,310,240","12,427,520,000","11,332,375,050","11,816,220,870","9,928,981,600","8,353,814,240","7,387,241,900","7,628,525,136","7,668,008,110","7,520,711,076","7,104,242,484","7,632,559,204","6,624,420,376","6,360,239,304",,,,,,
OperatingExpense,"13,364,000,000","13,552,000,000","14,027,000,000","15,373,000,000","16,243,000,000","21,105,000,000","20,909,000,000","21,566,000,000","21,572,000,000","19,921,000,000","20,492,000,000","17,546,000,000","15,590,604,970","14,675,692,000","14,072,514,110","11,453,501,280","8,349,059,040","7,243,040,000","6,628,815,450","7,048,163,430","5,826,163,040","5,276,613,760","4,970,875,195","5,199,529,368","5,097,037,078","5,029,209,792","4,640,771,502","5,050,018,800","4,335,754,080","4,282,147,134","199,000,000",,,,,
	SellingGeneralAndAdministration,"1,994,000,000","2,074,000,000","2,188,000,000","2,882,000,000","2,507,000,000","1,972,000,000","2,104,000,000","3,703,000,000","4,348,000,000","6,356,000,000","7,349,000,000","5,561,000,000","4,791,000,000","3,978,000,000","3,980,000,000","3,443,000,000",,"2,404,000,000",,,,,,,,"193,953,852","143,149,194","111,005,768",,,,,,,,
	OperatingExpense,"13,364,000,000","13,552,000,000","14,027,000,000","15,373,000,000","16,243,000,000","21,105,000,000","20,909,000,000","21,566,000,000","21,572,000,000","19,921,000,000","20,492,000,000","17,546,000,000","15,590,604,970","14,675,692,000","14,072,514,110","11,453,501,280","8,349,059,040","7,243,040,000","6,628,815,450","7,048,163,430","5,826,163,040","5,276,613,760","4,970,875,195","5,199,529,368","5,097,037,078","5,029,209,792","4,640,771,502","5,050,018,800","4,335,754,080","4,282,147,134","199,000,000",,,,,
InterestExpense,"5,385,000,000","6,049,000,000","5,479,000,000","3,786,000,000","4,004,000,000","4,643,000,000","5,283,000,000","6,715,000,000","7,560,000,000","8,393,000,000","7,512,000,000","9,318,000,000","16,441,460,990","15,713,438,500","12,658,168,000","9,155,013,480","6,820,431,520","5,815,600,000","5,842,198,500","7,370,255,070","6,640,299,360","4,687,507,280","5,598,688,340","5,086,651,296","4,821,008,640","7,273,495,956","6,299,396,055","7,174,474,500","8,430,852,710","10,332,690,048",,,,,,
PretaxIncome,"2,615,000,000","4,357,000,000","3,494,000,000","3,541,000,000","3,230,000,000","2,073,000,000","2,256,000,000","2,868,000,000","246,000,000","5,879,000,000","6,065,000,000","4,585,000,000","5,140,645,360","6,403,975,000","6,510,279,550","5,279,257,440","4,554,600,960","3,815,280,000","3,186,823,050","3,483,132,030","3,420,577,680","2,405,260,560","1,872,535,090","1,670,547,072","2,309,015,548","2,050,267,596","1,788,789,258","595,118,012","-299,599,552","478,573,110","760,000,000","692,000,000","1,391,000,000","369,000,000","920,000,000","840,000,000"
TaxProvision,"571,000,000","1,003,000,000","1,122,000,000","2,240,000,000","993,000,000","1,450,000,000","1,411,000,000","1,571,000,000","482,000,000","1,928,000,000","1,516,000,000","1,074,000,000","785,300,500","1,982,711,000","1,940,578,820","1,438,952,160","1,288,280,560","1,074,640,000","955,488,150","1,012,386,330","944,692,720","648,449,840","537,867,360","541,524,384","670,012,756","679,388,568","608,607,945","282,043,888","42,922,383","236,801,502",,,,,,
NetIncomeContinuousOperations,"2,044,000,000","3,354,000,000","2,372,000,000","1,301,000,000","2,237,000,000","623,000,000","845,000,000","1,297,000,000","-236,000,000","3,951,000,000","4,549,000,000","3,511,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,334,667,730","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
NetIncome,"1,084,000,000","2,461,000,000","1,394,000,000","-1,922,000,000","1,623,000,000","-394,000,000","-174,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
NetIncomeCommonStockholders,"1,084,000,000","2,461,000,000","1,597,000,000","-1,748,000,000","1,751,000,000","-324,000,000","-120,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
