name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalAssets,"2,164,713,000,000","2,040,836,000,000","1,960,252,000,000","2,076,959,000,000","1,994,193,000,000","2,077,759,000,000","1,800,139,000,000","1,907,290,000,000","1,965,283,000,000","1,998,158,000,000","2,057,698,000,000","2,075,551,000,000","1,694,454,000,000","1,440,343,000,000","1,258,079,000,000","905,938,000,000"
	TotalAssets,"2,164,713,000,000","2,040,836,000,000","1,960,252,000,000","2,076,959,000,000","1,994,193,000,000","2,077,759,000,000","1,800,139,000,000","1,907,290,000,000","1,965,283,000,000","1,998,158,000,000","2,057,698,000,000","2,075,551,000,000","1,694,454,000,000","1,440,343,000,000","1,258,079,000,000","905,938,000,000"
TotalAssets,"2,164,713,000,000","2,040,836,000,000","1,960,252,000,000","2,076,959,000,000","1,994,193,000,000","2,077,759,000,000","1,800,139,000,000","1,907,290,000,000","1,965,283,000,000","1,998,158,000,000","2,057,698,000,000","2,075,551,000,000","1,694,454,000,000","1,440,343,000,000","1,258,079,000,000","905,938,000,000"
	TotalLiabilitiesNetMinorityInterest,"2,052,868,000,000","1,935,110,000,000","1,853,043,000,000","1,971,739,000,000","1,894,116,000,000","1,984,118,000,000","1,708,977,000,000","1,812,868,000,000","1,879,657,000,000","1,912,529,000,000","1,977,354,000,000","2,016,583,000,000","1,635,061,000,000","1,385,519,000,000","1,212,086,000,000","870,920,000,000"
		TotalLiabilitiesNetMinorityInterest,"2,052,868,000,000","1,935,110,000,000","1,853,043,000,000","1,971,739,000,000","1,894,116,000,000","1,984,118,000,000","1,708,977,000,000","1,812,868,000,000","1,879,657,000,000","1,912,529,000,000","1,977,354,000,000","2,016,583,000,000","1,635,061,000,000","1,385,519,000,000","1,212,086,000,000","870,920,000,000"
	StockholdersEquity,"107,453,000,000","101,467,000,000","101,983,000,000","100,665,000,000","96,269,000,000","89,410,000,000","87,591,000,000","85,886,000,000","75,370,000,000","74,632,000,000","69,501,000,000","53,228,000,000","53,799,000,000","49,512,000,000","40,718,000,000","30,194,000,000"
		CapitalStock,"27,070,000,000","27,036,000,000","27,051,000,000","26,948,000,000","26,897,000,000","26,971,000,000","26,812,000,000","26,714,000,000","25,678,000,000","25,659,000,000","25,061,000,000","13,828,000,000","13,472,000,000","15,589,000,000","9,701,000,000","1,769,000,000"
		RetainedEarnings,"69,549,000,000","65,691,000,000","63,630,000,000","59,118,000,000","54,781,000,000","49,759,000,000","52,230,000,000","48,700,000,000","51,086,000,000","40,961,000,000","37,433,000,000","37,909,000,000","29,233,000,000","21,590,000,000","19,694,000,000","13,417,000,000"
		StockholdersEquity,"107,453,000,000","101,467,000,000","101,983,000,000","100,665,000,000","96,269,000,000","89,410,000,000","87,591,000,000","85,886,000,000","75,370,000,000","74,632,000,000","69,501,000,000","53,228,000,000","53,799,000,000","49,512,000,000","40,718,000,000","30,194,000,000"
	TotalAssets,"2,164,713,000,000","2,040,836,000,000","1,960,252,000,000","2,076,959,000,000","1,994,193,000,000","2,077,759,000,000","1,800,139,000,000","1,907,290,000,000","1,965,283,000,000","1,998,158,000,000","2,057,698,000,000","2,075,551,000,000","1,694,454,000,000","1,440,343,000,000","1,258,079,000,000","905,938,000,000"
