name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalRevenue,"54,749,000,000","55,005,000,000","51,944,000,000","78,415,000,000","73,831,000,000","75,102,000,000","69,250,000,000","67,078,000,000","66,749,000,000","68,811,000,000","73,863,000,000","68,599,000,000","48,122,000,000","53,533,000,000","51,784,000,000","55,566,000,000","20,570,000,000",
OperatingExpense,"41,402,000,000","41,735,000,000","40,102,000,000","65,198,000,000","59,798,000,000","61,518,000,000","62,608,000,000","55,192,000,000","54,227,000,000","59,054,000,000","31,888,000,000","28,149,000,000","23,254,000,000","23,163,000,000","21,356,000,000","32,591,000,000","13,174,000,000",
	SellingGeneralAndAdministration,,,,,,,,,,"29,884,000,000","30,295,000,000","26,767,000,000","22,178,000,000","22,172,000,000","20,428,000,000","12,627,000,000","3,965,000,000",
	OperatingExpense,"41,402,000,000","41,735,000,000","40,102,000,000","65,198,000,000","59,798,000,000","61,518,000,000","62,608,000,000","55,192,000,000","54,227,000,000","59,054,000,000","31,888,000,000","28,149,000,000","23,254,000,000","23,163,000,000","21,356,000,000","32,591,000,000","13,174,000,000",
InterestExpense,,"16,200,000,000","14,661,000,000","19,011,000,000","18,518,000,000","18,828,000,000","18,388,000,000","18,359,000,000","22,731,000,000","23,143,000,000","23,328,000,000","25,439,000,000","45,341,000,000","49,433,000,000","35,458,000,000",,"22,213,000,000",
PretaxIncome,"10,506,000,000","11,394,000,000","10,208,000,000","11,310,000,000","11,210,000,000","10,379,000,000","3,149,000,000","8,189,000,000","10,372,000,000","9,651,000,000","13,020,000,000","9,000,000,000","3,924,000,000","11,058,000,000","10,570,000,000","8,424,000,000","7,590,000,000",
TaxProvision,"2,555,000,000","2,811,000,000","2,203,000,000","3,103,000,000","3,095,000,000","3,335,000,000","2,642,000,000","2,750,000,000","3,059,000,000","2,757,000,000","3,856,000,000","2,526,000,000","472,000,000","2,747,000,000","2,762,000,000","2,138,000,000","1,830,000,000",
NetIncomeContinuousOperations,"7,951,000,000","8,583,000,000","8,005,000,000","8,207,000,000","8,115,000,000","7,044,000,000","507,000,000","5,439,000,000","7,313,000,000","6,894,000,000","9,164,000,000","6,474,000,000","3,452,000,000","8,311,000,000","7,808,000,000","6,286,000,000","5,075,000,000",
NetIncome,"7,537,000,000","8,173,000,000","7,526,000,000","7,759,000,000","7,702,000,000","6,694,000,000","157,000,000","4,832,000,000","6,553,000,000","6,050,000,000","7,843,000,000","5,832,000,000","3,021,000,000","7,822,000,000","7,308,000,000","5,852,000,000","4,668,000,000",
NetIncomeCommonStockholders,"7,093,000,000","7,745,000,000","7,159,000,000","7,537,000,000","7,470,000,000","6,385,000,000","-83,000,000","4,580,000,000","6,271,000,000","6,050,000,000","7,843,000,000","5,832,000,000","3,021,000,000","7,822,000,000","7,308,000,000","5,852,000,000","4,668,000,000",
BasicEPS,,"6.21","5.73","6.05","6","5.14","-0.07","3.69","5.16","4.82","6.33","5.2","3.07","8.49","8.03","6.947","5.493","4.265"
DilutedEPS,,"6.21","5.73","6.05","6","5.14","-0.07","3.68","5.15","4.81","6.32","5.2","3.06","8.42","7.95","6.898","5.473","4.236"
BasicAverageShares,,"1,247,993,812","1,248,334,552","1,246,386,807","1,244,469,997","1,242,989,279","1,241,924,953","1,241,250,435","1,214,528,487","1,197,356,577","1,188,848,011","1,057,526,241","899,245,437","898,407,216","893,811,947","838,188,582","849,875,425","881,745,943"
DilutedAverageShares,,"1,247,994,018","1,248,334,863","1,246,683,399","1,244,617,759","1,244,185,202","1,244,405,089","1,244,208,387","1,216,612,203","1,199,418,253","1,191,329,452","1,059,237,156","903,058,634","906,036,346","903,330,775","843,562,566","852,949,115","887,926,406"
