name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"817,729,000,000","707,794,000,000","702,095,000,000","620,854,000,000","552,257,000,000","526,186,000,000","484,931,000,000","427,452,000,000","392,647,000,000","372,229,000,000","297,119,000,000","267,399,000,000","273,160,000,000","248,437,000,000","198,325,000,000","188,874,000,000","180,559,000,000","169,544,000,000","162,752,000,000","135,792,000,000","131,416,000,000","122,237,000,000","56,110,900,000","43,409,500,000","29,928,800,000","21,338,200,000","19,520,500,000","16,944,800,000","14,461,900,000","10,670,400,000"
	TotalAssets,"817,729,000,000","707,794,000,000","702,095,000,000","620,854,000,000","552,257,000,000","526,186,000,000","484,931,000,000","427,452,000,000","392,647,000,000","372,229,000,000","297,119,000,000","267,399,000,000","273,160,000,000","248,437,000,000","198,325,000,000","188,874,000,000","180,559,000,000","169,544,000,000","162,752,000,000","135,792,000,000","131,416,000,000","122,237,000,000","56,110,900,000","43,409,500,000","29,928,800,000","21,338,200,000","19,520,500,000","16,944,800,000","14,461,900,000","10,670,400,000"
TotalAssets,"817,729,000,000","707,794,000,000","702,095,000,000","620,854,000,000","552,257,000,000","526,186,000,000","484,931,000,000","427,452,000,000","392,647,000,000","372,229,000,000","297,119,000,000","267,399,000,000","273,160,000,000","248,437,000,000","198,325,000,000","188,874,000,000","180,559,000,000","169,544,000,000","162,752,000,000","135,792,000,000","131,416,000,000","122,237,000,000","56,110,900,000","43,409,500,000","29,928,800,000","21,338,200,000","19,520,500,000","16,944,800,000","14,461,900,000","10,670,400,000"
	TotalLiabilitiesNetMinorityInterest,"389,166,000,000","355,294,000,000","350,141,000,000","334,495,000,000","293,630,000,000","283,159,000,000","260,446,000,000","235,864,000,000","223,686,000,000","209,295,000,000","161,334,000,000","153,820,000,000","149,759,000,000","137,756,000,000","106,841,000,000","102,216,000,000","102,963,000,000","105,507,000,000","104,802,000,000","72,799,000,000","72,232,000,000","63,190,000,000","24,199,200,000","19,648,100,000","12,447,200,000","9,264,000,000","8,909,800,000","7,919,000,000","6,964,800,000","5,289,700,000"
		TotalLiabilitiesNetMinorityInterest,"389,166,000,000","355,294,000,000","350,141,000,000","334,495,000,000","293,630,000,000","283,159,000,000","260,446,000,000","235,864,000,000","223,686,000,000","209,295,000,000","161,334,000,000","153,820,000,000","149,759,000,000","137,756,000,000","106,841,000,000","102,216,000,000","102,963,000,000","105,507,000,000","104,802,000,000","72,799,000,000","72,232,000,000","63,190,000,000","24,199,200,000","19,648,100,000","12,447,200,000","9,264,000,000","8,909,800,000","7,919,000,000","6,964,800,000","5,289,700,000"
	StockholdersEquity,"424,791,000,000","348,703,000,000","348,296,000,000","283,001,000,000","255,550,000,000","240,170,000,000","221,890,000,000","187,647,000,000","164,850,000,000","157,318,000,000","131,102,000,000","109,267,000,000","120,733,000,000","108,419,000,000","91,484,000,000","85,900,000,000","77,596,000,000","64,037,000,000","57,950,000,000","61,724,000,000","57,761,000,000","57,403,000,000","31,455,200,000","23,426,300,000","17,217,100,000","11,874,900,000","10,428,400,000","8,896,300,000","7,379,900,000","5,287,500,000"
		CapitalStock,"8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","7,000,000",,,,,,
		RetainedEarnings,"402,493,000,000","321,112,000,000","255,786,000,000","211,777,000,000","187,703,000,000","163,620,000,000","143,748,000,000","124,272,000,000","109,448,000,000","99,194,000,000","86,227,000,000","78,172,000,000","72,153,000,000","58,912,000,000","47,717,000,000","39,189,000,000","31,881,000,000","23,730,000,000","19,444,000,000","18,649,000,000","15,321,000,000","13,764,000,000","10,934,300,000","9,032,700,000","5,610,400,000","4,885,200,000","4,390,400,000","3,702,300,000","3,295,000,000","2,855,100,000"
		GainsLossesNotAffectingRetainedEarnings,"-5,243,000,000","-5,015,000,000","58,571,000,000","37,298,000,000","33,982,000,000","42,732,000,000","44,025,000,000","27,500,000,000","17,654,000,000","20,583,000,000","17,793,000,000","3,954,000,000","21,620,000,000","22,977,000,000","17,360,000,000","20,435,000,000","19,556,000,000","14,271,000,000","12,891,000,000","17,543,000,000","17,223,000,000","18,510,000,000","18,197,900,000","12,143,900,000",,,,,,
		StockholdersEquity,"424,791,000,000","348,703,000,000","348,296,000,000","283,001,000,000","255,550,000,000","240,170,000,000","221,890,000,000","187,647,000,000","164,850,000,000","157,318,000,000","131,102,000,000","109,267,000,000","120,733,000,000","108,419,000,000","91,484,000,000","85,900,000,000","77,596,000,000","64,037,000,000","57,950,000,000","61,724,000,000","57,761,000,000","57,403,000,000","31,455,200,000","23,426,300,000","17,217,100,000","11,874,900,000","10,428,400,000","8,896,300,000","7,379,900,000","5,287,500,000"
