name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
OperatingCashFlow,"37,908,000,000","38,687,000,000","37,400,000,000","45,776,000,000","32,535,000,000","31,491,000,000","32,010,000,000","27,704,000,000","20,950,000,000","20,476,000,000","17,895,000,000","15,846,000,000","11,252,000,000","12,550,000,000","10,195,000,000","9,446,000,000","7,405,000,000","8,257,000,000","11,203,000,000","6,574,000,000","2,947,000,000","2,200,000,000","657,000,000","2,335,600,000","1,260,000,000","1,127,900,000","929,100,000","726,200,000","997,200,000","709,200,000","522,600,000",,
	NetIncome,"10,010,000,000","81,417,000,000","4,021,000,000","44,940,000,000","24,074,000,000","24,083,000,000","19,872,000,000","19,476,000,000","14,824,000,000","10,254,000,000","12,967,000,000","8,055,000,000","4,994,000,000","13,213,000,000","11,015,000,000","8,528,000,000","7,308,000,000","8,151,000,000","4,286,000,000","795,000,000","3,328,000,000","1,557,000,000","2,830,000,000","1,901,600,000","2,488,600,000","725,200,000","494,800,000","688,100,000","407,300,000","439,900,000","394,100,000","447,500,000","399,300,000"
	DepreciationAndAmortization,"10,232,000,000","10,064,000,000","9,779,000,000","9,188,000,000","8,901,000,000","7,779,000,000","7,370,000,000","6,508,000,000","5,146,000,000","4,683,000,000","4,279,000,000","3,127,000,000","2,810,000,000","2,407,000,000","2,066,000,000","982,000,000","911,000,000","520,000,000","811,000,000","1,076,000,000","997,000,000","688,000,000","265,000,000","227,300,000","151,600,000","75,700,000","62,500,000","50,200,000","41,100,000","37,200,000","56,700,000",,
	DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,300,000",,,,,
	ChangeInWorkingCapital,"1,353,000,000","19,208,000,000","-1,813,000,000","-7,813,000,000","6,921,000,000","7,920,000,000","8,386,000,000","5,043,000,000","1,159,000,000","5,510,000,000","1,952,000,000","1,590,000,000","3,454,000,000","2,174,000,000","-1,075,000,000","6,132,000,000","822,000,000","3,715,000,000","6,743,000,000","6,066,000,000","-2,965,000,000","-440,000,000","123,000,000","1,313,000,000","1,103,900,000","543,500,000","194,600,000","378,000,000","611,800,000",,"-101,500,000",,
	ChangesInAccountReceivables,,,,,,,,,,,,,,,,,"-8,000,000",,,,"-3,062,000,000","-834,000,000","-56,000,000",,,"-35,400,000","-49,800,000","134,100,000","239,400,000",,"-133,800,000",,
	ChangeInAccountPayable,,,,,,,,,,,,,,,,,"45,000,000",,,,"5,658,000,000","4,179,000,000","4,000,000",,,"228,200,000","210,500,000","35,000,000","150,600,000",,"32,300,000",,
	FreeCashFlow,"22,112,000,000","22,708,000,000","22,863,000,000","34,068,000,000","19,581,000,000","15,409,000,000","16,825,000,000","16,617,000,000","11,175,000,000","12,285,000,000","11,915,000,000","10,909,000,000","5,114,000,000","7,177,000,000","5,624,000,000","7,251,000,000","6,204,000,000","8,257,000,000","11,203,000,000","6,574,000,000","2,947,000,000","2,200,000,000","657,000,000","2,335,600,000","1,260,000,000","1,127,900,000","929,100,000","726,200,000","877,300,000","548,200,000","522,600,000",,
	OtherNonCashItems,"-1,351,000,000","-1,254,000,000","2,957,000,000","458,000,000","-161,000,000","751,000,000","-341,000,000","373,000,000","795,000,000","811,000,000","255,000,000","-149,000,000","-646,000,000","-5,244,000,000","-1,811,000,000",,"-1,636,000,000",,,,"1,587,000,000","395,000,000","-2,561,000,000",,,"-216,500,000","177,200,000","-536,400,000","-63,000,000","224,100,000","173,300,000",,
	OperatingCashFlow,"37,908,000,000","38,687,000,000","37,400,000,000","45,776,000,000","32,535,000,000","31,491,000,000","32,010,000,000","27,704,000,000","20,950,000,000","20,476,000,000","17,895,000,000","15,846,000,000","11,252,000,000","12,550,000,000","10,195,000,000","9,446,000,000","7,405,000,000","8,257,000,000","11,203,000,000","6,574,000,000","2,947,000,000","2,200,000,000","657,000,000","2,335,600,000","1,260,000,000","1,127,900,000","929,100,000","726,200,000","997,200,000","709,200,000","522,600,000",,
InvestingCashFlow,"-23,224,000,000","-5,621,000,000","-32,849,000,000","-41,091,000,000","-84,267,000,000","-26,668,000,000","-19,369,000,000","-27,535,000,000","-10,574,000,000","-19,189,000,000","-18,277,000,000","-11,161,000,000","-32,066,000,000","-13,428,000,000","-14,077,000,000","-13,841,000,000","221,000,000","16,113,000,000","-1,379,000,000","-11,694,000,000","-2,271,000,000","-12,598,000,000","12,713,000,000","-2,531,200,000","-3,507,800,000","1,213,600,000","-2,148,600,000","-201,700,000","-573,200,000","-184,500,000","-682,800,000",,
	CapitalExpenditure,"-15,796,000,000","-15,979,000,000","-14,537,000,000","-11,708,000,000","-12,954,000,000","-16,082,000,000","-15,185,000,000","-11,087,000,000","-9,775,000,000","-8,191,000,000","-5,980,000,000","-4,937,000,000","-6,138,000,000","-5,373,000,000","-4,571,000,000","-2,195,000,000","-1,201,000,000",,,,,,,,,,,,"-119,900,000","-161,000,000",,,
	PurchaseOfBusiness,"-1,447,000,000","-1,683,000,000","-3,279,000,000","-2,708,000,000","-31,399,000,000","-4,902,000,000","-4,824,000,000","-6,431,000,000","-3,188,000,000","-8,685,000,000","-15,924,000,000","-108,000,000","-6,050,000,000","-1,602,000,000","-10,132,000,000","-2,387,000,000","-414,000,000","-3,213,000,000","-2,620,000,000","-4,697,000,000","-3,798,000,000","-153,000,000","-4,971,000,000","-774,900,000","-1,975,300,000",,,,,,,,
	PurchaseOfInvestment,"-157,874,000,000","-154,765,000,000","-185,054,000,000","-178,818,000,000","-113,076,000,000","-23,664,000,000","-17,788,000,000","-28,354,000,000","-15,626,000,000","-12,362,000,000","-14,084,000,000","-22,436,000,000","-45,755,000,000","-32,505,000,000","-16,920,000,000","-21,958,000,000","-14,270,000,000","-11,766,000,000","-19,553,000,000","-17,550,000,000","-21,552,000,000","-24,570,000,000","-5,590,000,000","-7,551,600,000","-3,888,100,000",,,,,"-1,187,000,000",,,
	SaleOfInvestment,"153,709,000,000","168,032,000,000","171,521,000,000","155,566,000,000","73,398,000,000","17,502,000,000","17,388,000,000","19,383,000,000","17,134,000,000","22,870,000,000","17,838,000,000","15,198,000,000","40,186,000,000","25,033,000,000","15,909,000,000","12,014,000,000","15,543,000,000","30,656,000,000","18,506,000,000","16,656,000,000","23,661,000,000","12,542,000,000","13,634,000,000","6,192,700,000","2,322,900,000",,,,,"1,213,800,000",,,
	NetOtherInvestingChanges,"-1,482,000,000","-1,496,000,000","-71,000,000","-3,690,000,000","-419,000,000","165,000,000","336,000,000","-1,210,000,000","-183,000,000","63,000,000","-476,000,000","1,180,000,000","-13,603,000,000","798,000,000","1,017,000,000","1,761,000,000","563,000,000","-759,000,000","-846,000,000","-727,000,000","-582,000,000","-417,000,000","9,640,000,000","-182,300,000","258,300,000",,,,"-453,300,000","-50,300,000",,,
