name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"787,295,000,000","768,916,000,000","796,289,000,000","819,861,000,000","820,805,000,000","921,462,000,000","872,806,000,000","924,280,000,000","1,049,165,000,000","1,032,005,000,000","1,031,427,000,000","1,170,350,000,000","1,361,938,989,600","1,257,018,537,600","1,342,223,184,000","1,087,994,353,600","1,003,687,381,840","956,518,399,570","1,025,913,308,370","1,059,522,302,900"
	TotalAssets,"787,295,000,000","768,916,000,000","796,289,000,000","819,861,000,000","820,805,000,000","921,462,000,000","872,806,000,000","924,280,000,000","1,049,165,000,000","1,032,005,000,000","1,031,427,000,000","1,170,350,000,000","1,361,938,989,600","1,257,018,537,600","1,342,223,184,000","1,087,994,353,600","1,003,687,381,840","956,518,399,570","1,025,913,308,370","1,059,522,302,900"
TotalAssets,"787,295,000,000","768,916,000,000","796,289,000,000","819,861,000,000","820,805,000,000","921,462,000,000","872,806,000,000","924,280,000,000","1,049,165,000,000","1,032,005,000,000","1,031,427,000,000","1,170,350,000,000","1,361,938,989,600","1,257,018,537,600","1,342,223,184,000","1,087,994,353,600","1,003,687,381,840","956,518,399,570","1,025,913,308,370","1,059,522,302,900"
	TotalLiabilitiesNetMinorityInterest,"743,581,000,000","724,897,000,000","754,100,000,000","777,550,000,000","775,787,000,000","876,461,000,000","825,640,000,000","881,996,000,000","1,008,080,000,000","988,990,000,000","983,099,000,000","1,123,129,000,000","1,302,045,701,850","1,198,065,603,600","1,292,140,308,000","1,045,601,233,600","966,761,653,000","925,096,637,930","986,862,610,980","1,008,894,136,100"
		TotalLiabilitiesNetMinorityInterest,"743,581,000,000","724,897,000,000","754,100,000,000","777,550,000,000","775,787,000,000","876,461,000,000","825,640,000,000","881,996,000,000","1,008,080,000,000","988,990,000,000","983,099,000,000","1,123,129,000,000","1,302,045,701,850","1,198,065,603,600","1,292,140,308,000","1,045,601,233,600","966,761,653,000","925,096,637,930","986,862,610,980","1,008,894,136,100"
	StockholdersEquity,"43,644,000,000","43,922,000,000","41,902,000,000","41,897,000,000","44,382,000,000","43,959,000,000","42,164,000,000","35,498,000,000","33,674,000,000","33,282,000,000","37,517,000,000","32,302,000,000","43,238,427,300","43,622,487,600","42,217,752,000","36,223,325,600","33,970,332,240","28,541,110,960","35,918,528,550","46,693,762,500"
		CapitalStock,"102,000,000","102,000,000","102,000,000","84,000,000","78,000,000","64,000,000","64,000,000","53,000,000","49,000,000","47,000,000","47,000,000","47,000,000","46,512,450","607,460,400","625,575,000","606,267,200","1,194,550,240","1,191,516,740","3,602,659,170","6,020,463,300"
		RetainedEarnings,"30,634,000,000","26,973,000,000","24,973,000,000","25,954,000,000","29,139,000,000","32,083,000,000","30,261,000,000","28,171,000,000","27,053,000,000","25,316,000,000","25,258,000,000","18,780,000,000","33,701,106,150","32,333,238,600","24,642,387,000","20,472,914,000","14,863,724,200","4,735,657,020","7,250,206,110","14,980,814,400"
		GainsLossesNotAffectingRetainedEarnings,"-20,269,000,000","-17,981,000,000","-18,738,000,000","-16,272,000,000","-16,635,000,000","-15,003,000,000","-15,875,000,000","-15,903,000,000","-15,134,000,000","-14,555,000,000","-11,638,000,000","-10,939,000,000","-5,697,207,900","-5,037,774,000","-1,910,967,000","-3,717,375,200","-2,517,973,120","1,885,416,280","5,556,108,420","10,744,012,400"
		StockholdersEquity,"43,644,000,000","43,922,000,000","41,902,000,000","41,897,000,000","44,382,000,000","43,959,000,000","42,164,000,000","35,498,000,000","33,674,000,000","33,282,000,000","37,517,000,000","32,302,000,000","43,238,427,300","43,622,487,600","42,217,752,000","36,223,325,600","33,970,332,240","28,541,110,960","35,918,528,550","46,693,762,500"
	TotalAssets,"787,295,000,000","768,916,000,000","796,289,000,000","819,861,000,000","820,805,000,000","921,462,000,000","872,806,000,000","924,280,000,000","1,049,165,000,000","1,032,005,000,000","1,031,427,000,000","1,170,350,000,000","1,361,938,989,600","1,257,018,537,600","1,342,223,184,000","1,087,994,353,600","1,003,687,381,840","956,518,399,570","1,025,913,308,370","1,059,522,302,900"
