name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"-17,519,000,000","-18,424,000,000","12,760,000,000","-8,542,000,000","26,775,000,000","15,068,000,000","-17,620,000,000","22,074,000,000","-12,674,000,000","38,655,000,000","8,228,000,000","-14,186,000,000","129,871,000,000","-54,004,357,800","-48,623,667,600","-21,027,222,000","-47,261,491,200","-11,289,986,760","57,545,282,370","4,385,701,380","-50,204,486,600"
	NetIncome,"4,209,000,000","3,419,000,000","2,024,000,000","-983,000,000","-2,710,000,000","-2,944,000,000","1,875,000,000","2,326,000,000","1,349,000,000","1,953,000,000","5,098,000,000","6,724,000,000","-8,218,000,000","6,320,020,950","11,336,821,200","5,863,284,000","5,620,507,200","770,757,520","-3,311,918,920","1,592,684,580","4,495,538,000"
	DepreciationAndAmortization,"1,289,000,000","1,275,000,000","936,000,000","894,000,000","937,000,000","4,889,000,000","1,285,000,000","1,345,000,000","1,294,000,000","1,196,000,000","1,166,000,000","1,114,000,000","1,174,000,000",,"1,029,511,200","1,539,573,000","2,022,790,000","4,811,658,280","3,419,735,980","3,762,260,130","1,293,680,000"
	DeferredIncomeTax,"511,000,000","589,000,000","800,000,000","2,238,000,000","-193,000,000","32,000,000","684,000,000","695,000,000","-226,000,000","196,000,000","1,224,000,000","875,000,000","-4,935,000,000","-1,194,575,850","646,494,000","-399,051,000","-72,934,400","-1,543,993,360","30,409,940",,"-279,758,300"
	ChangeInWorkingCapital,"-10,087,000,000","-3,807,000,000","-10,841,000,000","-17,528,000,000","8,356,000,000","-11,410,000,000","-17,814,000,000","3,090,000,000","-5,913,000,000","-1,889,000,000","8,413,000,000","-13,804,000,000","142,573,000,000","-67,953,555,000","-33,260,286,600","-24,743,796,000","-7,805,120,400","-76,406,605,600","-6,369,500,160","-3,837,073,080","-55,823,909,100"
	FreeCashFlow,"-18,811,000,000","-19,717,000,000","11,665,000,000","-9,610,000,000","25,611,000,000","13,966,000,000","-18,676,000,000","21,171,000,000","-13,916,000,000","36,916,000,000","6,539,000,000","-15,573,000,000","128,398,000,000","-55,211,412,600","-50,120,362,200","-22,112,430,000","-48,254,082,800","-12,172,268,680","55,867,206,590","4,251,038,070","-54,083,909,500"
	OtherNonCashItems,"1,196,000,000","7,741,000,000","-5,693,000,000","2,093,000,000","-905,000,000","-1,933,000,000","1,196,000,000","-38,000,000","4,584,000,000","-2,939,000,000","3,722,000,000","2,068,000,000","-2,084,000,000","8,823,752,100","-28,376,207,400","-1,822,728,000","-45,872,318,800","62,804,346,280","63,776,555,530","2,867,829,750","3,167,898,900"
	OperatingCashFlow,"-17,519,000,000","-18,424,000,000","12,760,000,000","-8,542,000,000","26,775,000,000","15,068,000,000","-17,620,000,000","22,074,000,000","-12,674,000,000","38,655,000,000","8,228,000,000","-14,186,000,000","129,871,000,000","-54,004,357,800","-48,623,667,600","-21,027,222,000","-47,261,491,200","-11,289,986,760","57,545,282,370","4,385,701,380","-50,204,486,600"
InvestingCashFlow,"1,396,000,000","-1,326,000,000","-7,392,000,000","10,814,000,000","-7,953,000,000","34,661,000,000","-10,339,000,000","11,519,000,000","42,955,000,000","-25,972,000,000","-21,449,000,000","62,071,000,000","5,825,000,000","-34,523,582,400","-20,487,760,800","-80,238,225,000","-40,659,788,400","-37,964,144,920","-110,381,170,850","-20,869,488,030","-152,785,225,100"
	CapitalExpenditure,"-1,292,000,000","-1,293,000,000","-1,095,000,000","-1,068,000,000","-1,164,000,000","-1,102,000,000","-1,056,000,000","-903,000,000","-1,242,000,000","-1,739,000,000","-1,689,000,000","-1,387,000,000","-1,473,000,000","-1,207,054,800","-1,496,694,600","-1,085,208,000","-992,591,600","-882,281,920","-1,678,075,780","-134,663,310","-3,879,422,900"
