name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"1,951,158,000,000","1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,731,210,000,000","1,842,530,000,000","1,880,382,000,000","1,864,660,000,000","1,873,878,000,000","1,913,902,000,000","1,856,646,000,000","1,938,470,000,000","2,187,631,000,000","1,884,318,000,000","1,494,037,000,000","1,484,101,000,000","1,264,032,000,000","1,097,190,000,000","1,051,450,000,000","902,210,000,000","716,937,000,000","668,641,000,000","386,555,000,000","151,067,000,000","114,475,000,000","115,297,000,000","101,360,000,000","23,397,100,000","21,560,800,000","19,688,600,000","17,955,300,000"
	TotalAssets,"1,951,158,000,000","1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,731,210,000,000","1,842,530,000,000","1,880,382,000,000","1,864,660,000,000","1,873,878,000,000","1,913,902,000,000","1,856,646,000,000","1,938,470,000,000","2,187,631,000,000","1,884,318,000,000","1,494,037,000,000","1,484,101,000,000","1,264,032,000,000","1,097,190,000,000","1,051,450,000,000","902,210,000,000","716,937,000,000","668,641,000,000","386,555,000,000","151,067,000,000","114,475,000,000","115,297,000,000","101,360,000,000","23,397,100,000","21,560,800,000","19,688,600,000","17,955,300,000"
TotalAssets,"1,951,158,000,000","1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,731,210,000,000","1,842,530,000,000","1,880,382,000,000","1,864,660,000,000","1,873,878,000,000","1,913,902,000,000","1,856,646,000,000","1,938,470,000,000","2,187,631,000,000","1,884,318,000,000","1,494,037,000,000","1,484,101,000,000","1,264,032,000,000","1,097,190,000,000","1,051,450,000,000","902,210,000,000","716,937,000,000","668,641,000,000","386,555,000,000","151,067,000,000","114,475,000,000","115,297,000,000","101,360,000,000","23,397,100,000","21,560,800,000","19,688,600,000","17,955,300,000"
	TotalLiabilitiesNetMinorityInterest,"1,757,212,000,000","1,720,309,000,000","1,640,793,000,000","1,565,934,000,000","1,508,118,000,000","1,630,485,000,000","1,674,249,000,000","1,673,663,000,000","1,694,305,000,000","1,748,113,000,000","1,701,673,000,000","1,796,840,000,000","2,074,033,000,000","1,764,535,000,000","1,381,500,000,000","1,374,810,000,000","1,166,018,000,000","1,010,472,000,000","970,203,000,000","836,004,000,000","662,331,000,000","621,473,000,000","363,002,000,000","135,953,000,000","102,597,000,000","106,519,000,000","91,924,000,000","19,168,300,000","18,281,000,000","16,829,700,000","15,352,800,000"
		TotalLiabilitiesNetMinorityInterest,"1,757,212,000,000","1,720,309,000,000","1,640,793,000,000","1,565,934,000,000","1,508,118,000,000","1,630,485,000,000","1,674,249,000,000","1,673,663,000,000","1,694,305,000,000","1,748,113,000,000","1,701,673,000,000","1,796,840,000,000","2,074,033,000,000","1,764,535,000,000","1,381,500,000,000","1,374,810,000,000","1,166,018,000,000","1,010,472,000,000","970,203,000,000","836,004,000,000","662,331,000,000","621,473,000,000","363,002,000,000","135,953,000,000","102,597,000,000","106,519,000,000","91,924,000,000","19,168,300,000","18,281,000,000","16,829,700,000","15,352,800,000"
	StockholdersEquity,"193,242,000,000","196,220,000,000","200,740,000,000","225,120,000,000","221,857,000,000","210,534,000,000","204,339,000,000","189,049,000,000","177,806,000,000","163,468,000,000","152,700,000,000","141,630,000,000","113,598,000,000","119,783,000,000","112,537,000,000","109,291,000,000","98,014,000,000","86,718,000,000","81,247,000,000","66,206,000,000","49,686,000,000","42,848,000,000","21,308,000,000","13,214,000,000","11,878,000,000","8,778,000,000","9,436,000,000","4,228,800,000","3,279,800,000","2,858,900,000","2,602,500,000"
		CapitalStock,"18,011,000,000","18,491,000,000","19,284,000,000","19,284,000,000","16,749,000,000","10,499,000,000","6,769,000,000","2,592,000,000","341,000,000","604,000,000","598,000,000","70,721,000,000","55,000,000","1,055,000,000","1,180,000,000","1,180,000,000","1,180,000,000","1,455,000,000","1,580,000,000","1,799,000,000","1,961,000,000","2,453,000,000","1,865,000,000","804,000,000","1,035,000,000","1,035,000,000","1,035,000,000","300,000,000",,,
		RetainedEarnings,"165,369,000,000","151,347,000,000","138,425,000,000","146,477,000,000","133,841,000,000","118,201,000,000","111,168,000,000","97,809,000,000","90,520,000,000","79,559,000,000","77,440,000,000","86,521,000,000","121,920,000,000","129,267,000,000","117,555,000,000","102,154,000,000","93,483,000,000","81,403,000,000","69,803,000,000","58,862,000,000","43,865,000,000","35,971,000,000","15,451,000,000","7,452,000,000","5,503,000,000","4,199,000,000","3,140,000,000","2,363,100,000","1,720,000,000","1,288,900,000","955,400,000"
		GainsLossesNotAffectingRetainedEarnings,"-36,318,000,000","-37,170,000,000","-34,668,000,000","-32,381,000,000","-29,344,000,000","-23,216,000,000","-19,133,000,000","-16,896,000,000","-17,788,000,000","-16,277,000,000","-18,937,000,000","-25,195,000,000","-4,660,000,000","-3,700,000,000","-5,168,000,000","-2,250,000,000","-2,656,000,000","-1,884,000,000","-2,233,000,000","-746,000,000","1,451,000,000",,"1,157,000,000","180,000,000","453,000,000","-1,465,000,000",,,,,"-3,300,000"
		StockholdersEquity,"193,242,000,000","196,220,000,000","200,740,000,000","225,120,000,000","221,857,000,000","210,534,000,000","204,339,000,000","189,049,000,000","177,806,000,000","163,468,000,000","152,700,000,000","141,630,000,000","113,598,000,000","119,783,000,000","112,537,000,000","109,291,000,000","98,014,000,000","86,718,000,000","81,247,000,000","66,206,000,000","49,686,000,000","42,848,000,000","21,308,000,000","13,214,000,000","11,878,000,000","8,778,000,000","9,436,000,000","4,228,800,000","3,279,800,000","2,858,900,000","2,602,500,000"
	TotalAssets,"1,951,158,000,000","1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,731,210,000,000","1,842,530,000,000","1,880,382,000,000","1,864,660,000,000","1,873,878,000,000","1,913,902,000,000","1,856,646,000,000","1,938,470,000,000","2,187,631,000,000","1,884,318,000,000","1,494,037,000,000","1,484,101,000,000","1,264,032,000,000","1,097,190,000,000","1,051,450,000,000","902,210,000,000","716,937,000,000","668,641,000,000","386,555,000,000","151,067,000,000","114,475,000,000","115,297,000,000","101,360,000,000","23,397,100,000","21,560,800,000","19,688,600,000","17,955,300,000"
