name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"77,457,000,000","74,286,000,000","72,854,000,000","71,449,000,000","69,875,000,000","76,354,000,000","76,882,000,000","76,366,000,000","70,173,000,000","78,353,000,000","86,601,000,000","80,285,000,000","52,793,000,000","81,698,000,000","89,615,000,000","83,642,000,000","86,190,000,000","77,442,000,000","71,308,000,000","80,057,000,000","75,188,000,000","57,237,000,000","48,936,000,000","26,166,000,000","19,483,000,000","14,607,000,000","17,435,000,000","6,103,000,000","4,638,700,000","5,794,900,000","5,181,900,000","4,694,700,000",,,
InterestExpense,"23,240,000,000","29,163,000,000","24,266,000,000","16,517,000,000","12,511,000,000","11,921,000,000","13,690,000,000","16,177,000,000","20,535,000,000","24,234,000,000","24,864,000,000","27,721,000,000","52,963,000,000","77,531,000,000","56,943,000,000","36,676,000,000","22,086,000,000","17,271,000,000","21,248,000,000","31,965,000,000","36,638,000,000","24,768,000,000","27,495,000,000","11,443,000,000","2,259,000,000","1,956,000,000","1,284,000,000","707,000,000","673,900,000","875,900,000","1,027,200,000","1,000,600,000",,,
PretaxIncome,"16,282,000,000","23,901,000,000","23,445,000,000","22,761,000,000","21,477,000,000","24,826,000,000","14,364,000,000","19,497,000,000","7,936,000,000","14,624,000,000","13,184,000,000","-7,799,000,000","-52,706,000,000","1,416,000,000","29,350,000,000","28,884,000,000","23,955,000,000","26,048,000,000","20,446,000,000","21,810,000,000","21,044,000,000","15,697,000,000","9,041,000,000","4,800,000,000","3,351,000,000","2,521,000,000","2,149,000,000","1,501,000,000","1,187,800,000","765,500,000","588,600,000","470,600,000",,,
TaxProvision,"2,489,000,000","4,430,000,000","5,357,000,000","29,388,000,000","6,444,000,000","7,440,000,000","6,864,000,000","5,867,000,000","27,000,000","3,521,000,000","2,233,000,000","-6,733,000,000","-20,612,000,000","-2,201,000,000","8,101,000,000","9,078,000,000","6,909,000,000","8,195,000,000","6,998,000,000","7,526,000,000","7,525,000,000","5,703,000,000","3,234,000,000","1,696,000,000","1,051,000,000","893,000,000","823,000,000","550,000,000","431,600,000","286,700,000","215,700,000","181,600,000",,,
NetIncomeContinuousOperations,"13,793,000,000","19,471,000,000","18,088,000,000","-6,627,000,000","15,033,000,000","17,386,000,000","7,500,000,000","13,630,000,000","7,909,000,000","11,103,000,000","10,951,000,000","-1,066,000,000","-32,094,000,000","3,617,000,000","21,249,000,000","19,806,000,000","17,046,000,000","17,853,000,000","13,448,000,000","14,284,000,000","13,519,000,000","9,994,000,000","5,807,000,000","3,104,000,000","2,300,000,000","1,628,000,000","1,326,000,000","951,000,000","756,200,000","478,800,000","372,900,000","289,000,000","161,800,000","101,500,000","37,700,000"
NetIncome,"13,730,000,000","19,401,000,000","18,045,000,000","-6,798,000,000","14,912,000,000","17,242,000,000","7,313,000,000","13,673,000,000","7,541,000,000","11,067,000,000","10,602,000,000","-1,606,000,000","-27,684,000,000","3,617,000,000","21,538,000,000","24,589,000,000","17,046,000,000","17,853,000,000","15,276,000,000","14,126,000,000","13,519,000,000","9,867,000,000","5,807,000,000","3,104,000,000","2,331,000,000","1,834,000,000","1,326,000,000","916,000,000","728,100,000","478,800,000","372,900,000","289,000,000","161,800,000","23,700,000","45,900,000"
NetIncomeCommonStockholders,"13,167,000,000","18,171,000,000","16,672,000,000","-8,048,000,000","13,640,000,000","16,249,000,000","6,691,000,000","13,216,000,000","7,349,000,000","11,041,000,000","10,593,000,000","-9,246,000,000","-29,416,000,000","3,581,000,000","21,474,000,000","24,521,000,000","16,978,000,000","17,782,000,000","15,193,000,000","14,016,000,000","13,403,000,000","9,718,000,000","5,591,000,000","2,962,000,000","2,236,000,000","1,748,000,000","1,240,000,000","890,000,000","720,800,000","478,800,000","372,900,000","289,000,000","161,800,000","23,700,000","45,900,000"
BasicEPS,,"8.626","7.237","-2.299","5.163","5.74","2.412","4.581","2.573","3.73","3.684","-8","-55.9","7.3","43.9","48.4","33.2","34.9","29.9","27.9","26.9","21.826","12.45","13.45","11.667","9.186","6.435","9.6","5.4","3.5","2.8","2.3","3.1","0.4","1"
DilutedEPS,,"8.04","6.68","-2.76","4.72","5.4","2.2","4.33","2.44","3.63","3.5","-8","-55.9","7.2","43.1","47.5","32.6","34.2","29.4","27.2","26.2","21.226","12.15","12.7","11.667","9.186","6.435","9.1","5.4","3.5","2.8","2.3","3.1","0.4","1"
BasicAverageShares,,"2,249,200,000","2,493,300,000","2,698,500,000","2,888,100,000","3,004,000,000","3,031,500,000","3,035,800,000","2,930,600,000","2,909,800,000","2,877,600,000","1,156,830,000","526,540,000","490,580,000","488,730,000","506,760,000","510,720,000","509,330,000","507,800,000","503,170,000","497,700,000","444,508,887","448,468,788","220,514,487","191,635,209","190,387,630","193,146,871","146,857,143","133,481,481","136,800,000","133,178,571","125,652,174","114,969,466","59,250,000","45,900,000"
DilutedAverageShares,,"2,265,300,000","2,494,800,000","2,698,500,000","2,888,300,000","3,007,700,000","3,037,000,000","3,041,600,000","3,015,500,000","2,998,800,000","2,967,810,000","1,209,900,000","579,510,000","499,530,000","498,610,000","516,040,000","520,740,000","519,360,000","516,620,000","514,700,000","512,220,000","459,121,855","463,028,424","235,974,100","191,635,209","190,655,738","193,333,333","146,857,143","133,481,481","136,800,000","133,178,571","125,652,174","114,969,466","59,250,000","45,900,000"
