name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"1,297,674,000,000","1,348,137,000,000","1,474,732,000,000","1,590,546,000,000","1,629,130,000,000","1,708,703,000,000","1,611,400,000,000","2,012,329,000,000","2,164,103,000,000","1,905,630,000,000","1,500,664,000,000","2,207,646,306,740","2,023,533,234,920","1,126,228,900,620","991,408,221,130","839,447,382,080","802,211,685,120","759,035,840,150","919,820,307,010","931,569,773,980"
	TotalAssets,"1,297,674,000,000","1,348,137,000,000","1,474,732,000,000","1,590,546,000,000","1,629,130,000,000","1,708,703,000,000","1,611,400,000,000","2,012,329,000,000","2,164,103,000,000","1,905,630,000,000","1,500,664,000,000","2,207,646,306,740","2,023,533,234,920","1,126,228,900,620","991,408,221,130","839,447,382,080","802,211,685,120","759,035,840,150","919,820,307,010","931,569,773,980"
TotalAssets,"1,297,674,000,000","1,348,137,000,000","1,474,732,000,000","1,590,546,000,000","1,629,130,000,000","1,708,703,000,000","1,611,400,000,000","2,012,329,000,000","2,164,103,000,000","1,905,630,000,000","1,500,664,000,000","2,207,646,306,740","2,023,533,234,920","1,126,228,900,620","991,408,221,130","839,447,382,080","802,211,685,120","759,035,840,150","919,820,307,010","931,569,773,980"
	TotalLiabilitiesNetMinorityInterest,"1,235,514,000,000","1,279,399,000,000","1,406,633,000,000","1,525,728,000,000","1,561,506,000,000","1,635,480,000,000","1,556,433,000,000","1,957,919,000,000","2,109,443,000,000","1,855,238,000,000","1,462,695,000,000","2,175,656,471,520","1,985,006,545,280","1,093,420,923,620","961,495,162,140","813,562,190,880","774,058,557,440","729,018,238,120","879,557,355,170","887,765,305,640"
		TotalLiabilitiesNetMinorityInterest,"1,235,514,000,000","1,279,399,000,000","1,406,633,000,000","1,525,728,000,000","1,561,506,000,000","1,635,480,000,000","1,556,433,000,000","1,957,919,000,000","2,109,443,000,000","1,855,238,000,000","1,462,695,000,000","2,175,656,471,520","1,985,006,545,280","1,093,420,923,620","961,495,162,140","813,562,190,880","774,058,557,440","729,018,238,120","879,557,355,170","887,765,305,640"
	StockholdersEquity,"60,522,000,000","67,170,000,000","67,849,000,000","64,502,000,000","67,354,000,000","72,970,000,000","54,720,000,000","54,003,000,000","53,390,000,000","48,843,000,000","36,647,000,000","30,775,840,620","37,102,137,650","32,807,977,000","29,913,058,990","25,885,191,200","28,153,127,680","30,017,602,030","40,262,951,840","43,804,468,340"
		CapitalStock,"5,291,000,000","5,291,000,000","5,291,000,000","3,531,000,000","3,531,000,000","3,531,000,000","2,610,000,000","2,380,000,000",,"2,380,000,000",,,,,"1,419,285,110","1,391,264,480","1,487,218,190","1,593,365,840","1,593,704,380","1,582,203,640"
		RetainedEarnings,"9,644,000,000","16,714,000,000","17,454,000,000","18,987,000,000","21,182,000,000","29,279,000,000","28,376,000,000","29,198,000,000","30,119,000,000","25,999,000,000","24,056,000,000","20,121,421,740","25,155,653,990","25,068,931,340","22,610,621,800","19,799,331,200","20,450,242,650","22,106,045,090","22,658,025,600","23,395,532,020"
		GainsLossesNotAffectingRetainedEarnings,"421,000,000","253,000,000","520,000,000","3,550,000,000","4,404,000,000","1,923,000,000","-2,457,000,000","-1,293,000,000","-1,981,000,000","-2,601,000,000","-3,780,000,000","-4,865,316,820","-2,423,178,710","-5,650,094,330","-2,414,726,600","-4,872,376,400","-3,943,152,980","-2,928,476,810","5,217,190,220","8,039,851,740"
		StockholdersEquity,"60,522,000,000","67,170,000,000","67,849,000,000","64,502,000,000","67,354,000,000","72,970,000,000","54,720,000,000","54,003,000,000","53,390,000,000","48,843,000,000","36,647,000,000","30,775,840,620","37,102,137,650","32,807,977,000","29,913,058,990","25,885,191,200","28,153,127,680","30,017,602,030","40,262,951,840","43,804,468,340"
	TotalAssets,"1,297,674,000,000","1,348,137,000,000","1,474,732,000,000","1,590,546,000,000","1,629,130,000,000","1,708,703,000,000","1,611,400,000,000","2,012,329,000,000","2,164,103,000,000","1,905,630,000,000","1,500,664,000,000","2,207,646,306,740","2,023,533,234,920","1,126,228,900,620","991,408,221,130","839,447,382,080","802,211,685,120","759,035,840,150","919,820,307,010","931,569,773,980"
