name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"23,077,000,000","23,053,000,000","25,093,000,000","26,311,000,000","29,561,000,000","33,380,000,000","31,314,000,000","31,541,000,000","33,542,000,000","33,492,000,000","30,571,000,000","27,893,000,000","13,522,032,160","30,793,505,390","28,338,363,690","25,620,586,950","21,902,456,880","21,230,774,140","26,568,803,600","29,673,471,820","34,574,237,280"
InterestExpense,"8,720,000,000","11,400,000,000","11,601,000,000","11,714,000,000","10,929,000,000","10,086,000,000","10,729,000,000","10,768,000,000","16,351,000,000","17,433,000,000","13,196,000,000","14,494,000,000","42,196,009,940","58,949,840,630","48,298,191,360","35,679,696,290","22,823,819,200","21,697,663,780","28,620,548,010","45,096,888,750","48,235,916,220"
PretaxIncome,"-1,693,000,000","-2,634,000,000","1,330,000,000","1,228,000,000","-810,000,000","-6,097,000,000","3,116,000,000","1,456,000,000","784,000,000","5,390,000,000","3,975,000,000","5,202,000,000","-5,693,562,840","8,727,009,880","8,125,467,560","6,107,738,540","4,026,257,440","2,751,313,950","3,551,719,190","1,806,123,370","6,888,867,800"
TaxProvision,"542,000,000","2,630,000,000","989,000,000","1,963,000,000","546,000,000","675,000,000","1,425,000,000","775,000,000","493,000,000","1,064,000,000","1,645,000,000","244,000,000","-1,849,725,500","2,242,794,900","2,185,177,960","2,581,055,670","1,555,767,120","1,539,624,170","3,191,496,530","1,431,861,340","-6,662,078,180"
NetIncomeContinuousOperations,"-2,235,000,000","-5,264,000,000","341,000,000","-735,000,000","-1,356,000,000","-6,772,000,000","1,691,000,000","681,000,000","291,000,000","4,326,000,000","2,330,000,000","4,958,000,000","-3,843,837,340","6,484,214,980","5,940,289,600","3,526,682,870","2,470,490,320","1,211,689,780","360,222,660","374,262,030","13,550,945,980"
NetIncome,"-2,354,000,000","-5,390,000,000","267,000,000","-751,000,000","-1,402,000,000","-6,794,000,000","1,663,000,000","666,000,000","237,000,000","4,132,000,000","2,310,000,000","4,973,000,000","-3,843,837,340","6,484,214,980","5,986,508,690","3,526,682,870","2,470,490,320","1,362,555,480","396,435,520","167,462,590","13,550,945,980"
NetIncomeCommonStockholders,"-2,711,000,000","-5,719,000,000","-25,000,000","-1,049,000,000","-1,678,000,000","-7,022,000,000","1,663,000,000","666,000,000","237,000,000","4,132,000,000","2,310,000,000","4,973,000,000","-3,843,837,340","6,484,214,980","5,986,508,690","3,526,682,870","2,470,490,320","1,362,555,480","396,435,520","167,462,590","13,550,945,980"
BasicEPS,,"-2.71","-0.01","-0.53","-1.08","-4.516","1.196","0.57","0.213","3.788","2.613","6.152","-5.902","10.632","10.33","5.895","3.91","1.898","0.497","0.21","17.136"
DilutedEPS,,"-2.71","-0.01","-0.53","-1.08","-4.516","1.169","0.553","0.213","3.66","2.486","5.896","-5.902","10.165","8.964","5.376","3.528","1.797","0.489","0.21","16.921"
BasicAverageShares,,"2,110,000,000","2,102,200,000","1,967,700,000","1,555,281,375","1,555,057,288","1,391,585,238","1,171,677,809","1,097,199,793","1,090,151,400","884,925,700","808,623,739","648,984,599","610,490,968","579,550,629","598,288,092","631,873,162","717,808,891","797,428,825","797,912,092","790,862,335"
DilutedAverageShares,,"2,110,000,000","2,102,200,000","1,967,700,000","1,555,281,375","1,555,057,288","1,421,837,091","1,204,335,361","1,127,742,828","1,124,571,051","928,978,154","843,770,098","649,113,340","638,685,300","667,863,142","655,964,756","700,221,438","758,204,863","810,086,483","797,912,092","801,017,530"
