name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"2,203,623,000,000","2,063,060,000,000","2,049,776,000,000","2,023,376,000,000","1,986,050,000,000","1,945,539,000,000","1,966,061,000,000","1,989,856,000,000","2,147,216,000,000","2,261,780,000,000","841,784,000,000","850,963,000,000","794,368,000,000","813,081,000,000","806,222,000,000","795,284,000,000","803,449,000,000","752,249,000,000","617,340,000,000","459,297,000,000","386,684,000,000","321,421,000,000","194,597,000,000","173,866,000,000","137,181,000,000","106,199,000,000","83,880,000,000","59,502,000,000","46,860,000,000","40,579,000,000"
	TotalAssets,"2,203,623,000,000","2,063,060,000,000","2,049,776,000,000","2,023,376,000,000","1,986,050,000,000","1,945,539,000,000","1,966,061,000,000","1,989,856,000,000","2,147,216,000,000","2,261,780,000,000","841,784,000,000","850,963,000,000","794,368,000,000","813,081,000,000","806,222,000,000","795,284,000,000","803,449,000,000","752,249,000,000","617,340,000,000","459,297,000,000","386,684,000,000","321,421,000,000","194,597,000,000","173,866,000,000","137,181,000,000","106,199,000,000","83,880,000,000","59,502,000,000","46,860,000,000","40,579,000,000"
TotalAssets,"2,203,623,000,000","2,063,060,000,000","2,049,776,000,000","2,023,376,000,000","1,986,050,000,000","1,945,539,000,000","1,966,061,000,000","1,989,856,000,000","2,147,216,000,000","2,261,780,000,000","841,784,000,000","850,963,000,000","794,368,000,000","813,081,000,000","806,222,000,000","795,284,000,000","803,449,000,000","752,249,000,000","617,340,000,000","459,297,000,000","386,684,000,000","321,421,000,000","194,597,000,000","173,866,000,000","137,181,000,000","106,199,000,000","83,880,000,000","59,502,000,000","46,860,000,000","40,579,000,000"
	TotalLiabilitiesNetMinorityInterest,"2,194,501,000,000","2,058,583,000,000","2,050,088,000,000","2,018,301,000,000","1,983,110,000,000","1,942,888,000,000","1,953,226,000,000","1,981,029,000,000","2,147,362,000,000","2,262,181,000,000","837,412,000,000","881,600,000,000","767,468,000,000","784,264,000,000","778,082,000,000","762,359,000,000","770,033,000,000","718,610,000,000","601,967,000,000","444,460,000,000","375,159,000,000","310,586,000,000","183,329,000,000","167,135,000,000","131,318,000,000","101,037,000,000","79,443,000,000","55,932,000,000","44,294,000,000","38,443,000,000"
		TotalLiabilitiesNetMinorityInterest,"2,194,501,000,000","2,058,583,000,000","2,050,088,000,000","2,018,301,000,000","1,983,110,000,000","1,942,888,000,000","1,953,226,000,000","1,981,029,000,000","2,147,362,000,000","2,262,181,000,000","837,412,000,000","881,600,000,000","767,468,000,000","784,264,000,000","778,082,000,000","762,359,000,000","770,033,000,000","718,610,000,000","601,967,000,000","444,460,000,000","375,159,000,000","310,586,000,000","183,329,000,000","167,135,000,000","131,318,000,000","101,037,000,000","79,443,000,000","55,932,000,000","44,294,000,000","38,443,000,000"
	StockholdersEquity,"9,122,000,000","4,477,000,000","-312,000,000","5,075,000,000","2,940,000,000","2,651,000,000","12,835,000,000","8,827,000,000","-146,000,000","-401,000,000","4,278,000,000","-30,731,000,000","26,724,000,000","28,301,000,000","27,191,000,000","31,416,000,000","31,487,000,000","31,330,000,000","15,373,000,000","14,837,000,000","11,525,000,000","10,835,000,000","7,521,000,000","6,731,000,000","5,863,000,000","5,162,000,000","4,437,000,000","3,570,000,000","2,566,000,000","2,136,000,000"
		CapitalStock,"86,757,000,000","86,757,000,000","86,445,000,000","86,445,000,000","86,445,000,000","86,445,000,000","86,445,000,000","86,445,000,000","86,280,000,000","78,309,000,000","65,809,000,000","28,909,000,000","14,261,000,000","6,261,000,000","4,761,000,000","4,761,000,000","4,761,000,000","4,761,000,000","4,748,000,000","3,347,000,000","3,347,000,000","2,959,000,000","1,739,000,000","46,000,000",,"35,000,000","35,000,000","23,000,000",,
		RetainedEarnings,"-74,188,000,000","-78,260,000,000","-83,261,000,000","-77,941,000,000","-80,773,000,000","-81,639,000,000","-69,719,000,000","-70,796,000,000","-74,525,000,000","-62,733,000,000","-33,921,000,000","-23,191,000,000","26,909,000,000","32,177,000,000","31,559,000,000","30,728,000,000","28,837,000,000","24,955,000,000","15,004,000,000","11,629,000,000","9,736,000,000","8,083,000,000","6,830,000,000","5,804,000,000","4,884,000,000","4,074,000,000","3,344,000,000","2,769,000,000","2,314,000,000","1,879,000,000"
		GainsLossesNotAffectingRetainedEarnings,"438,000,000","-135,000,000","389,000,000","456,000,000","1,153,000,000","1,730,000,000","-6,000,000","-2,938,000,000","-7,995,000,000","-9,678,000,000","-23,648,000,000","-32,357,000,000","-11,143,000,000","-7,869,000,000","-8,773,000,000","-3,593,000,000","-1,498,000,000","2,340,000,000","-3,963,000,000","456,000,000","-1,166,000,000","120,000,000","146,000,000","-12,000,000","33,000,000","-7,000,000",,,,
		StockholdersEquity,"9,122,000,000","4,477,000,000","-312,000,000","5,075,000,000","2,940,000,000","2,651,000,000","12,835,000,000","8,827,000,000","-146,000,000","-401,000,000","4,278,000,000","-30,731,000,000","26,724,000,000","28,301,000,000","27,191,000,000","31,416,000,000","31,487,000,000","31,330,000,000","15,373,000,000","14,837,000,000","11,525,000,000","10,835,000,000","7,521,000,000","6,731,000,000","5,863,000,000","5,162,000,000","4,437,000,000","3,570,000,000","2,566,000,000","2,136,000,000"
