name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalRevenue,"14,524,000,000","14,078,000,000","15,565,000,000","20,692,000,000","15,090,000,000","11,587,000,000","14,369,000,000","24,280,000,000","13,267,000,000","10,039,000,000","9,740,000,000","25,159,000,000","16,227,000,000","3,293,000,000","5,150,000,000","5,569,000,000","6,098,000,000","10,330,000,000","16,668,000,000","7,365,000,000","4,457,000,000","4,055,000,000","3,337,000,000","3,280,000,000","2,875,000,000","2,522,000,000","2,286,000,000","1,885,000,000","1,703,000,000","1,518,000,000","1,307,000,000"
InterestExpense,"57,326,000,000","61,047,000,000","58,033,000,000","53,643,000,000","50,786,000,000","52,144,000,000","55,217,000,000","56,234,000,000","67,107,000,000","80,743,000,000","93,100,000,000","23,273,000,000","34,681,000,000","39,811,000,000","38,852,000,000","30,957,000,000","26,566,000,000","26,509,000,000","29,590,000,000","28,808,000,000","25,512,000,000","20,213,000,000","14,711,000,000","11,119,000,000","9,241,000,000","6,997,000,000","4,703,000,000","3,571,000,000","2,830,000,000","2,744,000,000","2,692,000,000"
PretaxIncome,"7,839,000,000","9,049,000,000","11,474,000,000","16,834,000,000","11,639,000,000","9,274,000,000","11,002,000,000","25,363,000,000","9,445,000,000","-5,666,000,000","-14,882,000,000","-22,384,000,000","-44,569,000,000","-5,977,000,000","2,103,000,000","2,556,000,000","3,727,000,000","7,018,000,000","14,803,000,000","6,300,000,000","3,534,000,000","3,161,000,000","2,356,000,000","1,964,000,000","1,797,000,000","1,586,000,000","1,482,000,000","1,128,000,000","901,000,000","800,000,000","587,000,000"
TaxProvision,"1,588,000,000","1,835,000,000","2,239,000,000","11,209,000,000","3,824,000,000","2,898,000,000","3,312,000,000","-23,305,000,000","-1,537,000,000","-400,000,000","-856,000,000","-830,000,000","5,550,000,000","-2,883,000,000","-108,000,000","367,000,000","790,000,000","2,202,000,000","4,713,000,000","1,927,000,000","995,000,000","943,000,000","656,000,000","569,000,000","539,000,000","495,000,000","455,000,000","342,000,000","279,000,000","245,000,000","173,000,000"
NetIncomeContinuousOperations,"6,251,000,000","7,214,000,000","9,235,000,000","5,625,000,000","7,815,000,000","6,376,000,000","7,690,000,000","48,668,000,000","10,982,000,000","-5,266,000,000","-14,026,000,000","-21,554,000,000","-50,119,000,000","-3,094,000,000","2,211,000,000","2,189,000,000","2,937,000,000","4,816,000,000","10,090,000,000","4,373,000,000","2,539,000,000","2,218,000,000","1,700,000,000","1,395,000,000","1,258,000,000","1,091,000,000","1,027,000,000","786,000,000","622,000,000","555,000,000","414,000,000"
NetIncome,"6,251,000,000","7,214,000,000","9,235,000,000","5,625,000,000","7,815,000,000","6,376,000,000","7,690,000,000","48,668,000,000","10,982,000,000","-5,266,000,000","-14,025,000,000","-21,553,000,000","-50,119,000,000","-3,094,000,000","2,211,000,000","2,130,000,000","2,937,000,000","4,816,000,000","10,090,000,000","4,147,000,000","2,547,000,000","2,223,000,000","1,700,000,000","1,395,000,000","1,243,000,000","1,091,000,000","983,000,000","786,000,000","622,000,000","555,000,000","414,000,000"
NetIncomeCommonStockholders,"-365,000,000","-573,000,000","3,612,000,000","-3,244,000,000","97,000,000","-23,000,000","-2,336,000,000","-3,531,000,000","-2,074,000,000","-11,764,000,000","-19,774,000,000","-25,658,000,000","-50,793,000,000","-3,498,000,000","1,941,000,000","1,907,000,000","2,727,000,000","4,600,000,000","9,856,000,000","3,930,000,000","2,367,000,000","2,070,000,000","1,579,000,000","1,300,000,000","1,168,000,000","1,026,000,000","918,000,000","775,000,000","592,000,000","555,000,000","414,000,000"
BasicEPS,,"-0.18","1.12","-1","0.03","-0.01","-0.72","-1.09","-0.64","-3.63","-6.09","-7.89","-34.6","-5.37","2.84","2.76","3.96","6.69","14.23","5.66","3.41","2.97","2.32","1.9","1.65","1.42","1.27","1.02","0.82","0.77","0.58"
DilutedEPS,,"-0.18","1.12","-1","0.03","-0.01","-0.72","-1.09","-0.64","-3.63","-6.09","-7.89","-34.6","-5.37","2.84","2.75","3.94","6.68","14.18","5.64","3.4","2.96","2.31","1.88","1.63","1.41","1.26","1.02","0.82","0.77","0.58"
BasicAverageShares,,"3,234,000,000","3,234,000,000","3,234,000,000","3,234,000,000","3,235,000,000","3,236,000,000","3,238,047,000","3,240,028,000","3,244,896,000","3,249,369,000","3,253,836,000","1,468,062,000","651,881,000","680,856,000","691,582,000","689,282,000","687,094,000","692,727,000","694,096,000","693,555,000","696,042,000","679,790,000","684,937,000","707,878,788","722,535,211","722,834,646","759,803,922","721,951,220","720,779,221","713,793,103"
DilutedAverageShares,,"3,234,000,000","3,234,000,000","3,234,000,000","3,234,000,000","3,235,000,000","3,236,000,000","3,238,047,000","3,240,028,000","3,244,896,000","3,249,369,000","3,253,836,000","1,468,062,000","651,881,000","682,664,000","693,511,000","691,521,000","688,675,000","695,116,000","696,876,000","696,448,000","700,211,000","684,658,000","691,701,000","716,564,417","727,659,574","728,571,429","759,803,922","721,951,220","720,779,221","713,793,103"
