name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"3,503,319,000,000","3,418,318,000,000","3,345,529,000,000","3,287,968,000,000","3,221,917,000,000","3,248,176,000,000","3,270,108,000,000","3,222,422,000,000","3,211,484,000,000","3,221,972,000,000","869,141,000,000","912,404,000,000","882,547,000,000","843,936,000,000","834,168,000,000","1,020,934,000,000","1,009,569,000,000","887,515,000,000","799,791,000,000","675,072,000,000","575,167,000,000","485,014,000,000","391,672,700,000","351,041,400,000","316,549,800,000","272,508,000,000","216,979,000,000","180,978,000,000","147,072,000,000","133,113,000,000","124,315,000,000"
	TotalAssets,"3,503,319,000,000","3,418,318,000,000","3,345,529,000,000","3,287,968,000,000","3,221,917,000,000","3,248,176,000,000","3,270,108,000,000","3,222,422,000,000","3,211,484,000,000","3,221,972,000,000","869,141,000,000","912,404,000,000","882,547,000,000","843,936,000,000","834,168,000,000","1,020,934,000,000","1,009,569,000,000","887,515,000,000","799,791,000,000","675,072,000,000","575,167,000,000","485,014,000,000","391,672,700,000","351,041,400,000","316,549,800,000","272,508,000,000","216,979,000,000","180,978,000,000","147,072,000,000","133,113,000,000","124,315,000,000"
TotalAssets,"3,503,319,000,000","3,418,318,000,000","3,345,529,000,000","3,287,968,000,000","3,221,917,000,000","3,248,176,000,000","3,270,108,000,000","3,222,422,000,000","3,211,484,000,000","3,221,972,000,000","869,141,000,000","912,404,000,000","882,547,000,000","843,936,000,000","834,168,000,000","1,020,934,000,000","1,009,569,000,000","887,515,000,000","799,791,000,000","675,072,000,000","575,167,000,000","485,014,000,000","391,672,700,000","351,041,400,000","316,549,800,000","272,508,000,000","216,979,000,000","180,978,000,000","147,072,000,000","133,113,000,000","124,315,000,000"
	TotalLiabilitiesNetMinorityInterest,"3,488,711,000,000","3,412,078,000,000","3,349,215,000,000","3,281,897,000,000","3,217,858,000,000","3,244,456,000,000","3,260,517,000,000","3,215,198,000,000","3,216,055,000,000","3,224,489,000,000","884,422,000,000","927,561,000,000","838,429,000,000","802,294,000,000","794,745,000,000","981,956,000,000","987,196,000,000","871,227,000,000","781,673,000,000","654,234,000,000","557,538,000,000","469,561,000,000","377,879,700,000","338,268,500,000","305,591,200,000","262,967,000,000","208,927,000,000","174,204,000,000","141,525,000,000","129,172,000,000","121,324,000,000"
		TotalLiabilitiesNetMinorityInterest,"3,488,711,000,000","3,412,078,000,000","3,349,215,000,000","3,281,897,000,000","3,217,858,000,000","3,244,456,000,000","3,260,517,000,000","3,215,198,000,000","3,216,055,000,000","3,224,489,000,000","884,422,000,000","927,561,000,000","838,429,000,000","802,294,000,000","794,745,000,000","981,956,000,000","987,196,000,000","871,227,000,000","781,673,000,000","654,234,000,000","557,538,000,000","469,561,000,000","377,879,700,000","338,268,500,000","305,591,200,000","262,967,000,000","208,927,000,000","174,204,000,000","141,525,000,000","129,172,000,000","121,324,000,000"
	StockholdersEquity,"14,608,000,000","6,240,000,000","-3,686,000,000","6,071,000,000","4,030,000,000","3,680,000,000","9,541,000,000","7,183,000,000","-4,624,000,000","-2,599,000,000","-15,372,000,000","-15,314,000,000","44,011,000,000","41,506,000,000","39,302,000,000","38,902,000,000","22,373,000,000","16,288,000,000","18,118,000,000","20,838,000,000","17,629,000,000","15,453,000,000","13,793,000,000","12,772,900,000","10,958,600,000","9,541,000,000","8,052,000,000","6,774,000,000","5,547,000,000","3,941,000,000","2,991,000,000"
		CapitalStock,"140,653,000,000","140,653,000,000","136,966,000,000","136,966,000,000","136,966,000,000","136,966,000,000","136,966,000,000","136,966,000,000","131,708,000,000","108,804,000,000","81,248,000,000","22,222,000,000","16,913,000,000","9,108,000,000","9,108,000,000","9,108,000,000","4,701,000,000","3,271,000,000","2,896,000,000","2,871,000,000","1,893,000,000","1,150,000,000","1,000,000,000","1,000,000,000",,,,,,,
		RetainedEarnings,"-118,776,000,000","-127,335,000,000","-133,805,000,000","-124,253,000,000","-126,942,000,000","-127,618,000,000","-121,227,000,000","-122,766,000,000","-128,381,000,000","-102,986,000,000","-90,237,000,000","-26,790,000,000","33,548,000,000","37,955,000,000","35,555,000,000","30,705,000,000","35,496,000,000","29,385,000,000","26,175,000,000","21,619,000,000","18,417,000,000","15,689,000,000","13,325,200,000","11,214,200,000","9,347,600,000","7,933,000,000","6,470,000,000","5,099,000,000","3,853,000,000","2,772,000,000","1,771,000,000"
		GainsLossesNotAffectingRetainedEarnings,"131,000,000","322,000,000","553,000,000","759,000,000","1,407,000,000","1,733,000,000","1,203,000,000","384,000,000","-1,235,000,000","-1,682,000,000","-1,732,000,000","-7,673,000,000","-1,362,000,000","-445,000,000","-131,000,000","4,387,000,000","-12,032,000,000","-11,792,000,000","-7,065,000,000","10,000,000","-246,000,000",,,,,,,,,,
		StockholdersEquity,"14,608,000,000","6,240,000,000","-3,686,000,000","6,071,000,000","4,030,000,000","3,680,000,000","9,541,000,000","7,183,000,000","-4,624,000,000","-2,599,000,000","-15,372,000,000","-15,314,000,000","44,011,000,000","41,506,000,000","39,302,000,000","38,902,000,000","22,373,000,000","16,288,000,000","18,118,000,000","20,838,000,000","17,629,000,000","15,453,000,000","13,793,000,000","12,772,900,000","10,958,600,000","9,541,000,000","8,052,000,000","6,774,000,000","5,547,000,000","3,941,000,000","2,991,000,000"
