name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,446,000,000","21,694,000,000","24,003,000,000","23,271,000,000","22,436,000,000","22,326,000,000","21,958,000,000","30,420,000,000","19,785,000,000","14,329,000,000","16,532,000,000","4,545,000,000","10,216,000,000","3,217,000,000","8,276,000,000","14,640,000,000","21,025,000,000","16,417,000,000","12,614,000,000","9,723,000,000","6,981,700,000","6,367,000,000","5,614,000,000","5,347,900,000","4,873,700,000","4,225,600,000","4,049,000,000","3,753,000,000","3,083,000,000","2,770,000,000","2,243,000,000","1,668,000,000",,,,
InterestExpense,"93,303,000,000","98,610,000,000","96,098,000,000","89,123,000,000","84,726,000,000","88,033,000,000","94,437,000,000","95,145,000,000","107,689,000,000","123,662,000,000","137,861,000,000","24,845,000,000","34,341,000,000","40,185,000,000","36,875,000,000","33,339,000,000","29,737,000,000","37,351,000,000","40,287,000,000","41,080,000,000","37,107,200,000","30,601,000,000","25,885,000,000","22,429,000,000","20,180,200,000","18,023,400,000","14,524,000,000","12,300,000,000","11,476,000,000","10,815,000,000","10,476,000,000","9,889,000,000",,,,
PretaxIncome,"14,021,000,000","17,577,000,000","20,099,000,000","18,447,000,000","18,333,000,000","16,208,000,000","21,150,000,000","38,567,000,000","17,220,000,000","-16,945,000,000","-14,100,000,000","-73,007,000,000","-44,549,000,000","-5,126,000,000","4,213,000,000","7,571,000,000","5,999,000,000","10,413,000,000","6,048,000,000","8,291,000,000","5,982,500,000","5,440,000,000","4,645,000,000","4,337,300,000","3,904,500,000","2,995,400,000","3,146,000,000","3,005,000,000","2,382,000,000","2,081,000,000","1,647,000,000","1,104,000,000",,,,
TaxProvision,"2,687,000,000","3,417,000,000","4,140,000,000","15,984,000,000","6,020,000,000","5,253,000,000","6,941,000,000","-45,415,000,000","0","-90,000,000","-82,000,000","-985,000,000","13,749,000,000","-3,091,000,000","166,000,000","1,277,000,000","1,024,000,000","2,693,000,000","1,429,000,000","2,224,000,000","1,566,400,000","1,519,000,000","1,201,000,000","1,268,700,000","1,150,900,000","839,800,000","1,005,000,000","963,000,000","733,000,000","626,000,000","474,000,000","297,000,000",,,,
NetIncomeContinuousOperations,"11,334,000,000","14,160,000,000","15,959,000,000","2,463,000,000","12,313,000,000","10,955,000,000","14,209,000,000","83,982,000,000","17,220,000,000","-16,855,000,000","-14,018,000,000","-72,022,000,000","-58,298,000,000","-2,035,000,000","4,047,000,000","6,294,000,000","4,975,000,000","7,720,000,000","4,619,000,000","6,067,000,000","4,416,100,000","3,921,000,000","3,444,000,000","3,068,600,000","2,753,600,000","2,155,600,000","2,141,000,000","2,042,000,000","1,649,000,000","1,455,000,000","1,173,000,000","807,000,000","507,000,000","376,000,000","183,000,000","36,900,000"
NetIncome,"11,334,000,000","14,160,000,000","15,959,000,000","2,463,000,000","12,313,000,000","10,954,000,000","14,208,000,000","83,963,000,000","17,224,000,000","-16,855,000,000","-14,014,000,000","-71,969,000,000","-58,707,000,000","-2,050,000,000","4,059,000,000","6,347,000,000","4,967,000,000","7,905,000,000","4,619,000,000","5,894,000,000","4,447,600,000","3,912,000,000","3,418,000,000","3,055,800,000","2,724,700,000","2,144,200,000","2,132,000,000","1,872,700,000","1,623,000,000","1,547,000,000","1,173,000,000","807,000,000","507,000,000","376,000,000","183,000,000","36,900,000"
NetIncomeCommonStockholders,"83,000,000","191,000,000","3,346,000,000","-6,481,000,000","77,000,000","-262,000,000","-1,115,000,000","-1,456,000,000","1,397,000,000","-26,469,000,000","-21,718,000,000","-74,443,000,000","-59,776,000,000","-2,563,000,000","3,548,000,000","5,861,000,000","4,802,000,000","7,755,000,000","4,520,000,000","5,756,000,000","4,326,800,000","3,834,000,000","3,352,000,000","2,991,300,000","2,682,700,000","2,144,200,000","2,132,000,000","1,872,700,000","1,623,000,000","1,547,000,000","1,173,000,000","807,000,000","507,000,000","376,000,000","183,000,000","36,900,000"
BasicEPS,,"0.03","0.58","-1.12","0.01","-0.05","-0.19","-0.25","0.24","-4.61","-3.81","-13.11","-24.04","-2.63","3.65","6.04","4.95","7.93","4.56","5.75","4.31","3.75","3.26","2.85","2.5","1.97","1.94","1.7","1.48","1.42","1.13","0.79","0.54","0.39","0.21","0.04"
DilutedEPS,,"0.03","0.57","-1.12","0.01","-0.05","-0.19","-0.25","0.24","-4.61","-3.81","-13.11","-24.04","-2.63","3.65","6.01","4.94","7.91","4.53","5.72","4.29","3.72","3.23","2.83","2.48","1.96","1.93","1.7","1.48","1.41","1.12","0.78","0.53","0.39","0.21","0.04"
BasicAverageShares,,"5,762,000,000","5,762,000,000","5,762,000,000","5,762,000,000","5,762,000,000","5,762,000,000","5,762,000,000","5,762,000,000","5,737,000,000","5,694,000,000","5,680,000,000","2,487,000,000","973,000,000","971,000,000","970,000,000","970,000,000","977,000,000","992,000,000","1,000,000,000","1,003,000,000","1,024,000,000","1,029,000,000","1,049,578,947","1,073,080,000","1,088,426,396","1,098,969,072","1,101,588,235","1,096,621,622","1,089,436,620","1,038,053,097","1,021,518,987","938,888,889","964,102,564","871,428,571","922,500,000"
