name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalAssets,"1,356,303,000,000","1,309,428,000,000","1,275,128,000,000","1,382,241,000,000","1,334,391,000,000","1,308,170,000,000","1,235,262,000,000","1,250,696,000,000","1,181,372,000,000","1,132,072,000,000","1,023,701,000,000","1,130,003,000,000","1,071,762,000,000","956,841,000,000","835,134,000,000"
	TotalAssets,"1,356,303,000,000","1,309,428,000,000","1,275,128,000,000","1,382,241,000,000","1,334,391,000,000","1,308,170,000,000","1,235,262,000,000","1,250,696,000,000","1,181,372,000,000","1,132,072,000,000","1,023,701,000,000","1,130,003,000,000","1,071,762,000,000","956,841,000,000","835,134,000,000"
TotalAssets,"1,356,303,000,000","1,309,428,000,000","1,275,128,000,000","1,382,241,000,000","1,334,391,000,000","1,308,170,000,000","1,235,262,000,000","1,250,696,000,000","1,181,372,000,000","1,132,072,000,000","1,023,701,000,000","1,130,003,000,000","1,071,762,000,000","956,841,000,000","835,134,000,000"
	TotalLiabilitiesNetMinorityInterest,"1,287,733,000,000","1,243,619,000,000","1,211,091,000,000","1,316,535,000,000","1,271,716,000,000","1,249,357,000,000","1,181,161,000,000","1,196,599,000,000","1,130,260,000,000","1,081,097,000,000","976,863,000,000","1,089,116,000,000","1,040,487,000,000","923,409,000,000","807,934,000,000"
		TotalLiabilitiesNetMinorityInterest,"1,287,733,000,000","1,243,619,000,000","1,211,091,000,000","1,316,535,000,000","1,271,716,000,000","1,249,357,000,000","1,181,161,000,000","1,196,599,000,000","1,130,260,000,000","1,081,097,000,000","976,863,000,000","1,089,116,000,000","1,040,487,000,000","923,409,000,000","807,934,000,000"
	StockholdersEquity,"63,527,000,000","61,026,000,000","59,373,000,000","61,953,000,000","59,037,000,000","55,168,000,000","51,008,000,000","49,809,000,000","47,067,000,000","46,421,000,000","42,204,000,000","36,085,000,000","27,241,000,000","29,054,000,000","23,043,000,000"
		CapitalStock,"21,969,000,000","1,010,000,000","1,010,000,000","1,010,000,000","1,008,000,000","1,007,000,000","998,000,000","975,000,000","25,081,000,000","933,000,000","925,000,000","726,000,000","583,000,000","577,000,000","543,000,000"
		RetainedEarnings,"32,806,000,000","32,206,000,000","30,597,000,000","29,687,000,000","27,906,000,000","25,155,000,000","24,102,000,000","23,232,000,000","23,001,000,000","22,023,000,000","19,014,000,000","19,785,000,000","18,498,000,000","19,994,000,000","16,544,000,000"
		StockholdersEquity,"63,527,000,000","61,026,000,000","59,373,000,000","61,953,000,000","59,037,000,000","55,168,000,000","51,008,000,000","49,809,000,000","47,067,000,000","46,421,000,000","42,204,000,000","36,085,000,000","27,241,000,000","29,054,000,000","23,043,000,000"
	TotalAssets,"1,356,303,000,000","1,309,428,000,000","1,275,128,000,000","1,382,241,000,000","1,334,391,000,000","1,308,170,000,000","1,235,262,000,000","1,250,696,000,000","1,181,372,000,000","1,132,072,000,000","1,023,701,000,000","1,130,003,000,000","1,071,762,000,000","956,841,000,000","835,134,000,000"
