name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalRevenue,"31,906,000,000","32,927,000,000","33,039,000,000","46,073,000,000","44,089,000,000","77,532,000,000","71,912,000,000","80,236,000,000","60,624,000,000","47,913,000,000","44,809,000,000","39,004,000,000","35,982,000,000","36,766,000,000","38,005,000,000","33,069,000,000"
	NetInterestIncome,,"11,185,000,000","11,019,000,000","10,416,000,000","9,467,000,000","9,306,000,000","9,999,000,000","10,090,000,000","11,312,000,000","12,207,000,000","11,970,000,000","11,635,000,000","7,948,000,000","2,502,000,000","3,112,000,000","4,445,000,000"
		InterestIncome,,"23,712,000,000","22,678,000,000","23,679,000,000","24,660,000,000","25,431,000,000","24,532,000,000","27,271,000,000","29,904,000,000","32,389,000,000","28,294,000,000","30,545,000,000","40,188,000,000","38,093,000,000","30,056,000,000","21,101,000,000"
		InterestExpense,,"12,527,000,000","11,659,000,000","13,263,000,000","15,193,000,000","16,125,000,000","14,533,000,000","17,181,000,000","18,592,000,000","20,182,000,000","16,324,000,000","18,910,000,000","32,240,000,000","35,591,000,000","26,944,000,000","16,656,000,000"
	NonInterestIncome,"20,721,000,000","21,742,000,000","22,020,000,000","35,657,000,000","34,622,000,000","68,226,000,000","61,913,000,000","70,146,000,000","49,312,000,000","35,706,000,000","32,839,000,000","27,369,000,000","28,034,000,000","34,264,000,000","34,893,000,000","28,624,000,000"
		TotalPremiumsEarned,,"1,925,000,000","1,724,000,000","12,346,000,000","11,685,000,000","11,556,000,000","12,440,000,000","12,551,000,000","11,591,000,000",,,,,,,
		FeesAndCommissions,,"5,257,000,000","5,524,000,000","6,823,000,000","6,699,000,000","6,678,000,000","6,475,000,000","6,507,000,000","6,977,000,000","7,179,000,000","7,485,000,000","7,812,000,000","7,415,000,000","7,528,000,000","6,853,000,000","6,082,000,000"
			FeesandCommissionIncome,,"9,068,000,000","9,124,000,000","10,504,000,000","10,116,000,000","10,144,000,000","9,159,000,000","9,056,000,000","9,515,000,000","9,898,000,000","10,038,000,000","10,445,000,000","10,505,000,000","10,745,000,000","9,242,000,000","8,004,000,000"
			FeesandCommissionExpense,,"3,811,000,000","3,600,000,000","3,681,000,000","3,417,000,000","3,466,000,000","2,684,000,000","2,549,000,000","2,538,000,000","2,719,000,000","2,553,000,000","2,633,000,000","3,090,000,000","3,217,000,000","2,389,000,000","1,922,000,000"
		DividendIncome,,,,,"460,000,000","722,000,000","432,000,000","467,000,000","314,000,000","420,000,000","318,000,000","329,000,000","466,000,000","400,000,000","293,000,000","256,000,000"
