name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
TotalAssets,"992,968,000,000","931,796,000,000","916,776,000,000","860,165,000,000","861,395,000,000","856,240,000,000","911,507,000,000","938,555,000,000","923,225,000,000","911,332,000,000","848,942,000,000","884,547,000,000","1,119,796,000,000","838,201,000,000","706,804,000,000","531,379,000,000","403,799,000,000","355,574,000,000","312,218,000,000","289,760,000,000","250,491,000,000"
	TotalAssets,"992,968,000,000","931,796,000,000","916,776,000,000","860,165,000,000","861,395,000,000","856,240,000,000","911,507,000,000","938,555,000,000","923,225,000,000","911,332,000,000","848,942,000,000","884,547,000,000","1,119,796,000,000","838,201,000,000","706,804,000,000","531,379,000,000","403,799,000,000","355,574,000,000","312,218,000,000","289,760,000,000","250,491,000,000"
TotalAssets,"992,968,000,000","931,796,000,000","916,776,000,000","860,165,000,000","861,395,000,000","856,240,000,000","911,507,000,000","938,555,000,000","923,225,000,000","911,332,000,000","848,942,000,000","884,547,000,000","1,119,796,000,000","838,201,000,000","706,804,000,000","531,379,000,000","403,799,000,000","355,574,000,000","312,218,000,000","289,760,000,000","250,491,000,000"
	TotalLiabilitiesNetMinorityInterest,"902,703,000,000","841,611,000,000","834,533,000,000","773,272,000,000","774,667,000,000","773,443,000,000","833,040,000,000","862,839,000,000","852,846,000,000","833,976,000,000","778,228,000,000","818,535,000,000","1,069,731,000,000","802,415,000,000","678,802,000,000","506,300,000,000","382,167,000,000","336,571,000,000","293,987,000,000","273,230,000,000","240,346,000,000"
		TotalLiabilitiesNetMinorityInterest,"902,703,000,000","841,611,000,000","834,533,000,000","773,272,000,000","774,667,000,000","773,443,000,000","833,040,000,000","862,839,000,000","852,846,000,000","833,976,000,000","778,228,000,000","818,535,000,000","1,069,731,000,000","802,415,000,000","678,802,000,000","506,300,000,000","382,167,000,000","336,571,000,000","293,987,000,000","273,230,000,000","240,346,000,000"
	StockholdersEquity,"90,265,000,000","90,185,000,000","82,243,000,000","86,893,000,000","86,728,000,000","82,797,000,000","78,467,000,000","75,716,000,000","70,379,000,000","77,356,000,000","70,714,000,000","64,369,000,000","42,800,000,000","35,786,000,000","28,002,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
		CapitalStock,"11,212,000,000","11,212,000,000","11,862,000,000","11,212,000,000","11,209,000,000","9,209,000,000","7,208,000,000","6,208,000,000","3,108,000,000","6,965,000,000","6,965,000,000","16,478,000,000","3,106,000,000","3,106,000,000","1,756,000,000","6,000,000","5,000,000","5,000,000","5,000,000","4,765,000,000","4,343,000,000"
		RetainedEarnings,"106,465,000,000","100,100,000,000","91,519,000,000","89,039,000,000","83,386,000,000","78,984,000,000","71,961,000,000","65,223,000,000","58,834,000,000","57,163,000,000","50,252,000,000","39,913,000,000","38,642,000,000","27,868,000,000","19,085,000,000","13,970,000,000","9,914,000,000","7,259,000,000","5,373,000,000","3,294,000,000","444,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,484,000,000","693,000,000","-1,880,000,000","-1,216,000,000","-718,000,000","-743,000,000","-524,000,000","-193,000,000","-516,000,000","-286,000,000","-362,000,000","9,082,000,000","9,184,000,000","6,311,000,000","3,415,000,000","1,907,000,000","2,651,000,000","2,527,000,000","3,154,000,000","-2,008,000,000","-2,001,000,000"
		StockholdersEquity,"90,265,000,000","90,185,000,000","82,243,000,000","86,893,000,000","86,728,000,000","82,797,000,000","78,467,000,000","75,716,000,000","70,379,000,000","77,356,000,000","70,714,000,000","64,369,000,000","42,800,000,000","35,786,000,000","28,002,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
	TotalAssets,"992,968,000,000","931,796,000,000","916,776,000,000","860,165,000,000","861,395,000,000","856,240,000,000","911,507,000,000","938,555,000,000","923,225,000,000","911,332,000,000","848,942,000,000","884,547,000,000","1,119,796,000,000","838,201,000,000","706,804,000,000","531,379,000,000","403,799,000,000","355,574,000,000","312,218,000,000","289,760,000,000","250,491,000,000"
