name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
TotalRevenue,"36,729,000,000","33,294,000,000","33,416,000,000","29,533,000,000","28,053,000,000","31,244,000,000","32,027,000,000","31,865,000,000","31,955,000,000","28,811,000,000","39,161,000,000","45,173,000,000","22,222,000,000","45,987,000,000","37,665,000,000","25,238,000,000","20,951,000,000","16,023,000,000","13,986,000,000","15,811,000,000","16,590,000,000","13,345,000,000"
	NetInterestIncome,"4,330,000,000","4,362,000,000","3,767,000,000","2,932,000,000","2,587,000,000","3,064,000,000","4,047,000,000","3,392,000,000","3,880,000,000","5,192,000,000","5,503,000,000","7,407,000,000","4,276,000,000","3,987,000,000","3,498,000,000","3,097,000,000","3,026,000,000","3,151,000,000","2,401,000,000","1,293,000,000","986,000,000","704,000,000"
		InterestIncome,"18,165,000,000","21,738,000,000","19,679,000,000","13,113,000,000","9,691,000,000","8,452,000,000","9,604,000,000","10,060,000,000","11,381,000,000","13,174,000,000","12,309,000,000","13,907,000,000","35,633,000,000","45,968,000,000","35,186,000,000","21,250,000,000","11,914,000,000","10,751,000,000","11,269,000,000","16,620,000,000","17,396,000,000","12,722,000,000"
			InterestIncomeFromLoansAndLease,,"5,411,000,000","4,148,000,000","2,678,000,000","1,843,000,000","1,191,000,000","708,000,000",,,,,,,,,,,,,,,
				InterestIncomeFromLoans,,"5,411,000,000","4,148,000,000","2,678,000,000","1,843,000,000","1,191,000,000","708,000,000",,,,,,,,,,,,,,,
			InterestIncomeFromSecurities,,"11,753,000,000","10,746,000,000","7,565,000,000","5,444,000,000","5,842,000,000","7,452,000,000","8,159,000,000","9,817,000,000","10,718,000,000","10,886,000,000","12,057,000,000",,,,,,,,,,
			InterestIncomeFromDeposits,,"1,211,000,000","1,418,000,000","819,000,000","452,000,000","161,000,000","164,000,000","186,000,000","156,000,000","125,000,000","86,000,000","65,000,000",,,,,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,"691,000,000","10,000,000","-81,000,000","43,000,000","-77,000,000","666,000,000",,,,,,,,,,,,
			OtherInterestIncome,,"3,363,000,000","3,367,000,000","2,051,000,000","1,261,000,000","1,248,000,000","1,361,000,000","1,672,000,000","1,485,000,000","1,665,000,000","1,337,000,000","1,785,000,000",,,,,,,,,,
		InterestExpense,"13,835,000,000","17,376,000,000","15,912,000,000","10,181,000,000","7,104,000,000","5,388,000,000","5,557,000,000","6,668,000,000","7,501,000,000","7,982,000,000","6,806,000,000","6,500,000,000","31,357,000,000","41,981,000,000","31,688,000,000","18,153,000,000","8,888,000,000","7,600,000,000","8,868,000,000","15,327,000,000","16,410,000,000","12,018,000,000"
			InterestExpenseForDeposit,,"3,568,000,000","2,606,000,000","1,380,000,000","878,000,000","408,000,000","333,000,000","387,000,000","399,000,000","280,000,000","304,000,000","415,000,000",,,,,,,,,,
			InterestExpenseForShortTermDebt,,"668,000,000","695,000,000","698,000,000","446,000,000","429,000,000","447,000,000","394,000,000","581,000,000","526,000,000","453,000,000","623,000,000",,,,,,,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,,"5,359,000,000","5,555,000,000","4,599,000,000","4,242,000,000","3,878,000,000","3,460,000,000","3,752,000,000","3,736,000,000","3,439,000,000","3,155,000,000","2,585,000,000",,,,,,,,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,"442,000,000","330,000,000","431,000,000","576,000,000","822,000,000","3,369,000,000","2,567,000,000","1,317,000,000",,,,,,,,,,
			OtherInterestExpense,,"7,781,000,000","7,056,000,000","3,504,000,000","1,096,000,000","343,000,000","886,000,000","1,559,000,000","1,963,000,000","368,000,000","327,000,000","1,560,000,000",,,,,,,,,,
	NonInterestIncome,"32,399,000,000","28,932,000,000","29,649,000,000","26,601,000,000","25,466,000,000","28,180,000,000","27,980,000,000","28,473,000,000","28,075,000,000","23,619,000,000","33,658,000,000","37,766,000,000","17,946,000,000","42,000,000,000","34,167,000,000","22,141,000,000","17,925,000,000","12,872,000,000","11,585,000,000","14,518,000,000","15,604,000,000","12,641,000,000"
