name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalAssets,"2,715,152,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,409,656,000,000","2,634,139,000,000","2,671,318,000,000","2,692,538,000,000","2,555,579,000,000","2,454,689,000,000","2,364,452,000,000","2,527,465,000,000","2,354,266,000,000","1,860,758,000,000","1,501,970,000,000","1,276,778,000,000","1,034,216,000,000","759,246,000,000","695,877,000,000","1,006,413,533,073.247","993,365,778,050.99","804,562,201,483.941","473,436,156,847.186","405,098,126,519.848","350,482,106,434.267","315,054,015,602.77","306,856,103,189.16","280,801,722,961.188","160,521,687,062.61","149,245,785,270.63","132,581,835,686.778","113,903,704,771.515","107,876,641,747.7"
	TotalAssets,"2,715,152,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,409,656,000,000","2,634,139,000,000","2,671,318,000,000","2,692,538,000,000","2,555,579,000,000","2,454,689,000,000","2,364,452,000,000","2,527,465,000,000","2,354,266,000,000","1,860,758,000,000","1,501,970,000,000","1,276,778,000,000","1,034,216,000,000","759,246,000,000","695,877,000,000","1,006,413,533,073.247","993,365,778,050.99","804,562,201,483.941","473,436,156,847.186","405,098,126,519.848","350,482,106,434.267","315,054,015,602.77","306,856,103,189.16","280,801,722,961.188","160,521,687,062.61","149,245,785,270.63","132,581,835,686.778","113,903,704,771.515","107,876,641,747.7"
TotalAssets,"2,715,152,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,409,656,000,000","2,634,139,000,000","2,671,318,000,000","2,692,538,000,000","2,555,579,000,000","2,454,689,000,000","2,364,452,000,000","2,527,465,000,000","2,354,266,000,000","1,860,758,000,000","1,501,970,000,000","1,276,778,000,000","1,034,216,000,000","759,246,000,000","695,877,000,000","1,006,413,533,073.247","993,365,778,050.99","804,562,201,483.941","473,436,156,847.186","405,098,126,519.848","350,482,106,434.267","315,054,015,602.77","306,856,103,189.16","280,801,722,961.188","160,521,687,062.61","149,245,785,270.63","132,581,835,686.778","113,903,704,771.515","107,876,641,747.7"
	TotalLiabilitiesNetMinorityInterest,"2,522,484,000,000","2,363,875,000,000","2,323,900,000,000","2,192,408,000,000","2,212,138,000,000","2,434,161,000,000","2,480,859,000,000","2,509,409,000,000","2,389,486,000,000","2,299,774,000,000","2,228,791,000,000","2,427,236,000,000","2,218,850,000,000","1,745,830,000,000","1,403,744,000,000","1,176,961,000,000","948,862,000,000","700,287,000,000","643,408,000,000","927,433,063,792.269","928,676,630,784.91","753,625,090,832.766","442,640,349,137.076","375,451,244,990.924","326,641,016,132.023","295,569,313,509.373","290,732,796,875.925","266,582,743,087.68","152,239,811,384.304","141,439,373,480.961","124,926,187,419.769","108,654,677,814.617","103,033,368,931.857"
		TotalLiabilitiesNetMinorityInterest,"2,522,484,000,000","2,363,875,000,000","2,323,900,000,000","2,192,408,000,000","2,212,138,000,000","2,434,161,000,000","2,480,859,000,000","2,509,409,000,000","2,389,486,000,000","2,299,774,000,000","2,228,791,000,000","2,427,236,000,000","2,218,850,000,000","1,745,830,000,000","1,403,744,000,000","1,176,961,000,000","948,862,000,000","700,287,000,000","643,408,000,000","927,433,063,792.269","928,676,630,784.91","753,625,090,832.766","442,640,349,137.076","375,451,244,990.924","326,641,016,132.023","295,569,313,509.373","290,732,796,875.925","266,582,743,087.68","152,239,811,384.304","141,439,373,480.961","124,926,187,419.769","108,654,677,814.617","103,033,368,931.857"
	StockholdersEquity,"183,955,000,000","186,253,000,000","190,250,000,000","175,386,000,000","188,460,000,000","190,447,000,000","181,871,000,000","175,242,000,000","158,725,000,000","147,667,000,000","128,299,000,000","93,591,000,000","128,160,000,000","108,352,000,000","92,432,000,000","86,623,000,000","74,473,000,000","52,406,000,000","45,979,000,000","68,063,692,223.085","58,309,770,848.971","45,633,069,802.971","27,180,453,613.701","26,007,809,021.475","20,685,765,498.486","16,869,127,464.315","13,806,875,332.821","12,150,213,095.112","7,235,881,890.648","6,894,024,150.303","6,729,781,771.502","4,630,964,393.83","4,290,558,896.82"
		CapitalStock,"10,319,000,000","10,180,000,000","10,160,000,000","10,096,000,000","9,842,000,000","9,609,000,000","9,415,000,000","9,238,000,000","8,934,000,000","8,843,000,000","8,705,000,000","6,053,000,000","5,915,000,000","5,786,000,000","5,667,000,000","5,587,000,000","5,481,000,000","4,741,000,000","4,678,000,000",,,,"3,418,633,868.941","3,448,984,484.707",,,,,,,,,
		RetainedEarnings,"136,679,000,000","138,191,000,000","139,999,000,000","136,795,000,000","143,976,000,000","137,144,000,000","128,728,000,000","120,347,000,000","111,868,000,000","97,350,000,000","86,812,000,000","80,689,000,000","81,097,000,000","65,397,000,000","56,223,000,000","52,038,000,000","42,351,000,000","33,335,000,000","26,887,000,000",,,,"18,992,594,062.025","17,428,160,427.441",,,,,,,,,
		StockholdersEquity,"183,955,000,000","186,253,000,000","190,250,000,000","175,386,000,000","188,460,000,000","190,447,000,000","181,871,000,000","175,242,000,000","158,725,000,000","147,667,000,000","128,299,000,000","93,591,000,000","128,160,000,000","108,352,000,000","92,432,000,000","86,623,000,000","74,473,000,000","52,406,000,000","45,979,000,000","68,063,692,223.085","58,309,770,848.971","45,633,069,802.971","27,180,453,613.701","26,007,809,021.475","20,685,765,498.486","16,869,127,464.315","13,806,875,332.821","12,150,213,095.112","7,235,881,890.648","6,894,024,150.303","6,729,781,771.502","4,630,964,393.83","4,290,558,896.82"
	TotalAssets,"2,715,152,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,409,656,000,000","2,634,139,000,000","2,671,318,000,000","2,692,538,000,000","2,555,579,000,000","2,454,689,000,000","2,364,452,000,000","2,527,465,000,000","2,354,266,000,000","1,860,758,000,000","1,501,970,000,000","1,276,778,000,000","1,034,216,000,000","759,246,000,000","695,877,000,000","1,006,413,533,073.247","993,365,778,050.99","804,562,201,483.941","473,436,156,847.186","405,098,126,519.848","350,482,106,434.267","315,054,015,602.77","306,856,103,189.16","280,801,722,961.188","160,521,687,062.61","149,245,785,270.63","132,581,835,686.778","113,903,704,771.515","107,876,641,747.7"
