name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,,"29,743,000,000","6,469,000,000","-10,478,000,000","68,959,000,000","-1,122,000,000","-21,372,000,000","44,977,000,000","-9,156,000,000","79,762,000,000","55,742,000,000","6,898,000,000","30,420,000,000","91,038,000,000","80,781,000,000","7,021,000,000","31,367,000,000","18,327,000,000","13,433,000,000","12,915,000,000","22,737,185,757.259","34,825,818,843.018","16,131,223,836.003","11,862,725,649.673","12,787,272,665","4,906,051,053.835","-1,952,691,399.715","16,286,018,578.782","-1,609,209,348.884"
	NetIncome,"5,065,000,000","7,383,000,000","13,727,000,000","10,798,000,000","2,479,000,000","13,522,000,000","13,688,000,000","16,204,000,000","14,027,000,000","16,797,000,000","13,159,000,000","5,834,000,000","5,728,000,000","19,133,000,000","15,789,000,000","15,081,000,000","11,840,000,000","8,774,000,000","6,239,000,000","5,406,000,000","9,899,628,932.369","8,742,017,652.388","7,191,526,599.718","6,138,001,719.236","5,909,853,752.098","3,804,314,234.502","3,209,668,089.364","2,671,439,559.789","1,851,879,938.726"
	DepreciationAndAmortization,,"10,519,000,000","1,933,000,000","1,862,000,000","5,212,000,000",,"2,251,000,000",,"2,531,000,000",,,,"13,367,000,000","2,522,000,000","2,528,000,000","2,213,000,000","3,506,000,000","3,185,000,000","2,036,000,000","1,293,000,000","1,290,477,470.128","1,614,880,849.618","1,521,709,353.473",,,"536,188,886.829","534,684,114.254","473,344,772.499","315,471,766.794"
	StockBasedCompensation,,"478,000,000","450,000,000","500,000,000","534,000,000",,"732,000,000",,"731,000,000",,,,"819,000,000","870,000,000","854,000,000","540,000,000",,,,,,,,,,,,,
	ChangeInWorkingCapital,,"11,852,000,000","-20,523,000,000","-5,131,000,000","39,499,000,000","-40,934,000,000","-67,937,000,000","15,858,000,000","-27,451,000,000","36,600,000,000","29,005,000,000","-6,158,000,000","-50,404,000,000","68,469,000,000","59,163,000,000","-11,777,000,000","17,126,000,000","10,141,000,000","7,272,000,000","4,167,000,000","2,071,632,326.443","22,052,256,807.299","4,623,124,242.676",,,"-1,319,611,842.512","-6,955,583,696.825","13,536,181,291.048","529,325,224.091"
	FreeCashFlow,,"26,111,000,000","3,425,000,000","-12,930,000,000","66,902,000,000","-3,428,000,000","-23,752,000,000","42,191,000,000","-11,482,000,000","76,686,000,000","52,030,000,000","3,942,000,000","29,902,000,000","90,546,000,000","80,033,000,000","3,905,000,000","28,537,000,000","16,346,000,000","11,710,000,000","11,042,000,000","20,749,194,807.325","33,311,160,828.912","14,363,721,138.684","10,497,255,835.482","11,672,432,099.188","4,283,330,242.907","-2,603,067,398.34","15,877,758,712.502","-1,868,563,541.777"
	OtherNonCashItems,,"-2,297,000,000","-1,303,000,000","-381,000,000","-207,000,000","10,765,000,000","-421,000,000","11,995,000,000","19,778,000,000","30,718,000,000","11,474,000,000","7,344,000,000","34,874,000,000","-19,904,000,000","-12,723,000,000","-11,538,000,000","-12,136,000,000","-13,389,000,000","-6,231,000,000","-1,735,000,000",,,,,,,,,
	OperatingCashFlow,,"29,743,000,000","6,469,000,000","-10,478,000,000","68,959,000,000","-1,122,000,000","-21,372,000,000","44,977,000,000","-9,156,000,000","79,762,000,000","55,742,000,000","6,898,000,000","30,420,000,000","91,038,000,000","80,781,000,000","7,021,000,000","31,367,000,000","18,327,000,000","13,433,000,000","12,915,000,000","22,737,185,757.259","34,825,818,843.018","16,131,223,836.003","11,862,725,649.673","12,787,272,665","4,906,051,053.835","-1,952,691,399.715","16,286,018,578.782","-1,609,209,348.884"
InvestingCashFlow,,"-35,318,000,000","-16,341,000,000","65,557,000,000","-15,060,000,000","-38,912,000,000","-4,961,000,000","-6,585,000,000","5,653,000,000","-9,931,000,000","-34,973,000,000","-57,077,000,000","-25,093,000,000","-20,278,000,000","-14,124,000,000","-15,627,000,000","-22,548,000,000","-15,444,000,000","-9,051,000,000","-9,984,000,000","-7,529,287,922.392","-27,999,350,546.784","-19,533,666,528.343","-5,585,862,593.401","-7,062,369,421.516","-2,974,534,890.908","1,344,527,304.848","-7,850,127,211.408","6,259,384,526.717"
	CapitalExpenditure,,"-3,632,000,000","-3,044,000,000","-2,452,000,000","-2,057,000,000","-2,306,000,000","-2,380,000,000","-2,786,000,000","-2,326,000,000","-3,076,000,000","-3,712,000,000","-2,956,000,000","-518,000,000","-492,000,000","-748,000,000","-3,116,000,000","-2,830,000,000","-1,981,000,000","-1,723,000,000","-1,873,000,000","-1,987,990,949.934","-1,514,658,014.106","-1,767,502,697.319","-1,365,469,814.19","-1,114,840,565.812","-622,720,810.928","-650,375,998.624","-408,259,866.28","-259,354,192.893"
	PurchaseOfBusiness,,,,,,,"-30,000,000","-26,000,000","-1,804,000,000","-90,000,000","-1,675,000,000","-739,000,000","-355,000,000","-974,000,000","-1,770,000,000","-4,231,000,000","-4,553,000,000","-2,185,241,071.429","-385,191,270.033","-986,372,288.334","-13,591,833,009.021","973,131,402.873","-383,879,492.074","-947,232,691.926","-49,662,636.572","-247,234,068.855","-26,577,865.328","-436,364,712.147","10,480,336,098.767"
	PurchaseOfInvestment,,"-445,907,000,000","-383,454,000,000","-357,264,000,000","-457,084,000,000","-438,376,000,000","-384,199,000,000","-363,979,000,000","-342,974,000,000","-319,008,000,000","-341,202,000,000","-304,629,000,000","-277,023,000,000","-260,980,000,000","-286,316,000,000","-378,103,000,000","-330,917,000,000","-218,196,000,000","-130,171,000,000","-148,826,000,000","-130,822,080,742.92","-175,189,516,474.699","-99,609,823,885.8","-32,038,947,298.816","-23,185,601,260.403","-15,741,084,121.392","-16,501,727,561.246","-16,275,664,161.884","-9,811,475,285.517"
	SaleOfInvestment,,"413,186,000,000","370,357,000,000","418,352,000,000","430,085,000,000","399,636,000,000","382,837,000,000","342,539,000,000","329,926,000,000","311,702,000,000","321,846,000,000","241,341,000,000","223,138,000,000","238,647,000,000","273,774,000,000","368,696,000,000","315,437,000,000","206,099,000,000","122,559,000,000","145,361,000,000","268,915,035,305.891","147,723,610,052.414","84,213,218,358.37","30,081,663,691.067","18,327,225,399.87","13,647,320,600.779","18,305,895,595.891","8,984,675,462.99","6,030,364,157.554"
	NetOtherInvestingChanges,,"1,118,000,000","-204,000,000","6,756,000,000","9,194,000,000","2,023,000,000","-1,035,000,000","6,518,000,000","-1,804,000,000",,"-19,566,000,000",,"25,018,000,000","2,983,000,000",,,"494,000,000","818,000,000","933,000,000","-3,763,000,000","-130,822,080,742.92",,,"-1,687,826,489.453","-1,381,991,300.476",,,,
	InvestingCashFlow,,"-35,318,000,000","-16,341,000,000","65,557,000,000","-15,060,000,000","-38,912,000,000","-4,961,000,000","-6,585,000,000","5,653,000,000","-9,931,000,000","-34,973,000,000","-57,077,000,000","-25,093,000,000","-20,278,000,000","-14,124,000,000","-15,627,000,000","-22,548,000,000","-15,444,000,000","-9,051,000,000","-9,984,000,000","-7,529,287,922.392","-27,999,350,546.784","-19,533,666,528.343","-5,585,862,593.401","-7,062,369,421.516","-2,974,534,890.908","1,344,527,304.848","-7,850,127,211.408","6,259,384,526.717"
ChangeInCashSupplementalAsReported,,"-20,417,000,000","-26,653,000,000","44,629,000,000","44,981,000,000","-43,611,000,000","-28,201,000,000","31,411,000,000","-11,735,000,000","59,745,000,000","22,171,000,000","-38,909,000,000","5,679,000,000","69,123,000,000","66,093,000,000","-12,633,000,000","10,648,000,000","4,020,000,000","3,242,000,000","-1,706,000,000","11,157,234,859.601","6,155,621,897.243","-10,986,133,953.025","6,670,303,511.208","7,526,458,197.76","-237,962,791.273","-1,249,159,670.434","9,483,166,676.528","4,994,464,077.169"
BeginningCashPosition,,"312,911,000,000","337,412,000,000","274,550,000,000","243,863,000,000","301,301,000,000","346,281,000,000","315,308,000,000","325,449,000,000","274,076,000,000","250,766,000,000","278,872,000,000","297,009,000,000","215,486,000,000","141,307,000,000","160,956,000,000","-776,000,000","3,641,000,000","4,417,000,000","6,185,000,000","-3,661,166,539.61","533,277,260.256","15,993,137,687.775",,,"8,064,466,283.454","55,619,655,113.112","42,633,571,977.989","32,684,695,069.237"
EndCashPosition,,"293,742,000,000","301,082,000,000","337,412,000,000","274,550,000,000","243,863,000,000","301,301,000,000","346,281,000,000","315,308,000,000","325,449,000,000","274,076,000,000","250,766,000,000","278,872,000,000","297,009,000,000","215,486,000,000","141,307,000,000","9,872,000,000","7,661,000,000","7,659,000,000","4,479,000,000","7,496,068,319.99","6,194,250,969.328","5,076,046,808.864",,,"8,007,293,405.031","52,763,316,292.231","52,624,105,082.54","43,714,073,377.52"
FreeCashFlow,,"26,111,000,000","3,425,000,000","-12,930,000,000","66,902,000,000","-3,428,000,000","-23,752,000,000","42,191,000,000","-11,482,000,000","76,686,000,000","52,030,000,000","3,942,000,000","29,902,000,000","90,546,000,000","80,033,000,000","3,905,000,000","28,537,000,000","16,346,000,000","11,710,000,000","11,042,000,000","20,749,194,807.325","33,311,160,828.912","14,363,721,138.684","10,497,255,835.482","11,672,432,099.188","4,283,330,242.907","-2,603,067,398.34","15,877,758,712.502","-1,868,563,541.777"
	OperatingCashFlow,,"29,743,000,000","6,469,000,000","-10,478,000,000","68,959,000,000","-1,122,000,000","-21,372,000,000","44,977,000,000","-9,156,000,000","79,762,000,000","55,742,000,000","6,898,000,000","30,420,000,000","91,038,000,000","80,781,000,000","7,021,000,000","31,367,000,000","18,327,000,000","13,433,000,000","12,915,000,000","22,737,185,757.259","34,825,818,843.018","16,131,223,836.003","11,862,725,649.673","12,787,272,665","4,906,051,053.835","-1,952,691,399.715","16,286,018,578.782","-1,609,209,348.884"
	CapitalExpenditure,,"-3,632,000,000","-3,044,000,000","-2,452,000,000","-2,057,000,000","-2,306,000,000","-2,380,000,000","-2,786,000,000","-2,326,000,000","-3,076,000,000","-3,712,000,000","-2,956,000,000","-518,000,000","-492,000,000","-748,000,000","-3,116,000,000","-2,830,000,000","-1,981,000,000","-1,723,000,000","-1,873,000,000","-1,987,990,949.934","-1,514,658,014.106","-1,767,502,697.319","-1,365,469,814.19","-1,114,840,565.812","-622,720,810.928","-650,375,998.624","-408,259,866.28","-259,354,192.893"
	FreeCashFlow,,"26,111,000,000","3,425,000,000","-12,930,000,000","66,902,000,000","-3,428,000,000","-23,752,000,000","42,191,000,000","-11,482,000,000","76,686,000,000","52,030,000,000","3,942,000,000","29,902,000,000","90,546,000,000","80,033,000,000","3,905,000,000","28,537,000,000","16,346,000,000","11,710,000,000","11,042,000,000","20,749,194,807.325","33,311,160,828.912","14,363,721,138.684","10,497,255,835.482","11,672,432,099.188","4,283,330,242.907","-2,603,067,398.34","15,877,758,712.502","-1,868,563,541.777"
