name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalRevenue,"62,920,000,000","68,067,000,000","63,587,000,000","63,439,000,000","60,807,000,000","70,037,000,000","73,462,000,000","75,705,000,000","73,421,000,000","83,461,000,000","80,014,000,000","78,743,000,000","93,059,000,000","89,104,000,000","70,916,000,000","62,348,000,000","51,681,000,000","41,707,000,000","27,238,000,000","26,826,000,000",,,,"2,173,841,169.08","1,715,929,718.807",,,,,,,,,
OperatingExpense,"45,067,000,000","49,926,000,000","44,466,000,000","47,215,000,000","48,438,000,000","51,060,000,000","54,594,000,000","52,248,000,000","57,142,000,000","52,726,000,000","49,455,000,000","50,584,000,000","48,251,000,000","47,650,000,000","38,257,000,000","33,581,000,000","27,716,000,000","22,798,000,000","16,267,000,000","16,789,000,000","2,449,517,853.985","2,392,416,073.508","2,372,320,026.558","10,145,143,159.426","8,680,686,371.888","973,484,146.115","634,741,960.196","602,035,382.522","424,673,532.222","243,254,369.223",,,,
	SellingGeneralAndAdministration,,"13,828,000,000","15,353,000,000","15,707,000,000","16,473,000,000","17,662,000,000","18,565,000,000","17,065,000,000","19,983,000,000","17,459,000,000","15,156,000,000","17,131,000,000","15,260,000,000","15,294,000,000","12,823,000,000","11,183,000,000","9,739,000,000",,"39,019,086.736","37,936,445.665",,,,"9,417,774,251.141","8,052,197,143.542",,,,,,,,,
	OperatingExpense,"45,067,000,000","49,926,000,000","44,466,000,000","47,215,000,000","48,438,000,000","51,060,000,000","54,594,000,000","52,248,000,000","57,142,000,000","52,726,000,000","49,455,000,000","50,584,000,000","48,251,000,000","47,650,000,000","38,257,000,000","33,581,000,000","27,716,000,000","22,798,000,000","16,267,000,000","16,789,000,000","2,449,517,853.985","2,392,416,073.508","2,372,320,026.558","10,145,143,159.426","8,680,686,371.888","973,484,146.115","634,741,960.196","602,035,382.522","424,673,532.222","243,254,369.223",,,,
InterestExpense,,"24,233,000,000","19,120,000,000","12,819,000,000","12,601,000,000","14,658,000,000","16,250,000,000","15,653,000,000","19,030,000,000","22,343,000,000","18,904,000,000","21,366,000,000","48,738,000,000","54,564,000,000","41,393,000,000","28,760,000,000","19,179,000,000","14,370,000,000","13,135,000,000","20,536,000,000",,,,"17,878,397,143.424","14,511,764,907.353",,,,,,,,,
PretaxIncome,"10,363,000,000","13,347,000,000","19,890,000,000","17,167,000,000","7,112,000,000","18,867,000,000","18,680,000,000","22,565,000,000","20,649,000,000","18,608,000,000","16,520,000,000","7,079,000,000","8,537,000,000","22,890,000,000","21,004,000,000","20,174,000,000","16,347,000,000","11,894,000,000","8,773,000,000","6,980,000,000","14,600,011,908.83","12,902,881,823.476","10,941,946,385.592","8,217,615,552.47","7,747,371,305.271","5,674,021,880.215","4,949,736,566.452","3,822,259,037.927","2,599,608,693.674","870,102,166.835","511,168,550.596","699,614,890.886","637,883,811.446","588,312,442.621"
TaxProvision,"4,057,000,000","4,639,000,000","4,865,000,000","5,288,000,000","3,666,000,000","3,771,000,000","3,975,000,000","4,765,000,000","5,315,000,000","3,928,000,000","4,846,000,000","385,000,000","2,809,000,000","3,757,000,000","5,215,000,000","5,093,000,000","4,507,000,000","3,120,000,000","2,534,000,000","1,574,000,000","3,342,694,323.396","3,294,421,593.115","2,977,137,355.797","2,079,613,833.234","1,837,517,553.173","1,386,055,998.517","1,296,061,785.72","761,789,243.24","429,223,605.782",,,,,
NetIncomeContinuousOperations,"6,306,000,000","8,708,000,000","15,025,000,000","11,879,000,000","3,446,000,000","15,096,000,000","14,705,000,000","17,800,000,000","15,334,000,000","17,944,000,000","14,191,000,000","6,694,000,000","5,728,000,000","19,133,000,000","15,789,000,000","15,081,000,000","11,840,000,000","8,774,000,000","6,239,000,000","5,406,000,000","11,257,317,585.434","9,608,460,230.361","7,964,809,029.795","6,729,815,512.795","6,490,392,848.58","4,287,965,881.698","3,653,674,780.733","3,060,469,794.687","2,170,385,087.892",,,,,
NetIncome,"5,065,000,000","7,383,000,000","13,727,000,000","10,798,000,000","2,479,000,000","13,522,000,000","13,688,000,000","16,204,000,000","14,027,000,000","16,797,000,000","13,159,000,000","5,834,000,000","5,728,000,000","19,133,000,000","15,789,000,000","15,081,000,000","11,840,000,000","8,774,000,000","6,239,000,000","5,406,000,000","9,899,628,932.369","8,742,017,652.388","7,191,526,599.718","6,138,001,719.236","5,909,853,752.098","3,804,314,234.502","3,209,668,089.364","2,671,439,559.789","1,851,879,938.726",,,,,
NetIncomeCommonStockholders,"3,620,000,000","5,969,000,000","12,608,000,000","9,683,000,000","1,299,000,000","13,522,000,000","13,688,000,000","16,204,000,000","14,027,000,000","16,797,000,000","13,159,000,000","5,834,000,000","5,728,000,000","19,133,000,000","15,789,000,000","15,060,000,000","11,840,000,000","8,774,000,000","6,239,000,000","5,406,000,000","9,899,628,932.369","8,742,017,652.388","7,191,526,599.718","5,546,187,925.676","5,329,314,655.615","3,804,314,234.502","3,209,668,089.364","2,671,439,559.789","1,851,879,938.726",,,,,
