name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"2,687,379,000,000","2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,351,698,000,000","2,573,126,000,000","2,415,689,000,000","2,359,141,000,000","2,265,792,000,000","2,117,605,000,000","2,031,989,000,000","2,175,052,000,000","1,562,147,000,000","1,351,520,000,000","1,198,942,000,000","1,157,248,000,000","770,912,000,000","758,800,000,000","693,575,000,000","715,348,000,000","406,105,000,000","365,875,000,000","365,521,000,000","336,099,000,000","182,926,000,000","171,423,000,000","149,888,000,000","139,655,000,000","138,930,000,000","73,019,000,000","71,513,000,000"
	TotalAssets,"2,687,379,000,000","2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,351,698,000,000","2,573,126,000,000","2,415,689,000,000","2,359,141,000,000","2,265,792,000,000","2,117,605,000,000","2,031,989,000,000","2,175,052,000,000","1,562,147,000,000","1,351,520,000,000","1,198,942,000,000","1,157,248,000,000","770,912,000,000","758,800,000,000","693,575,000,000","715,348,000,000","406,105,000,000","365,875,000,000","365,521,000,000","336,099,000,000","182,926,000,000","171,423,000,000","149,888,000,000","139,655,000,000","138,930,000,000","73,019,000,000","71,513,000,000"
TotalAssets,"2,687,379,000,000","2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,351,698,000,000","2,573,126,000,000","2,415,689,000,000","2,359,141,000,000","2,265,792,000,000","2,117,605,000,000","2,031,989,000,000","2,175,052,000,000","1,562,147,000,000","1,351,520,000,000","1,198,942,000,000","1,157,248,000,000","770,912,000,000","758,800,000,000","693,575,000,000","715,348,000,000","406,105,000,000","365,875,000,000","365,521,000,000","336,099,000,000","182,926,000,000","171,423,000,000","149,888,000,000","139,655,000,000","138,930,000,000","73,019,000,000","71,513,000,000"
	TotalLiabilitiesNetMinorityInterest,"2,426,049,000,000","2,366,017,000,000","2,277,907,000,000","2,236,782,000,000","2,104,125,000,000","2,341,061,000,000","2,204,511,000,000","2,155,072,000,000","2,082,219,000,000","1,941,499,000,000","1,866,624,000,000","1,997,607,000,000","1,424,910,000,000","1,219,546,000,000","1,049,534,000,000","1,003,534,000,000","712,463,000,000","716,494,000,000","651,926,000,000","672,460,000,000","381,938,000,000","341,487,000,000","343,229,000,000","314,555,000,000","171,014,000,000","160,711,000,000","138,724,000,000","129,804,000,000","131,649,000,000","69,112,000,000","67,808,000,000"
		TotalLiabilitiesNetMinorityInterest,"2,426,049,000,000","2,366,017,000,000","2,277,907,000,000","2,236,782,000,000","2,104,125,000,000","2,341,061,000,000","2,204,511,000,000","2,155,072,000,000","2,082,219,000,000","1,941,499,000,000","1,866,624,000,000","1,997,607,000,000","1,424,910,000,000","1,219,546,000,000","1,049,534,000,000","1,003,534,000,000","712,463,000,000","716,494,000,000","651,926,000,000","672,460,000,000","381,938,000,000","341,487,000,000","343,229,000,000","314,555,000,000","171,014,000,000","160,711,000,000","138,724,000,000","129,804,000,000","131,649,000,000","69,112,000,000","67,808,000,000"
	StockholdersEquity,"261,330,000,000","256,515,000,000","255,693,000,000","254,190,000,000","247,573,000,000","232,065,000,000","211,178,000,000","204,069,000,000","183,573,000,000","176,106,000,000","165,365,000,000","166,884,000,000","123,221,000,000","115,790,000,000","107,211,000,000","105,653,000,000","46,154,000,000","42,306,000,000","41,099,000,000","42,338,000,000","23,617,000,000","23,838,000,000","21,742,000,000","21,544,000,000","11,912,000,000","10,712,000,000","11,164,000,000","9,851,000,000","7,281,000,000","3,907,000,000","3,705,000,000"
		CapitalStock,"31,098,000,000","30,173,000,000","30,173,000,000","30,173,000,000","30,173,000,000","24,168,000,000","15,263,000,000","13,163,000,000","11,905,000,000","11,905,000,000","12,257,000,000","35,881,000,000","3,658,000,000","3,658,000,000","3,757,000,000","3,924,000,000","3,053,000,000","3,033,000,000","3,006,000,000","3,460,000,000","1,810,000,000","1,028,000,000","1,740,000,000","3,200,000,000","1,250,000,000","1,450,000,000","1,654,000,000","1,848,000,000","1,598,000,000","896,000,000","904,000,000"
		RetainedEarnings,"223,211,000,000","199,202,000,000","177,676,000,000","162,440,000,000","146,420,000,000","130,315,000,000","115,756,000,000","104,223,000,000","88,315,000,000","73,998,000,000","62,481,000,000","54,013,000,000","54,715,000,000","43,600,000,000","33,848,000,000","30,209,000,000","29,681,000,000","25,851,000,000","26,993,000,000","28,096,000,000","17,547,000,000","13,544,000,000","11,103,000,000","8,627,000,000","4,493,000,000","3,263,000,000","2,501,000,000","1,407,000,000","769,000,000","501,000,000","513,000,000"
		GainsLossesNotAffectingRetainedEarnings,"1,569,000,000","-1,507,000,000","-119,000,000","-1,175,000,000","192,000,000","2,189,000,000","1,199,000,000","4,102,000,000","944,000,000","1,001,000,000","-91,000,000","-5,687,000,000","-917,000,000","-1,557,000,000","-626,000,000","-208,000,000","-30,000,000","1,227,000,000","-442,000,000","-241,000,000","-1,454,000,000","392,000,000","95,000,000","-288,000,000",,,,,,,
		StockholdersEquity,"261,330,000,000","256,515,000,000","255,693,000,000","254,190,000,000","247,573,000,000","232,065,000,000","211,178,000,000","204,069,000,000","183,573,000,000","176,106,000,000","165,365,000,000","166,884,000,000","123,221,000,000","115,790,000,000","107,211,000,000","105,653,000,000","46,154,000,000","42,306,000,000","41,099,000,000","42,338,000,000","23,617,000,000","23,838,000,000","21,742,000,000","21,544,000,000","11,912,000,000","10,712,000,000","11,164,000,000","9,851,000,000","7,281,000,000","3,907,000,000","3,705,000,000"
	TotalAssets,"2,687,379,000,000","2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,351,698,000,000","2,573,126,000,000","2,415,689,000,000","2,359,141,000,000","2,265,792,000,000","2,117,605,000,000","2,031,989,000,000","2,175,052,000,000","1,562,147,000,000","1,351,520,000,000","1,198,942,000,000","1,157,248,000,000","770,912,000,000","758,800,000,000","693,575,000,000","715,348,000,000","406,105,000,000","365,875,000,000","365,521,000,000","336,099,000,000","182,926,000,000","171,423,000,000","149,888,000,000","139,655,000,000","138,930,000,000","73,019,000,000","71,513,000,000"
