name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"833,893,000,000","797,598,000,000","812,109,000,000","817,793,000,000","806,688,000,000","854,896,000,000","847,030,000,000","924,552,000,000","970,546,000,000","992,438,000,000","1,027,255,000,000","436,033,000,000","353,346,000,000","343,491,128,110","309,682,729,200","279,717,460,400","251,685,280,000","252,758,000,000","237,059,447,040","219,113,000,000","299,098,000,000","167,997,000,000","158,106,000,000","147,367,000,000","148,047,000,000"
	TotalAssets,"833,893,000,000","797,598,000,000","812,109,000,000","817,793,000,000","806,688,000,000","854,896,000,000","847,030,000,000","924,552,000,000","970,546,000,000","992,438,000,000","1,027,255,000,000","436,033,000,000","353,346,000,000","343,491,128,110","309,682,729,200","279,717,460,400","251,685,280,000","252,758,000,000","237,059,447,040","219,113,000,000","299,098,000,000","167,997,000,000","158,106,000,000","147,367,000,000","148,047,000,000"
TotalAssets,"833,893,000,000","797,598,000,000","812,109,000,000","817,793,000,000","806,688,000,000","854,896,000,000","847,030,000,000","924,552,000,000","970,546,000,000","992,438,000,000","1,027,255,000,000","436,033,000,000","353,346,000,000","343,491,128,110","309,682,729,200","279,717,460,400","251,685,280,000","252,758,000,000","237,059,447,040","219,113,000,000","299,098,000,000","167,997,000,000","158,106,000,000","147,367,000,000","148,047,000,000"
	TotalLiabilitiesNetMinorityInterest,"786,087,000,000","747,399,000,000","762,966,000,000","769,328,000,000","759,708,000,000","804,993,000,000","807,694,000,000","879,868,000,000","923,952,000,000","947,872,000,000","983,148,000,000","426,334,000,000","340,921,000,000","331,988,017,940","299,055,637,440","269,148,971,840","241,347,680,000","244,055,000,000","225,276,261,210","208,537,000,000","290,372,000,000","160,480,000,000","151,812,000,000","142,259,000,000","143,203,000,000"
		TotalLiabilitiesNetMinorityInterest,"786,087,000,000","747,399,000,000","762,966,000,000","769,328,000,000","759,708,000,000","804,993,000,000","807,694,000,000","879,868,000,000","923,952,000,000","947,872,000,000","983,148,000,000","426,334,000,000","340,921,000,000","331,988,017,940","299,055,637,440","269,148,971,840","241,347,680,000","244,055,000,000","225,276,261,210","208,537,000,000","290,372,000,000","160,480,000,000","151,812,000,000","142,259,000,000","143,203,000,000"
	StockholdersEquity,"47,603,000,000","49,925,000,000","48,906,000,000","48,025,000,000","46,589,000,000","48,690,000,000","38,989,000,000","43,999,000,000","45,920,000,000","43,725,000,000","43,278,000,000","9,393,000,000","12,141,000,000","11,151,437,680","10,192,384,080","9,972,574,080","9,611,280,000","7,972,000,000","10,783,875,870","10,024,000,000","8,693,000,000","7,475,000,000","6,254,000,000","5,074,000,000","4,209,000,000"
		CapitalStock,"7,005,000,000","7,116,000,000","7,197,000,000","7,146,000,000","7,146,000,000","7,146,000,000","7,145,000,000","7,042,000,000","6,881,000,000","6,815,000,000","10,472,000,000","1,513,000,000","1,432,000,000","1,428,637,590","1,419,773,880","1,418,620,560","1,416,240,000",,"1,414,312,650",,"1,389,000,000",,,,
		RetainedEarnings,"3,246,000,000","5,389,000,000","4,905,000,000","3,250,000,000","4,416,000,000","5,692,000,000","4,088,000,000","7,183,000,000","8,680,000,000","9,044,000,000","11,248,000,000","8,260,000,000","9,471,000,000","8,102,248,340","7,220,331,840","7,067,034,800","6,718,320,000",,"8,064,679,140",,"6,763,000,000",,,,
		StockholdersEquity,"47,603,000,000","49,925,000,000","48,906,000,000","48,025,000,000","46,589,000,000","48,690,000,000","38,989,000,000","43,999,000,000","45,920,000,000","43,725,000,000","43,278,000,000","9,393,000,000","12,141,000,000","11,151,437,680","10,192,384,080","9,972,574,080","9,611,280,000","7,972,000,000","10,783,875,870","10,024,000,000","8,693,000,000","7,475,000,000","6,254,000,000","5,074,000,000","4,209,000,000"
	TotalAssets,"833,893,000,000","797,598,000,000","812,109,000,000","817,793,000,000","806,688,000,000","854,896,000,000","847,030,000,000","924,552,000,000","970,546,000,000","992,438,000,000","1,027,255,000,000","436,033,000,000","353,346,000,000","343,491,128,110","309,682,729,200","279,717,460,400","251,685,280,000","252,758,000,000","237,059,447,040","219,113,000,000","299,098,000,000","167,997,000,000","158,106,000,000","147,367,000,000","148,047,000,000"
