name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
OperatingCashFlow,"27,472,000,000","11,281,000,000","-11,107,000,000","-3,195,000,000","2,074,000,000","16,372,000,000","10,353,000,000","-15,531,000,000","3,049,000,000","19,893,000,000","-2,037,000,000","-33,735,000,000","33,841,000,000","10,484,000,000","6,076,941,460","-330,680,040","2,033,304,000","-701,120,000","5,394,000,000","9,949,052,880","7,474,000,000","-59,000,000","-2,580,000,000","-654,000,000","227,000,000","2,990,000,000"
	NetIncome,"732,000,000","2,925,000,000","4,302,000,000","3,807,000,000","2,063,000,000","860,000,000","1,412,000,000","-838,000,000","-1,427,000,000","-451,000,000","-2,656,000,000","2,827,000,000","819,000,000","3,289,000,000","2,802,150,900","2,492,595,240","2,420,153,120","3,249,680,000","1,781,000,000","2,505,845,430","2,706,000,000","2,520,000,000","2,120,000,000","2,335,000,000","1,575,000,000","1,130,000,000"
	DepreciationAndAmortization,,"2,660,000,000","2,405,000,000","2,370,000,000","2,380,000,000","2,112,000,000","1,935,000,000","1,940,000,000","2,126,000,000","2,175,000,000","2,432,000,000","2,560,000,000","686,000,000","630,000,000","618,616,920","638,694,840","632,931,040","696,080,000","642,000,000","551,272,230","364,000,000",,"218,000,000","247,000,000","254,000,000","291,000,000"
	ChangeInWorkingCapital,"32,815,000,000","5,021,000,000","-18,210,000,000","-10,623,000,000","-833,000,000","22,715,000,000","15,412,000,000","-27,153,000,000","5,960,000,000","24,910,000,000","-13,823,000,000","-43,985,000,000","37,908,000,000","4,559,000,000","1,073,902,640","-6,883,259,040","-267,979,040","170,800,000","1,315,000,000","5,668,950,510","3,473,000,000",,"-5,614,000,000","-3,369,000,000","-2,237,000,000","1,323,000,000"
	FreeCashFlow,"24,582,000,000","7,839,000,000","-14,621,000,000","-6,850,000,000","-1,686,000,000","12,955,000,000","6,911,000,000","-18,513,000,000","46,000,000","16,798,000,000","-5,253,000,000","-36,424,000,000","32,405,000,000","9,150,000,000","5,609,916,310","-1,100,717,040","850,859,520","-1,477,840,000","5,134,000,000","8,789,385,330","7,045,000,000","-411,000,000","-2,810,000,000","-856,000,000","32,000,000","2,747,000,000"
	OtherNonCashItems,"-6,466,000,000","1,469,000,000","2,225,000,000","1,749,000,000","-1,422,000,000","-8,463,000,000","-3,640,000,000","12,946,000,000","-1,063,000,000","-5,360,000,000","4,456,000,000","4,431,000,000","-6,885,000,000","2,554,000,000","-1,416,898,160","-3,115,598,760","-2,577,603,840","-6,264,720,000",,"5,876,795,970",,,,,,
	OperatingCashFlow,"27,472,000,000","11,281,000,000","-11,107,000,000","-3,195,000,000","2,074,000,000","16,372,000,000","10,353,000,000","-15,531,000,000","3,049,000,000","19,893,000,000","-2,037,000,000","-33,735,000,000","33,841,000,000","10,484,000,000","6,076,941,460","-330,680,040","2,033,304,000","-701,120,000","5,394,000,000","9,949,052,880","7,474,000,000","-59,000,000","-2,580,000,000","-654,000,000","227,000,000","2,990,000,000"
InvestingCashFlow,"-1,650,000,000","-2,130,000,000","11,921,000,000","6,808,000,000","-686,000,000","-3,310,000,000","-7,722,000,000","-15,609,000,000","15,232,000,000","6,932,000,000","-2,398,000,000","50,823,000,000","-35,086,000,000","-1,083,000,000","-4,891,259,030","-642,762,960","-1,336,245,680","1,631,840,000","-2,557,000,000","-8,523,040,320","-4,669,000,000","-1,739,000,000","1,396,000,000","1,972,000,000","3,437,000,000","-1,771,000,000"
	CapitalExpenditure,"-2,890,000,000","-3,442,000,000","-3,514,000,000","-3,655,000,000","-3,760,000,000","-3,417,000,000","-3,442,000,000","-2,982,000,000","-3,003,000,000","-3,095,000,000","-3,216,000,000","-2,689,000,000","-1,436,000,000","-1,334,000,000","-467,025,150","-770,037,000","-1,182,444,480","-776,720,000","-260,000,000","-1,159,667,550","-429,000,000","-352,000,000","-230,000,000","-202,000,000","-195,000,000","-243,000,000"
	PurchaseOfBusiness,"-25,000,000","-21,000,000","-49,000,000","-1,923,000,000","-20,000,000","-4,076,000,000","-1,000,000","-6,000,000","-11,000,000","-13,000,000","-73,000,000","16,227,000,000","-19,000,000","-8,000,000","-20,000,000","-27,000,000","-16,000,000","-1,118,000,000","-138,000,000","-224,000,000","-5,110,000,000","-27,000,000","4,000,000","-55,000,000","-4,000,000","-56,000,000"
