name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989
TotalAssets,"847,124,000,000","806,510,000,000","788,325,000,000","777,622,000,000","955,052,000,000","883,301,000,000","808,427,000,000","763,090,000,000","753,757,000,000","685,952,000,000","654,120,000,000","656,799,000,000","564,634,000,000","484,785,000,000","419,588,000,000","411,309,000,000","397,471,000,000","377,387,000,000","374,720,000,000","343,677,000,000","254,081,000,000","251,714,000,000","201,969,001,152","173,710,003,712","148,123,000,000","128,859,000,000","117,251,000,000","103,314,800,000","92,461,700,000","94,606,900,000","76,143,100,000"
	TotalAssets,"847,124,000,000","806,510,000,000","788,325,000,000","777,622,000,000","955,052,000,000","883,301,000,000","808,427,000,000","763,090,000,000","753,757,000,000","685,952,000,000","654,120,000,000","656,799,000,000","564,634,000,000","484,785,000,000","419,588,000,000","411,309,000,000","397,471,000,000","377,387,000,000","374,720,000,000","343,677,000,000","254,081,000,000","251,714,000,000","201,969,001,152","173,710,003,712","148,123,000,000","128,859,000,000","117,251,000,000","103,314,800,000","92,461,700,000","94,606,900,000","76,143,100,000"
TotalAssets,"847,124,000,000","806,510,000,000","788,325,000,000","777,622,000,000","955,052,000,000","883,301,000,000","808,427,000,000","763,090,000,000","753,757,000,000","685,952,000,000","654,120,000,000","656,799,000,000","564,634,000,000","484,785,000,000","419,588,000,000","411,309,000,000","397,471,000,000","377,387,000,000","374,720,000,000","343,677,000,000","254,081,000,000","251,714,000,000","201,969,001,152","173,710,003,712","148,123,000,000","128,859,000,000","117,251,000,000","103,314,800,000","92,461,700,000","94,606,900,000","76,143,100,000"
	TotalLiabilitiesNetMinorityInterest,"791,520,000,000","753,798,000,000","737,008,000,000","726,307,000,000","899,539,000,000","835,393,000,000","761,807,000,000","719,287,000,000","711,569,000,000","646,998,000,000","616,285,000,000","623,953,000,000","534,749,000,000","456,813,000,000","385,308,000,000","381,543,000,000","370,260,000,000","354,136,000,000","351,163,000,000","322,270,000,000","235,561,000,000","235,950,000,000","189,388,002,816","161,190,999,936","136,704,000,000","118,972,999,000","108,214,000,000","95,308,900,000","84,438,200,000","88,034,700,000","70,121,100,000"
		TotalLiabilitiesNetMinorityInterest,"791,520,000,000","753,798,000,000","737,008,000,000","726,307,000,000","899,539,000,000","835,393,000,000","761,807,000,000","719,287,000,000","711,569,000,000","646,998,000,000","616,285,000,000","623,953,000,000","534,749,000,000","456,813,000,000","385,308,000,000","381,543,000,000","370,260,000,000","354,136,000,000","351,163,000,000","322,270,000,000","235,561,000,000","235,950,000,000","189,388,002,816","161,190,999,936","136,704,000,000","118,972,999,000","108,214,000,000","95,308,900,000","84,438,200,000","88,034,700,000","70,121,100,000"
	StockholdersEquity,"55,596,000,000","52,701,000,000","51,306,000,000","51,292,000,000","55,494,000,000","47,891,000,000","46,561,000,000","43,756,000,000","42,168,000,000","38,940,000,000","37,815,000,000","32,790,000,000","29,571,000,000","27,804,000,000","28,056,000,000","25,900,000,000","24,407,000,000","23,184,000,000","23,489,000,000","21,361,000,000","18,520,000,000","15,761,000,000","12,579,000,064","12,519,000,000","11,381,000,000","9,852,000,000","8,816,000,000","8,003,800,000","8,021,100,000","6,545,000,000","5,991,500,000"
		CapitalStock,"38,707,000,000","35,982,000,000","34,627,000,000","34,285,000,000","34,651,000,000","28,380,000,000","28,139,000,000","27,373,000,000","25,274,000,000","23,551,000,000","22,781,000,000","14,731,000,000","12,441,000,000","12,279,000,000","11,486,000,000","10,191,000,000","9,728,000,000","9,931,000,000","10,725,000,000","9,855,000,000","9,286,000,000","6,675,000,000","1,412,999,936","1,476,999,936","1,429,000,000","1,369,000,000","1,315,000,000","1,272,600,000","1,538,900,000","1,283,300,000","1,251,100,000"
		RetainedEarnings,"16,583,000,000","16,673,000,000","16,442,000,000","16,378,000,000","21,205,000,000","20,377,000,000","19,842,000,000","18,702,000,000","17,667,000,000","16,028,000,000","16,010,000,000","17,510,000,000","16,059,000,000","14,461,000,000","15,903,000,000","13,675,000,000","13,786,000,000","11,148,000,000","10,337,000,000","9,500,000,000","8,432,000,000","7,304,000,000","6,568,000,000","5,621,000,192","3,625,000,000","2,870,000,000","2,103,000,000","1,489,000,000","1,285,700,000","1,177,900,000","1,036,900,000"
		GainsLossesNotAffectingRetainedEarnings,"306,000,000","46,000,000","237,000,000","629,000,000","-362,000,000","-866,000,000","-1,420,000,000","-2,319,000,000","-773,000,000","-639,000,000","-976,000,000","549,000,000","1,071,000,000","1,064,000,000","667,000,000","2,034,000,000","893,000,000","2,105,000,000","2,427,000,000","2,006,000,000","802,000,000","1,782,000,000","4,598,000,128","5,420,999,872","6,327,000,000","5,613,000,000","5,398,000,000","5,242,200,000","5,196,500,000","4,083,800,000","3,703,500,000"
		StockholdersEquity,"55,596,000,000","52,701,000,000","51,306,000,000","51,292,000,000","55,494,000,000","47,891,000,000","46,561,000,000","43,756,000,000","42,168,000,000","38,940,000,000","37,815,000,000","32,790,000,000","29,571,000,000","27,804,000,000","28,056,000,000","25,900,000,000","24,407,000,000","23,184,000,000","23,489,000,000","21,361,000,000","18,520,000,000","15,761,000,000","12,579,000,064","12,519,000,000","11,381,000,000","9,852,000,000","8,816,000,000","8,003,800,000","8,021,100,000","6,545,000,000","5,991,500,000"
