name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989
InvestingCashFlow,"2,444,000,000","2,613,000,000","-954,000,000","-313,000,000","-9,970,000,000","-1,830,000,000","-7,042,000,000","-2,739,000,000","-6,407,000,000","-5,490,000,000","-8,368,000,000","-3,188,000,000","-4,765,000,000","-2,044,000,000","3,864,000,000","-29,893,000,000","-23,584,000,000","-29,021,000,000","-20,715,000,000","-29,076,000,000","-34,152,000,000","-15,832,000,000","-25,175,000,000","-16,094,000,128","-17,852,999,680","-15,887,000,000","-6,778,000,000","819,000,000","-8,151,100,000","-2,000,200,000","0","0"
	CapitalExpenditure,"-1,158,000,000","-1,135,000,000",,"-1,028,000,000","-875,000,000","-976,000,000","-1,243,000,000","-1,232,000,000","-946,000,000","-1,068,000,000","-797,000,000","-951,000,000","-865,000,000","-789,000,000","-1,300,000,000","-13,844,000,000","-2,175,000,000","-534,000,000","-865,000,000","-3,682,000,000","-725,000,000","-2,302,000,000","-3,972,000,000","-1,027,000,000","-877,000,000","-305,000,000","-263,000,000","-175,000,000","-217,600,000","-236,900,000",,
	PurchaseOfBusiness,,,,,"-2,000,000","-33,000,000",,,"-57,000,000","-6,000,000","-4,994,000,000","194,000,000","-972,000,000",,,"-18,000,000",,"-83,000,000","212,000,000","-167,000,000","-8,255,000,000","-8,000,000","-2,173,000,000","-47,000,000","-2,156,999,936","0","0","-1,139,000,000","0","0","0","0"
	PurchaseOfInvestment,,,,"-23,396,000,000","-22,084,000,000","-25,174,000,000","-29,871,000,000","-26,569,000,000","-44,117,000,000","-55,219,000,000","-44,460,000,000","-42,058,000,000","-49,904,000,000","-33,722,000,000","-35,560,000,000","-31,620,000,000","-22,442,000,000","-34,151,000,000","-55,418,000,000","-58,080,000,000","-185,973,000,000","-16,562,000,000","-20,810,000,000","-11,070,000,128","-10,912,000,000","-10,079,000,000","-5,533,000,000","-16,337,000,000","-9,919,500,000","-7,523,200,000","0","0"
	SaleOfInvestment,,,,"21,805,000,000","24,719,000,000","23,971,000,000","23,816,000,000","24,958,000,000","38,598,000,000","50,675,000,000","41,857,000,000","39,419,000,000","46,402,000,000","32,273,000,000","38,949,000,000","35,128,000,000","19,774,000,000","32,081,000,000","52,067,000,000","46,101,000,000","184,703,000,000","14,674,000,000","20,511,000,000","9,429,999,616","10,261,000,192","9,813,000,000","6,639,000,000","16,415,000,000","6,791,900,000","7,416,900,000","0","0"
	NetOtherInvestingChanges,"3,511,000,000","3,702,000,000","-954,000,000","37,000,000","-11,780,000,000","-1,830,000,000","-7,042,000,000",,,,,,,,,"-548,000,000","47,000,000","-113,000,000","-2,183,000,000","23,000,000","36,000,000","-14,241,000,000","0","-91,000,000","-601,000,000","-1,691,000,000","-310,000,000","149,000,000","51,900,000","-2,652,700,000","0","0"
	InvestingCashFlow,"2,444,000,000","2,613,000,000","-954,000,000","-313,000,000","-9,970,000,000","-1,830,000,000","-7,042,000,000","-2,739,000,000","-6,407,000,000","-5,490,000,000","-8,368,000,000","-3,188,000,000","-4,765,000,000","-2,044,000,000","3,864,000,000","-29,893,000,000","-23,584,000,000","-29,021,000,000","-20,715,000,000","-29,076,000,000","-34,152,000,000","-15,832,000,000","-25,175,000,000","-16,094,000,128","-17,852,999,680","-15,887,000,000","-6,778,000,000","819,000,000","-8,151,100,000","-2,000,200,000","0","0"
CashFlowFromContinuingFinancingActivities,"-10,165,000,000","-5,771,000,000","4,926,000,000","-331,000,000","7,761,000,000","1,326,000,000","550,000,000","-1,322,000,000","10,114,000,000","7,303,000,000","6,477,000,000","2,769,000,000","13,119,000,000","11,912,000,000","18,754,000,000","15,171,000,000","22,747,000,000","17,009,000,000","9,065,000,000","17,214,000,000","23,256,000,000","13,593,000,000","18,398,000,000","14,151,999,488","16,369,999,872","13,348,000,000","4,920,000,000","-2,311,000,000","5,922,500,000","-1,501,800,000","0","0"
	RepaymentOfDebt,"-31,413,000,000","-31,800,000,000","-22,992,000,000","-32,499,000,000","-26,127,000,000","-29,941,000,000","-25,087,000,000","-24,822,000,000","-18,535,000,000","-21,905,000,000","-18,326,000,000","-32,205,000,000","-19,178,000,000","-16,982,000,000","-8,337,000,000","-5,768,000,000","-5,473,000,000","-7,221,000,000","-13,331,000,000","-111,000,000","-653,000,000","-34,774,000,000","-12,390,000,000","-2,592,999,936","-903,000,000","-634,000,000","-1,855,000,000","-3,543,000,000","-1,354,100,000","-2,294,800,000","0","0"
	CommonStockIssuance,,"1,000,000,000",,,,"6,246,000,000","9,000,000","20,000,000","5,000,000",,,"6,116,000,000","400,000,000","60,000,000","1,118,000,000","1,059,000,000","739,000,000","1,191,000,000","130,000,000","261,000,000","194,000,000","2,222,000,000","809,000,000","1,380,000,000","44,000,000","64,000,000","73,000,000","21,000,000","31,700,000","0","0","0"
	RepurchaseOfCapitalStock,,"-722,000,000",,"-400,000,000",,,"-309,000,000","-300,000,000",,"-33,000,000",,,,"-1,200,000,000",,,"-744,000,000","-1,565,000,000","-1,248,000,000",,,,"0","-1,812,000,000","0",,,,,,,
	CashDividendsPaid,"-2,986,000,000","-3,266,000,000","-4,221,000,000","-4,750,000,000","-4,593,000,000","-3,624,000,000","-3,973,000,000","-3,493,000,000","-2,744,000,000","-2,341,000,000","-2,500,000,000","-1,742,000,000","-1,702,000,000","-2,922,000,000","-2,555,000,000","-2,453,000,000","-1,976,000,000","-2,255,000,000","-1,948,000,000","-1,494,000,000","-1,490,000,000","-1,110,000,000","-941,000,000","-895,000,000","-760,000,000","-535,000,000","-314,000,000","-261,000,000","-216,300,000","-466,500,000","0","0"
	NetOtherFinancingCharges,,,,,,"-72,000,000",,,,,,,,,,"545,000,000","-1,248,000,000","-340,000,000","-116,000,000","-221,000,000","-189,000,000","1,026,000,000","189,000,000","-583,000,000","1,143,000,064","1,790,000,000","622,000,000","-474,000,000","-285,000,000","1,179,700,000","0","0"
	CashFlowFromContinuingFinancingActivities,"-10,165,000,000","-5,771,000,000","4,926,000,000","-331,000,000","7,761,000,000","1,326,000,000","550,000,000","-1,322,000,000","10,114,000,000","7,303,000,000","6,477,000,000","2,769,000,000","13,119,000,000","11,912,000,000","18,754,000,000","15,171,000,000","22,747,000,000","17,009,000,000","9,065,000,000","17,214,000,000","23,256,000,000","13,593,000,000","18,398,000,000","14,151,999,488","16,369,999,872","13,348,000,000","4,920,000,000","-2,311,000,000","5,922,500,000","-1,501,800,000","0","0"
