name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000
TotalAssets,"212,158,463,000,000","195,503,623,000,000","192,175,566,000,000","191,150,981,000,000","180,172,652,000,000","179,181,466,000,000","158,615,655,000,000","148,007,726,000,000","141,874,426,000,000","136,470,927,000,000","122,992,929,000,000","115,849,385,000,000","111,955,918,000,000","100,858,309,000,000","107,010,575,000,000","99,731,858,000,000","102,215,172,000,000","104,607,449,000,000","108,005,001,000,000","51,849,687,000,000","48,495,608,000,000"
	TotalAssets,"212,158,463,000,000","195,503,623,000,000","192,175,566,000,000","191,150,981,000,000","180,172,652,000,000","179,181,466,000,000","158,615,655,000,000","148,007,726,000,000","141,874,426,000,000","136,470,927,000,000","122,992,929,000,000","115,849,385,000,000","111,955,918,000,000","100,858,309,000,000","107,010,575,000,000","99,731,858,000,000","102,215,172,000,000","104,607,449,000,000","108,005,001,000,000","51,849,687,000,000","48,495,608,000,000"
TotalAssets,"212,158,463,000,000","195,503,623,000,000","192,175,566,000,000","191,150,981,000,000","180,172,652,000,000","179,181,466,000,000","158,615,655,000,000","148,007,726,000,000","141,874,426,000,000","136,470,927,000,000","122,992,929,000,000","115,849,385,000,000","111,955,918,000,000","100,858,309,000,000","107,010,575,000,000","99,731,858,000,000","102,215,172,000,000","104,607,449,000,000","108,005,001,000,000","51,849,687,000,000","48,495,608,000,000"
	TotalLiabilitiesNetMinorityInterest,"201,223,585,000,000","183,730,177,000,000","179,679,767,000,000","179,263,698,000,000","169,130,553,000,000","168,160,616,000,000","149,197,488,000,000","139,265,076,000,000","134,259,035,000,000","128,919,722,000,000","115,431,259,000,000","111,330,738,000,000","106,731,842,000,000","95,527,030,000,000","101,443,151,000,000","95,934,927,000,000","98,150,534,000,000","101,186,655,000,000","104,108,535,000,000","49,289,956,000,000","45,967,817,000,000"
		TotalLiabilitiesNetMinorityInterest,"201,223,585,000,000","183,730,177,000,000","179,679,767,000,000","179,263,698,000,000","169,130,553,000,000","168,160,616,000,000","149,197,488,000,000","139,265,076,000,000","134,259,035,000,000","128,919,722,000,000","115,431,259,000,000","111,330,738,000,000","106,731,842,000,000","95,527,030,000,000","101,443,151,000,000","95,934,927,000,000","98,150,534,000,000","101,186,655,000,000","104,108,535,000,000","49,289,956,000,000","45,967,817,000,000"
	StockholdersEquity,"10,874,582,000,000","11,279,323,000,000","11,262,819,000,000","10,382,282,000,000","9,504,551,000,000","9,339,378,000,000","7,686,841,000,000","6,638,535,000,000","5,564,665,000,000","5,502,543,000,000","5,514,173,000,000","2,551,514,000,000","3,578,371,000,000","3,923,000,000,000","4,454,399,000,000","2,775,728,000,000","3,070,942,000,000","2,424,074,000,000","2,912,619,000,000","2,175,809,000,000","2,208,554,000,000"
		CapitalStock,"2,339,965,000,000","2,339,443,000,000","2,338,743,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","2,337,896,000,000","664,986,000,000","1,420,877,000,000","1,420,877,000,000","1,420,877,000,000","1,352,651,000,000","1,247,650,000,000","1,247,650,000,000","1,326,746,000,000","1,042,706,000,000","1,042,706,000,000"
		RetainedEarnings,"5,609,854,000,000","5,715,101,000,000","5,149,193,000,000","4,609,496,000,000","4,186,683,000,000","3,554,688,000,000","3,114,716,000,000","2,596,104,000,000","2,162,696,000,000","1,974,069,000,000","1,663,618,000,000","448,750,000,000","1,740,610,000,000","1,386,436,000,000","992,064,000,000","329,963,000,000","611,189,000,000","311,664,000,000","475,357,000,000","196,060,000,000","198,161,000,000"
		GainsLossesNotAffectingRetainedEarnings,"1,525,720,000,000","1,916,366,000,000","2,324,349,000,000","2,134,042,000,000","1,991,955,000,000","2,759,084,000,000","1,546,826,000,000","1,069,603,000,000","196,087,000,000","173,073,000,000",,"-165,961,000,000","483,002,000,000","1,181,355,000,000","778,452,000,000","330,770,000,000","253,249,000,000","-77,712,000,000","-320,011,000,000","-20,939,000,000","0"
		StockholdersEquity,"10,874,582,000,000","11,279,323,000,000","11,262,819,000,000","10,382,282,000,000","9,504,551,000,000","9,339,378,000,000","7,686,841,000,000","6,638,535,000,000","5,564,665,000,000","5,502,543,000,000","5,514,173,000,000","2,551,514,000,000","3,578,371,000,000","3,923,000,000,000","4,454,399,000,000","2,775,728,000,000","3,070,942,000,000","2,424,074,000,000","2,912,619,000,000","2,175,809,000,000","2,208,554,000,000"
	TotalAssets,"212,158,463,000,000","195,503,623,000,000","192,175,566,000,000","191,150,981,000,000","180,172,652,000,000","179,181,466,000,000","158,615,655,000,000","148,007,726,000,000","141,874,426,000,000","136,470,927,000,000","122,992,929,000,000","115,849,385,000,000","111,955,918,000,000","100,858,309,000,000","107,010,575,000,000","99,731,858,000,000","102,215,172,000,000","104,607,449,000,000","108,005,001,000,000","51,849,687,000,000","48,495,608,000,000"
