name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000
TotalRevenue,"2,417,266,000,000","2,417,266,000,000","2,969,875,000,000","3,352,014,000,000","2,961,083,000,000","3,379,044,000,000","3,020,170,000,000","3,084,981,000,000","2,592,449,000,000","2,834,503,000,000","2,878,245,000,000","2,886,269,000,000","2,692,063,000,000","3,596,185,000,000","3,038,559,000,000","3,302,093,000,000","3,239,483,000,000","3,359,261,000,000","3,100,885,000,000","3,082,226,000,000","1,335,772,000,000","1,411,548,000,000"
InterestExpense,"1,090,730,000,000","1,090,730,000,000","1,101,875,000,000","733,969,000,000","502,338,000,000","431,101,000,000","371,107,000,000","320,511,000,000","339,520,000,000","313,631,000,000","311,056,000,000","346,810,000,000","748,892,000,000","935,067,000,000","810,474,000,000","500,991,000,000","350,383,000,000","310,266,000,000","417,401,000,000","726,900,000,000","437,839,000,000","745,549,000,000"
PretaxIncome,"282,751,000,000","282,751,000,000","831,892,000,000","1,118,976,000,000","880,352,000,000","1,325,700,000,000","1,132,908,000,000","1,306,181,000,000","965,551,000,000","919,192,000,000","932,683,000,000","1,134,734,000,000","29,495,000,000","928,955,000,000","806,790,000,000","1,043,362,000,000","-108,535,000,000","404,894,000,000","590,914,000,000","604,338,000,000","132,046,000,000","126,139,000,000"
TaxProvision,"51,768,000,000","51,768,000,000","184,306,000,000","229,378,000,000","139,766,000,000","372,878,000,000","409,947,000,000","413,997,000,000","274,795,000,000","461,194,000,000","361,165,000,000","488,041,000,000","334,643,000,000","386,438,000,000","306,588,000,000","296,719,000,000","74,681,000,000","32,882,000,000","159,122,000,000","187,445,000,000","77,991,000,000","82,078,000,000"
NetIncomeContinuousOperations,"230,983,000,000","230,983,000,000","647,586,000,000","889,598,000,000","740,586,000,000","952,822,000,000","722,961,000,000","892,184,000,000","690,756,000,000","457,998,000,000","571,518,000,000","646,693,000,000","-305,148,000,000","542,517,000,000","500,202,000,000","627,041,000,000","-285,184,000,000","288,818,000,000","431,792,000,000","416,894,000,000","43,824,000,000","81,102,000,000"
NetIncome,"200,052,000,000","200,052,000,000","541,932,000,000","759,998,000,000","627,870,000,000","843,920,000,000","614,070,000,000","766,367,000,000","572,916,000,000","345,430,000,000","464,007,000,000","528,692,000,000","-373,456,000,000","461,536,000,000","441,351,000,000","686,841,000,000","-234,201,000,000","330,414,000,000","465,359,000,000","463,887,000,000","48,939,000,000","62,581,000,000"
NetIncomeCommonStockholders,"200,052,000,000","200,052,000,000","541,932,000,000","759,998,000,000","627,870,000,000","843,920,000,000","614,070,000,000","766,367,000,000","572,916,000,000","345,430,000,000","464,007,000,000","528,692,000,000","-384,160,000,000","448,577,000,000","428,392,000,000","686,841,000,000","-234,201,000,000","330,414,000,000","465,359,000,000","463,887,000,000","48,939,000,000","62,581,000,000"
BasicEPS,,,"104.134","104.134","91.712","123.45","110.236","112.19","117.298","73.34","67.37","102.302","-99.478","118.596","114.172","189.467","-88.776","104.63","168.65","168.24","18.44","25.16"
DilutedEPS,,,"104.054","104.054","91.636","123.366","110.17","112.134","117.188","73.34","67.356","96.318","-99.478","113.315","102.988","151.286","-88.776","71.73","0","168.24","18.42","0"
BasicAverageShares,,,"7,052,211,060","7,052,210,000","6,846,105,199","6,836,145,000","6,836,290,000","6,830,974,240","6,927,526,925","7,070,278,125","6,971,950,000","5,085,330,000","3,861,740,000","3,782,000,000","3,752,000,000","3,625,117,461","2,638,107,491","3,157,943,028","2,759,318,769","2,757,293,153","2,653,958,785","2,487,321,145"
DilutedAverageShares,,,"7,052,211,060","7,057,566,264","6,851,783,142","6,840,785,000","6,836,290,000","6,834,385,646","6,927,526,925","7,070,278,125","7,065,369,084","5,215,355,000","4,186,053,746","3,899,101,636","4,094,094,535","4,540,021,123","2,638,107,491","3,157,943,028","2,759,318,769","2,757,293,153","2,656,840,391","2,487,321,145"
