name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"972,183,000,000","958,489,000,000","939,997,330,842.119","917,744,056,850.081","953,845,453,441.787","1,074,479,940,940.303","1,137,908,887,060.971","1,379,360,506,512.143","1,507,998,172,332.083","1,409,197,111,527.146","1,295,205,797,101.449","1,879,482,000,000","2,005,096,000,000","1,966,337,000,000","1,568,056,000,000","1,520,191,000,000","1,117,809,000,000","855,248,000,000","756,365,000,000","673,847,000,000","616,330,000,000"
	TotalAssets,"972,183,000,000","958,489,000,000","939,997,330,842.119","917,744,056,850.081","953,845,453,441.787","1,074,479,940,940.303","1,137,908,887,060.971","1,379,360,506,512.143","1,507,998,172,332.083","1,409,197,111,527.146","1,295,205,797,101.449","1,879,482,000,000","2,005,096,000,000","1,966,337,000,000","1,568,056,000,000","1,520,191,000,000","1,117,809,000,000","855,248,000,000","756,365,000,000","673,847,000,000","616,330,000,000"
TotalAssets,"972,183,000,000","958,489,000,000","939,997,330,842.119","917,744,056,850.081","953,845,453,441.787","1,074,479,940,940.303","1,137,908,887,060.971","1,379,360,506,512.143","1,507,998,172,332.083","1,409,197,111,527.146","1,295,205,797,101.449","1,879,482,000,000","2,005,096,000,000","1,966,337,000,000","1,568,056,000,000","1,520,191,000,000","1,117,809,000,000","855,248,000,000","756,365,000,000","673,847,000,000","616,330,000,000"
	TotalLiabilitiesNetMinorityInterest,"917,476,000,000","905,385,000,000","887,362,564,034.124","864,444,160,892.012","895,867,225,122.415","1,019,497,790,317.85","1,081,641,069,557.281","1,324,318,936,149.237","1,446,523,711,866.028","1,353,713,827,226.531","1,248,217,391,304.348","1,841,426,000,000","1,967,566,000,000","1,920,574,000,000","1,528,522,000,000","1,484,866,000,000","1,085,937,000,000","824,460,000,000","727,613,000,000","644,280,000,000","594,184,000,000"
		TotalLiabilitiesNetMinorityInterest,"917,476,000,000","905,385,000,000","887,362,564,034.124","864,444,160,892.012","895,867,225,122.415","1,019,497,790,317.85","1,081,641,069,557.281","1,324,318,936,149.237","1,446,523,711,866.028","1,353,713,827,226.531","1,248,217,391,304.348","1,841,426,000,000","1,967,566,000,000","1,920,574,000,000","1,528,522,000,000","1,484,866,000,000","1,085,937,000,000","824,460,000,000","727,613,000,000","644,280,000,000","594,184,000,000"
	StockholdersEquity,"54,533,000,000","52,928,000,000","52,576,250,654.457","52,630,494,101.019","55,959,896,402.412","51,179,676,992.001","54,088,588,910.048","50,273,301,858.891","56,792,655,325.208","50,088,258,892.752","39,626,086,956.522","30,593,000,000","31,397,000,000","40,767,000,000","33,735,000,000","30,651,000,000","28,587,000,000","28,233,000,000","26,270,000,000","27,779,000,000","21,873,000,000"
		CapitalStock,"338,000,000","338,000,000","395,240,686.179","377,888,145.109","389,502,650.641","376,202,178.332","432,690,682.502","420,632,921.098","406,974,890.818","409,735,223.322","343,961,352.657","273,000,000","183,000,000","173,000,000","663,000,000","790,000,000","763,000,000","728,000,000","2,166,000,000","2,754,000,000","2,706,000,000"
		RetainedEarnings,"34,154,000,000","30,448,000,000","33,623,176,503.198","31,138,964,684.635","29,849,055,076.686","22,384,029,610.752","27,578,397,016.237","23,256,399,864.171","25,080,491,770.181","20,631,184,808.772","6,643,478,260.87","13,890,000,000","33,599,000,000","40,328,000,000","33,803,000,000","32,822,000,000","29,619,000,000","23,633,000,000","17,564,000,000","14,989,000,000","12,873,000,000"
		GainsLossesNotAffectingRetainedEarnings,"5,303,000,000","3,930,000,000","-5,884,466,527.734","-4,410,985,257.455","-4,094,330,460.119","-3,127,939,079.518","-10,967,131,283.311","-9,320,743,556.32","-4,202,573,611.451",,,"-4,177,000,000","-1,080,000,000","548,000,000","-163,000,000","-1,446,000,000","-793,000,000","-115,000,000","-116,000,000","-426,000,000","-278,000,000"
		StockholdersEquity,"54,533,000,000","52,928,000,000","52,576,250,654.457","52,630,494,101.019","55,959,896,402.412","51,179,676,992.001","54,088,588,910.048","50,273,301,858.891","56,792,655,325.208","50,088,258,892.752","39,626,086,956.522","30,593,000,000","31,397,000,000","40,767,000,000","33,735,000,000","30,651,000,000","28,587,000,000","28,233,000,000","26,270,000,000","27,779,000,000","21,873,000,000"
	TotalAssets,"972,183,000,000","958,489,000,000","939,997,330,842.119","917,744,056,850.081","953,845,453,441.787","1,074,479,940,940.303","1,137,908,887,060.971","1,379,360,506,512.143","1,507,998,172,332.083","1,409,197,111,527.146","1,295,205,797,101.449","1,879,482,000,000","2,005,096,000,000","1,966,337,000,000","1,568,056,000,000","1,520,191,000,000","1,117,809,000,000","855,248,000,000","756,365,000,000","673,847,000,000","616,330,000,000"
