name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"30,042,000,000","28,946,000,000","29,981,000,000","29,835,025,510.99","27,728,156,102.157","30,231,475,860.953","28,126,169,311.206","31,084,994,422.347","27,876,789,606.862","29,617,783,633.871","34,297,940,625.836","23,606,763,285.024","28,186,000,000","35,859,000,000","39,401,000,000","38,512,000,000","35,747,000,000","27,492,000,000","24,856,000,000","22,699,000,000","22,474,000,000","18,571,000,000"
InterestExpense,"4,556,000,000","6,182,000,000","11,044,000,000","7,870,935,950.477","7,235,821,833.101","6,519,363,846.06","6,715,006,623.99","8,283,096,893.416","10,925,501,966.24","11,840,525,348.266","13,541,588,660.07","16,440,579,710.145","55,670,000,000","91,561,000,000","66,363,000,000","37,871,000,000","24,132,000,000","22,469,000,000","21,301,000,000","26,696,000,000","27,024,000,000","7,514,000,000"
PretaxIncome,"5,863,000,000","5,577,000,000","5,991,000,000","5,408,124,505.949","4,014,448,087.003","5,553,194,933.43","2,488,799,894.825","3,686,885,190.485","-1,943,236,463.616","5,684,897,299.939","7,975,394,490.505","-2,474,396,135.266","-25,998,000,000","-3,065,000,000","11,714,000,000","9,429,000,000","8,959,000,000","6,455,000,000","3,051,000,000","3,847,000,000","6,265,000,000","5,096,000,000"
TaxProvision,"1,251,000,000","1,267,000,000","1,468,000,000","4,249,094,026.219","790,129,757.955","-908,502,286.431","-1,193,329,490.408","-123,947,851.758","504,978,584.965","980,777,608.943","-407,595,613.8","-428,019,323.671","-6,377,000,000","1,157,000,000","2,286,000,000","1,940,000,000","1,871,000,000","1,305,000,000","491,000,000","846,000,000","1,437,000,000","1,140,000,000"
NetIncomeContinuousOperations,"4,612,000,000","4,310,000,000","4,523,000,000","1,159,030,479.73","3,224,318,329.047","6,461,697,219.862","3,682,129,385.233","3,810,833,042.244","-2,448,215,048.581","4,704,119,690.997","8,382,990,104.306","-2,046,376,811.594","-19,621,000,000","-4,222,000,000","9,428,000,000","7,489,000,000","7,088,000,000","5,150,000,000","2,560,000,000","3,001,000,000","4,828,000,000","3,956,000,000"
NetIncome,"4,598,000,000","4,304,000,000","4,515,000,000","1,079,982,342.494","3,144,814,589.427","6,275,545,303.711","3,648,756,611.349","3,804,072,250.33","-2,750,544,960.62","4,419,343,527.187","8,059,909,066.595","-2,643,478,260.87","-19,436,000,000","-3,868,000,000","10,057,000,000","10,678,000,000","7,088,000,000","5,150,000,000","2,560,000,000","3,001,000,000","4,828,000,000","3,956,000,000"
NetIncomeCommonStockholders,"4,598,000,000","4,304,000,000","4,516,000,000","1,081,008,941.679","3,144,814,589.427","6,275,545,303.711","3,505,152,554.028","3,574,205,325.25","-2,750,544,960.62","4,419,343,527.187","8,059,909,066.595","-2,643,478,260.87","-19,436,000,000","-3,868,000,000","10,057,000,000","10,678,000,000","7,088,000,000","5,150,000,000","2,560,000,000","3,001,000,000","4,828,000,000","3,956,000,000"
BasicEPS,,"1.17","1.31","0.318","0.874","1.7","0.971","0.947","-0.734","1.19","2.022","-0.725","-7.084","-2.014","5.079","5.047","3.203","2.196","1.006","1.129","1.899","1.507"
DilutedEPS,,"1.14","1.27","0.308","0.844","1.659","0.951","0.935","-0.734","1.169","2.001","-0.725","-7.094","-2.014","4.874","4.84","3.116","2.154","0.989","1.129","1.87","1.499"
BasicAverageShares,,"3,663,278,238","3,730,297,877","3,716,174,261","3,714,606,742","3,690,375,879","3,720,188,713","3,763,076,788","3,754,112,403","3,774,036,437","3,789,732,938","3,661,086,266","2,769,575,922","1,920,682,945","1,980,093,533","2,115,124,267","2,228,950,847","2,374,818,471","2,565,324,618","2,634,803,920","2,492,503,962","2,625,193,693"
DilutedAverageShares,,"3,767,159,838","3,841,569,146","3,836,724,612","3,844,186,047","3,781,274,265","3,805,514,035","3,844,188,005","3,754,238,664","3,835,295,815","3,838,332,049","3,661,841,214","2,770,727,478","1,920,682,945","2,063,290,942","2,197,372,265","2,299,666,334","2,418,131,571","2,595,532,842","2,634,803,920","2,519,877,761","2,639,190,187"
