name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"1,927,555,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,787,632,000,000","1,687,155,000,000","1,527,015,000,000","1,422,968,000,000","1,313,867,000,000","1,258,128,000,000","1,243,646,000,000","1,309,639,000,000","575,442,000,000","481,996,000,000","481,741,000,000","427,849,000,000","387,798,000,000","349,259,000,000","307,569,000,000","272,426,000,000","218,102,000,000","202,475,000,000","88,540,200,000","80,175,400,000","72,134,400,000","59,315,900,000","50,782,300,000","44,557,100,000","38,501,600,000","30,625,900,000","24,334,700,000"
	TotalAssets,"1,927,555,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,787,632,000,000","1,687,155,000,000","1,527,015,000,000","1,422,968,000,000","1,313,867,000,000","1,258,128,000,000","1,243,646,000,000","1,309,639,000,000","575,442,000,000","481,996,000,000","481,741,000,000","427,849,000,000","387,798,000,000","349,259,000,000","307,569,000,000","272,426,000,000","218,102,000,000","202,475,000,000","88,540,200,000","80,175,400,000","72,134,400,000","59,315,900,000","50,782,300,000","44,557,100,000","38,501,600,000","30,625,900,000","24,334,700,000"
TotalAssets,"1,927,555,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,787,632,000,000","1,687,155,000,000","1,527,015,000,000","1,422,968,000,000","1,313,867,000,000","1,258,128,000,000","1,243,646,000,000","1,309,639,000,000","575,442,000,000","481,996,000,000","481,741,000,000","427,849,000,000","387,798,000,000","349,259,000,000","307,569,000,000","272,426,000,000","218,102,000,000","202,475,000,000","88,540,200,000","80,175,400,000","72,134,400,000","59,315,900,000","50,782,300,000","44,557,100,000","38,501,600,000","30,625,900,000","24,334,700,000"
	TotalLiabilitiesNetMinorityInterest,"1,739,571,000,000","1,698,817,000,000","1,743,678,000,000","1,729,618,000,000","1,593,741,000,000","1,501,893,000,000","1,356,007,000,000","1,264,057,000,000","1,172,180,000,000","1,130,239,000,000","1,129,287,000,000","1,210,555,000,000","527,814,000,000","436,120,000,000","441,081,000,000","389,983,000,000","353,329,000,000","318,901,000,000","280,355,000,000","245,938,000,000","195,971,000,000","181,716,000,000","81,518,000,000","74,111,200,000","66,822,300,000","55,469,500,000","47,213,900,000","41,484,400,000","35,910,400,000","28,988,200,000","23,056,900,000"
		TotalLiabilitiesNetMinorityInterest,"1,739,571,000,000","1,698,817,000,000","1,743,678,000,000","1,729,618,000,000","1,593,741,000,000","1,501,893,000,000","1,356,007,000,000","1,264,057,000,000","1,172,180,000,000","1,130,239,000,000","1,129,287,000,000","1,210,555,000,000","527,814,000,000","436,120,000,000","441,081,000,000","389,983,000,000","353,329,000,000","318,901,000,000","280,355,000,000","245,938,000,000","195,971,000,000","181,716,000,000","81,518,000,000","74,111,200,000","66,822,300,000","55,469,500,000","47,213,900,000","41,484,400,000","35,910,400,000","28,988,200,000","23,056,900,000"
	StockholdersEquity,"187,146,000,000","196,166,000,000","206,936,000,000","199,581,000,000","192,998,000,000","184,394,000,000","170,142,000,000","157,554,000,000","140,241,000,000","126,408,000,000","111,786,000,000","99,084,000,000","47,628,000,000","45,876,000,000","40,660,000,000","37,866,000,000","34,469,000,000","30,358,000,000","27,214,000,000","26,488,000,000","22,131,000,000","20,759,000,000","7,022,200,000","6,064,200,000","5,312,100,000","3,846,400,000","3,568,400,000","3,072,700,000","2,591,200,000","1,637,700,000","1,277,800,000"
		CapitalStock,"30,685,000,000","32,350,000,000","34,494,000,000","33,687,000,000","31,350,000,000","28,349,000,000","25,403,000,000","22,019,000,000","20,362,000,000","17,476,000,000","17,228,000,000","38,605,000,000","6,238,000,000","6,172,000,000","3,219,000,000","3,164,000,000","3,108,000,000","2,955,000,000","2,958,000,000","3,161,000,000","3,048,000,000","463,000,000","188,000,000","188,800,000","302,300,000","512,000,000","341,900,000","342,500,000","345,000,000","115,000,000","10,000,000"
		RetainedEarnings,"166,697,000,000","158,163,000,000","145,263,000,000","133,075,000,000","120,866,000,000","107,040,000,000","92,361,000,000","77,679,000,000","64,385,000,000","51,918,000,000","41,563,000,000","36,543,000,000","38,970,000,000","35,277,000,000","30,580,000,000","26,482,000,000","22,842,000,000","19,394,000,000","16,005,000,000","14,541,000,000","11,196,000,000","9,045,000,000","5,007,700,000","4,248,200,000","3,496,300,000","2,950,000,000","2,394,400,000","2,008,400,000","1,561,700,000","1,277,500,000","1,117,800,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,311,000,000","-6,336,000,000","-2,144,000,000","-3,137,000,000","297,000,000","3,518,000,000","1,386,000,000","5,650,000,000","3,207,000,000","4,738,000,000","3,009,000,000","-7,424,000,000","243,000,000","-109,000,000","317,000,000","661,000,000","709,000,000","976,000,000","752,000,000","524,000,000","891,000,000",,"409,900,000","-6,400,000","-5,800,000","-268,700,000","-3,300,000","-300,000",,,
		StockholdersEquity,"187,146,000,000","196,166,000,000","206,936,000,000","199,581,000,000","192,998,000,000","184,394,000,000","170,142,000,000","157,554,000,000","140,241,000,000","126,408,000,000","111,786,000,000","99,084,000,000","47,628,000,000","45,876,000,000","40,660,000,000","37,866,000,000","34,469,000,000","30,358,000,000","27,214,000,000","26,488,000,000","22,131,000,000","20,759,000,000","7,022,200,000","6,064,200,000","5,312,100,000","3,846,400,000","3,568,400,000","3,072,700,000","2,591,200,000","1,637,700,000","1,277,800,000"
	TotalAssets,"1,927,555,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,787,632,000,000","1,687,155,000,000","1,527,015,000,000","1,422,968,000,000","1,313,867,000,000","1,258,128,000,000","1,243,646,000,000","1,309,639,000,000","575,442,000,000","481,996,000,000","481,741,000,000","427,849,000,000","387,798,000,000","349,259,000,000","307,569,000,000","272,426,000,000","218,102,000,000","202,475,000,000","88,540,200,000","80,175,400,000","72,134,400,000","59,315,900,000","50,782,300,000","44,557,100,000","38,501,600,000","30,625,900,000","24,334,700,000"
