name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"77,423,000,000","85,063,000,000","86,408,000,000","87,121,000,000","87,388,000,000","83,827,000,000","81,967,000,000","82,308,000,000","84,601,000,000","79,466,000,000","84,431,000,000","88,501,000,000","41,897,000,000","39,390,000,000","35,691,000,000","32,949,000,000","30,059,000,000","28,389,000,000","24,496,000,000","20,150,000,000","19,708,000,000","16,775,000,000","15,417,000,000","6,995,700,000","6,265,900,000","5,134,300,000","4,441,900,000","3,918,600,000","3,211,700,000","2,620,100,000","1,856,000,000","1,486,700,000",,,,
	NetInterestIncome,"44,017,000,000","47,231,000,000","49,995,000,000","49,557,000,000","47,754,000,000","45,301,000,000","43,527,000,000","42,800,000,000","43,230,000,000","42,763,000,000","44,757,000,000","46,324,000,000","25,143,000,000","20,974,000,000","19,951,000,000","18,504,000,000","17,150,000,000","16,007,000,000","14,855,000,000","12,460,000,000","10,865,000,000","9,355,000,000","8,990,000,000","4,033,400,000","3,701,300,000","3,269,300,000","2,803,600,000","2,376,100,000","2,009,000,000","1,631,500,000","1,151,400,000","957,700,000",,,,
		InterestIncome,"58,622,000,000","66,083,000,000","64,647,000,000","58,909,000,000","53,663,000,000","49,277,000,000","47,552,000,000","47,089,000,000","48,391,000,000","49,412,000,000","52,796,000,000","56,274,000,000","34,898,000,000","35,177,000,000","32,239,000,000","25,962,000,000","20,967,000,000","19,418,000,000","18,832,000,000","19,201,000,000","18,725,000,000","14,375,000,000","14,055,000,000","6,697,400,000","6,318,300,000","5,717,300,000","4,393,700,000","3,734,100,000","3,425,400,000","3,431,700,000","2,777,700,000","2,400,900,000",,,,
			InterestIncomeFromLoansAndLease,"40,936,000,000","45,038,000,000","44,891,000,000","42,186,000,000","40,298,000,000","37,379,000,000","36,497,000,000","36,874,000,000","38,348,000,000","38,949,000,000","41,597,000,000","43,702,000,000","29,253,000,000","31,260,000,000","28,404,000,000","23,619,000,000","18,810,000,000","17,324,000,000","13,670,000,000","14,778,000,000","14,864,000,000","11,133,000,000","11,056,000,000","5,246,600,000","5,024,300,000","4,517,700,000","3,439,800,000","2,918,000,000","2,495,200,000","2,547,100,000","2,223,700,000","1,991,200,000",,,,
				InterestIncomeFromLoans,"40,936,000,000","45,038,000,000","44,891,000,000","42,186,000,000","40,298,000,000","37,379,000,000","36,497,000,000","36,874,000,000","38,348,000,000","38,949,000,000","41,597,000,000","43,702,000,000","29,253,000,000","31,260,000,000","28,404,000,000","23,619,000,000","18,810,000,000","17,324,000,000","13,670,000,000","14,778,000,000","14,864,000,000","11,133,000,000","11,056,000,000","5,246,600,000","5,024,300,000","4,517,700,000","3,439,800,000","2,918,000,000","2,495,200,000","2,547,100,000","2,223,700,000","1,991,200,000",,,,
			InterestIncomeFromSecurities,"14,489,000,000","15,917,000,000","15,398,000,000","13,592,000,000","11,754,000,000","10,908,000,000","10,123,000,000","9,492,000,000","9,456,000,000","9,915,000,000","10,764,000,000","12,237,000,000","5,464,000,000","3,624,000,000","3,503,000,000","2,111,000,000","2,028,000,000","1,816,000,000","4,874,000,000","4,139,000,000","3,520,000,000","3,029,000,000","2,742,000,000","1,450,800,000","1,294,000,000","1,199,600,000","953,900,000","816,100,000","930,200,000","884,600,000","554,000,000","409,700,000",,,,
			OtherInterestIncome,"3,197,000,000","5,128,000,000","4,358,000,000","3,131,000,000","1,611,000,000","990,000,000","932,000,000","723,000,000","587,000,000","548,000,000","435,000,000","335,000,000","181,000,000","293,000,000","332,000,000","232,000,000","129,000,000","278,000,000","288,000,000","284,000,000","341,000,000","213,000,000","257,000,000",,,,,,,,,,,,,
		InterestExpense,"14,605,000,000","18,852,000,000","14,652,000,000","9,352,000,000","5,909,000,000","3,976,000,000","4,025,000,000","4,289,000,000","5,161,000,000","6,649,000,000","8,039,000,000","9,950,000,000","9,755,000,000","14,203,000,000","12,288,000,000","7,458,000,000","3,817,000,000","3,411,000,000","3,977,000,000","6,741,000,000","7,860,000,000","5,020,000,000","5,065,000,000","2,664,000,000","2,617,000,000","2,448,000,000","1,590,100,000","1,358,000,000","1,416,400,000","1,800,200,000","1,626,300,000","1,443,200,000",,,,
			InterestExpenseForDeposit,"6,723,000,000","8,635,000,000","5,622,000,000","3,013,000,000","1,395,000,000","963,000,000","1,096,000,000","1,337,000,000","1,727,000,000","2,275,000,000","2,832,000,000","3,774,000,000","4,521,000,000","8,152,000,000","7,174,000,000","3,848,000,000","1,827,000,000","1,613,000,000","1,919,000,000","3,553,000,000","4,089,000,000","2,757,000,000","3,111,000,000","1,446,700,000","1,324,900,000","1,156,300,000","863,400,000","777,500,000","839,700,000","1,185,800,000","966,200,000","845,300,000",,,,
			InterestExpenseForShortTermDebt,"1,348,000,000","2,316,000,000","1,717,000,000","758,000,000","330,000,000","64,000,000","59,000,000","60,000,000","79,000,000","80,000,000","92,000,000","222,000,000","1,478,000,000","1,245,000,000","992,000,000","744,000,000","353,000,000","322,000,000","536,000,000","1,273,000,000","1,758,000,000","924,000,000","777,000,000","439,400,000","454,100,000","515,800,000","290,300,000","234,300,000","269,600,000","309,100,000","405,700,000","355,700,000",,,,
