name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
TotalAssets,"39,171,980,000","37,669,838,000","35,316,470,000","33,656,200,000","27,736,157,000","21,532,183,000","18,918,638,000","15,444,126,000","14,982,671,000","14,434,843,000","13,572,740,000","12,217,786,000","12,310,064,000","12,783,920,000","11,381,174,000","11,654,003,000","12,040,125,000","11,213,012,000","10,291,245,000","2,458,567,000","2,060,600,000","1,552,300,000","1,745,000,000","1,188,000,000","838,700,000","711,600,000"
	CurrentAssets,"28,132,054,000","25,894,372,000","24,303,299,000","22,851,847,000","20,334,488,000","16,800,205,000","14,393,651,000","10,987,151,000","11,217,623,000","10,748,350,000","9,953,753,000","8,669,761,000","8,714,300,000","9,210,407,000","7,987,692,000","8,295,389,000","8,858,518,000","8,349,637,000","7,512,502,000","2,320,619,000","1,920,000,000","1,418,300,000","1,624,700,000","1,115,100,000","773,200,000","651,700,000"
		CashCashEquivalentsAndShortTermInvestments,"3,374,194,000","2,492,516,000","2,435,115,000","2,741,832,000","2,167,442,000","1,808,513,000","1,231,006,000","1,066,608,000","1,825,990,000","1,658,182,000","1,009,368,000","878,114,000","1,107,623,000","1,329,108,000","1,315,683,000","871,343,000","800,036,000","663,340,000","297,626,000","120,818,000","59,500,000","48,500,000","60,000,000","65,600,000","32,200,000","25,300,000"
			CashAndCashEquivalents,"3,374,194,000","2,492,516,000","2,435,115,000","2,741,832,000","2,167,442,000","1,808,513,000","1,231,006,000","1,066,608,000","1,825,990,000","1,658,182,000","1,009,368,000","878,114,000","640,204,000","1,261,268,000","1,315,683,000","871,343,000","800,036,000","663,340,000","297,626,000","120,818,000","59,500,000","48,500,000","60,000,000","65,600,000","32,200,000","25,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,"467,419,000","67,840,000",,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"3,374,194,000","2,492,516,000","2,435,115,000","2,741,832,000","2,167,442,000","1,808,513,000","1,231,006,000","1,066,608,000","1,825,990,000","1,658,182,000","1,009,368,000","878,114,000","1,107,623,000","1,329,108,000","1,315,683,000","871,343,000","800,036,000","663,340,000","297,626,000","120,818,000","59,500,000","48,500,000","60,000,000","65,600,000","32,200,000","25,300,000"
		AccountsReceivable,"12,386,879,000","11,314,226,000","10,303,324,000","9,175,876,000","8,222,951,000","6,312,883,000","6,051,920,000","3,938,597,000","3,837,203,000","3,827,484,000","3,916,509,000","3,480,267,000","3,472,358,000","3,427,139,000","2,640,646,000","2,260,973,000","2,295,437,000","2,222,156,000","2,142,663,000",,,,,,,
		Inventory,"11,060,254,000","11,918,508,000","11,461,428,000","10,723,920,000","9,755,094,000","8,593,852,000","6,981,494,000","5,689,147,000","5,466,534,000","5,210,098,000","4,972,820,000","4,211,775,000","4,101,502,000","4,422,055,000","4,003,690,000","5,135,830,000","5,733,837,000","5,437,878,000","5,056,257,000","1,570,504,000","1,243,200,000","870,200,000","1,017,800,000","650,300,000","404,500,000","351,700,000"
		OtherCurrentAssets,"1,147,483,000",,,,,,,,,,,"43,691,000",,,,,,,,"5,336,000","4,800,000","41,400,000","13,600,000","8,900,000","17,800,000","2,400,000"
		CurrentAssets,"28,132,054,000","25,894,372,000","24,303,299,000","22,851,847,000","20,334,488,000","16,800,205,000","14,393,651,000","10,987,151,000","11,217,623,000","10,748,350,000","9,953,753,000","8,669,761,000","8,714,300,000","9,210,407,000","7,987,692,000","8,295,389,000","8,858,518,000","8,349,637,000","7,512,502,000","2,320,619,000","1,920,000,000","1,418,300,000","1,624,700,000","1,115,100,000","773,200,000","651,700,000"
	TotalNonCurrentAssets,"11,039,926,000","11,775,466,000","11,013,171,000","10,804,353,000","7,401,669,000","4,731,978,000","4,524,987,000","4,456,975,000","3,765,048,000","3,686,493,000","3,618,987,000","3,548,025,000","3,595,764,000","3,573,513,000","3,393,482,000","3,358,614,000","3,181,607,000","2,863,375,000","2,778,743,000","137,948,000","140,600,000","134,000,000","120,300,000","72,900,000","65,500,000","59,900,000"
		NetPPE,"1,770,516,000","1,892,424,000","1,797,945,000","1,530,682,000","979,251,000","899,582,000","803,561,000","780,013,000","772,916,000","711,712,000","619,238,000","552,159,000","506,984,000","509,746,000","514,758,000","465,264,000","353,170,000","282,578,000","289,569,000","64,962,000","64,400,000","60,800,000","67,500,000","51,700,000","45,200,000","41,200,000"
			GrossPPE,"3,349,140,000","3,407,908,000","3,091,205,000","2,616,736,000","1,902,898,000","1,692,429,000","1,471,419,000","1,350,618,000","1,329,517,000","1,185,441,000","1,023,123,000","933,201,000","791,462,000","823,935,000","796,194,000","709,911,000","538,657,000","422,500,000","378,196,000","140,766,000","134,800,000","118,500,000","115,000,000","91,500,000","76,800,000","67,600,000"
			AccumulatedDepreciation,"-1,578,624,000","-1,515,484,000","-1,293,260,000","-1,086,054,000","-923,647,000","-792,847,000","-667,858,000","-570,605,000","-556,601,000","-473,729,000","-403,885,000","-381,042,000","-284,478,000","-314,189,000","-281,436,000","-244,647,000","-185,487,000","-139,922,000","-88,627,000","-75,804,000","-70,400,000","-57,700,000","-47,500,000","-39,800,000","-31,600,000","-26,400,000"
			NetPPE,"1,770,516,000","1,892,424,000","1,797,945,000","1,530,682,000","979,251,000","899,582,000","803,561,000","780,013,000","772,916,000","711,712,000","619,238,000","552,159,000","506,984,000","509,746,000","514,758,000","465,264,000","353,170,000","282,578,000","289,569,000","64,962,000","64,400,000","60,800,000","67,500,000","51,700,000","45,200,000","41,200,000"
		Goodwill,"6,705,507,000","6,664,272,000","6,044,281,000","5,991,497,000","4,130,825,000","2,948,502,000","2,944,970,000","2,973,097,000","2,565,227,000","2,544,367,000",,"2,875,366,000","2,611,055,000","2,588,712,000",,,,,,,,,,,,
		OtherIntangibleAssets,"2,294,836,000","2,947,828,000","2,833,281,000","2,967,849,000","1,993,119,000","533,242,000","554,743,000","580,448,000","297,857,000","300,976,000",,,"477,725,000","475,055,000","2,878,724,000","2,893,350,000","2,827,701,000","2,568,397,000","2,466,848,000",,,,,,,
		OtherNonCurrentAssets,"269,067,000","270,942,000","337,664,000","314,325,000","298,474,000","350,652,000","221,713,000","123,417,000","129,048,000","129,438,000","140,685,000","120,500,000",,,,,,,,"72,986,000","76,200,000","73,200,000","52,800,000","21,200,000","20,300,000","18,700,000"
		TotalNonCurrentAssets,"11,039,926,000","11,775,466,000","11,013,171,000","10,804,353,000","7,401,669,000","4,731,978,000","4,524,987,000","4,456,975,000","3,765,048,000","3,686,493,000","3,618,987,000","3,548,025,000","3,595,764,000","3,573,513,000","3,393,482,000","3,358,614,000","3,181,607,000","2,863,375,000","2,778,743,000","137,948,000","140,600,000","134,000,000","120,300,000","72,900,000","65,500,000","59,900,000"
	TotalAssets,"39,171,980,000","37,669,838,000","35,316,470,000","33,656,200,000","27,736,157,000","21,532,183,000","18,918,638,000","15,444,126,000","14,982,671,000","14,434,843,000","13,572,740,000","12,217,786,000","12,310,064,000","12,783,920,000","11,381,174,000","11,654,003,000","12,040,125,000","11,213,012,000","10,291,245,000","2,458,567,000","2,060,600,000","1,552,300,000","1,745,000,000","1,188,000,000","838,700,000","711,600,000"
TotalAssets,"39,171,980,000","37,669,838,000","35,316,470,000","33,656,200,000","27,736,157,000","21,532,183,000","18,918,638,000","15,444,126,000","14,982,671,000","14,434,843,000","13,572,740,000","12,217,786,000","12,310,064,000","12,783,920,000","11,381,174,000","11,654,003,000","12,040,125,000","11,213,012,000","10,291,245,000","2,458,567,000","2,060,600,000","1,552,300,000","1,745,000,000","1,188,000,000","838,700,000","711,600,000"
	TotalLiabilitiesNetMinorityInterest,"36,178,774,000","34,619,877,000","33,252,009,000","31,526,796,000","27,102,637,000","19,575,284,000","16,598,893,000","12,987,414,000","12,115,813,000","11,480,546,000","10,856,271,000","9,507,741,000","9,210,344,000","8,642,763,000","7,100,817,000","7,314,958,000","8,034,808,000","7,896,674,000","7,452,681,000","2,176,273,000","1,894,300,000","1,477,000,000","1,730,700,000","1,224,800,000","974,400,000","1,012,300,000"
