name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
OperatingCashFlow,"2,236,398,000","2,344,023,000","1,411,388,000","1,504,138,000","3,178,497,000","3,920,379,000","1,463,153,000","788,125,000","1,305,449,000","1,167,948,000","1,108,624,000","783,763,000","737,069,000","1,207,904,000","807,265,000","1,526,638,000","825,081,000","354,815,000","535,926,000","-40,004,000","216,580,000","3,000,000","125,900,000","-9,300,000","40,000,000","-35,600,000","84,000,000"
	NetIncome,"1,582,495,000","855,365,000","1,658,405,000","364,484,000","1,427,929,000","-134,887,000","276,484,000","433,707,000","718,986,000","706,624,000","636,748,000","503,397,000","250,559,000","469,167,000","467,714,000","319,199,000","468,390,000","441,229,000","344,941,000","125,102,000","99,014,000","67,500,000","50,500,000","45,400,000","35,500,000","10,200,000","-207,700,000"
	DepreciationAndAmortization,"435,851,000","497,512,000","510,109,000","432,331,000","392,166,000","249,600,000","192,733,000","170,793,000","147,194,000","125,941,000","104,172,000","94,316,000","95,882,000","104,344,000","96,933,000","90,882,000","87,088,000","80,443,000","66,578,000","24,714,000","17,420,000","19,900,000","16,600,000","14,300,000","11,600,000","10,100,000","14,700,000"
	DeferredIncomeTax,"-17,980,000","28,537,000","-795,524,000","319,069,000","-130,927,000","22,733,000","39,312,000","25,573,000","60,638,000","194,997,000",,"84,324,000","62,112,000","13,185,000","92,083,000","17,026,000","48,884,000","127,157,000","45,853,000","24,334,000","25,824,000","11,300,000","19,200,000","-5,000,000","5,800,000","-1,400,000","-5,100,000"
	StockBasedCompensation,"66,768,000","58,874,000","62,316,000","62,206,000","64,992,000","60,944,000","43,107,000","36,275,000","26,120,000","28,365,000","30,844,000","27,138,000",,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-299,858,000","369,198,000","-202,089,000","467,152,000","1,028,205,000","2,769,175,000","435,729,000","-137,988,000","301,326,000","67,364,000","191,908,000","25,187,000","37,799,000","518,405,000","118,121,000","979,704,000","205,231,000","-357,606,000","952,000","-254,903,000","63,982,000","-113,000,000","28,300,000","-77,500,000","-37,000,000","-89,500,000","65,100,000"
	ChangesInAccountReceivables,"-2,413,301,000","-1,241,890,000","-657,770,000","-1,277,896,000","-912,724,000","-1,478,793,000","-938,286,000","-2,312,518,000","41,666,000","-35,457,000","61,160,000","-457,771,000",,,,,,,,,,,,,,,
	ChangeInInventory,"99,841,000","-167,990,000","-4,923,000","-431,454,000","-1,107,252,000","-836,382,000","-956,506,000","-1,486,572,000","-200,110,000","-272,294,000","-242,967,000","-765,011,000","-8,013,000","285,743,000","-349,543,000","1,072,577,000","916,301,000","-278,388,000","-362,195,000","-726,141,000","-327,351,000","-289,100,000","147,600,000","-271,800,000","-213,100,000","-49,300,000","-5,300,000"
	ChangeInAccountPayable,"2,606,167,000","1,561,048,000","859,036,000","1,473,389,000","3,011,508,000","5,125,914,000","2,317,589,000","3,818,288,000","420,569,000",,,,,,,,,,,,,,,,,,
	FreeCashFlow,"1,943,282,000","2,033,801,000","1,074,977,000","1,037,741,000","2,713,881,000","3,688,794,000","1,198,696,000","585,675,000","1,141,408,000","999,994,000","923,989,000","637,926,000","599,760,000","1,089,853,000","694,133,000","1,323,262,000","635,803,000","264,261,000","471,767,000","-63,367,000","199,961,000","-12,800,000","115,500,000","-25,200,000","24,300,000","-49,300,000","75,500,000"
	OtherNonCashItems,"61,529,000","-45,737,000","54,690,000","-146,361,000","195,059,000","-11,604,000","-6,539,000","2,064,000","1,300,000","4,489,000","7,555,000","44,861,000","70,578,000","75,979,000","52,719,000",,,,,,,,"-100,000",,"3,700,000","-200,000","-3,600,000"
	OperatingCashFlow,"2,236,398,000","2,344,023,000","1,411,388,000","1,504,138,000","3,178,497,000","3,920,379,000","1,463,153,000","788,125,000","1,305,449,000","1,167,948,000","1,108,624,000","783,763,000","737,069,000","1,207,904,000","807,265,000","1,526,638,000","825,081,000","354,815,000","535,926,000","-40,004,000","216,580,000","3,000,000","125,900,000","-9,300,000","40,000,000","-35,600,000","84,000,000"
InvestingCashFlow,"-332,405,000","-375,832,000","-1,111,114,000","-498,041,000","-3,169,179,000","-2,931,165,000","-384,155,000","117,260,000","-947,949,000","-212,418,000","-184,371,000","-148,349,000","163,421,000","-674,437,000","-42,702,000","-152,305,000","-242,222,000","-201,809,000","-202,814,000","117,490,000","-21,489,000","-16,800,000","-8,100,000","-144,900,000","-44,600,000","-16,300,000","-8,000,000"
