name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"67,887,000,000","67,173,000,000","76,250,000,000","52,666,000,000","41,247,000,000","41,275,000,000","42,953,000,000","67,234,944,000","60,276,893,000","59,462,266,000","52,416,623,000","42,419,204,000","39,713,924,000","36,178,172,000","29,141,203,000","28,767,494,000","26,715,342,000","24,259,102,000","23,296,423,000","15,283,254,000","14,471,044,000","13,216,213,000","12,061,068,000","11,125,600,000","9,412,580,000","8,523,724,000","7,688,569,000","6,941,200,000","6,255,300,000","5,563,200,000","4,851,600,000","4,825,100,000","4,385,700,000","3,865,600,000","3,468,400,000"
	CurrentAssets,"15,667,000,000","14,632,000,000","20,147,000,000","26,776,000,000","14,155,000,000","15,261,000,000","19,247,000,000","31,322,583,000","23,768,774,000","22,317,529,000","23,313,891,000","17,042,559,000","14,042,733,000","11,281,883,000","11,386,028,000","10,734,485,000","10,290,415,000","9,121,772,000","8,419,189,000","7,376,241,000","6,419,754,000","5,553,136,000","5,038,208,000","4,480,902,000","4,226,711,000","3,876,328,000","3,585,535,000","3,231,700,000","2,891,100,000","2,461,200,000","2,102,800,000","2,353,000,000","2,155,500,000","1,888,900,000","1,680,400,000"
		CashCashEquivalentsAndShortTermInvestments,"4,140,000,000","4,086,000,000","9,610,000,000","18,775,000,000","6,125,000,000","4,460,000,000","8,098,000,000","15,173,984,000","8,097,359,000","5,451,450,000","9,932,048,000","5,079,625,000","2,820,827,000","1,373,435,000","2,956,093,000","2,058,962,000","1,286,421,000","966,127,000","713,540,000","1,156,718,000","723,296,000","383,317,000","259,010,000","123,084,000","315,697,000","315,328,000","378,825,000","116,600,000","60,400,000","34,000,000","13,600,000","582,600,000","519,900,000","481,600,000","437,500,000"
			CashAndCashEquivalents,"3,860,000,000","3,844,000,000","9,407,000,000","18,620,000,000","5,001,000,000","4,063,000,000","3,475,000,000","10,802,163,000","6,812,820,000","3,648,371,000","8,809,339,000","4,112,022,000","2,456,384,000","521,192,000","2,893,687,000","1,225,628,000","995,124,000","704,450,000","657,378,000","914,218,000","608,097,000","308,230,000","230,024,000","110,209,000","281,197,000","290,272,000","300,676,000","116,600,000","60,400,000","34,000,000","13,600,000","582,600,000","519,900,000","481,600,000","437,500,000"
			OtherShortTermInvestments,"280,000,000","242,000,000","203,000,000","155,000,000","1,124,000,000","397,000,000","4,623,000,000","4,371,821,000","1,284,539,000","1,803,079,000","1,122,709,000","967,603,000","364,443,000","852,243,000","62,406,000","833,334,000","291,297,000","261,677,000","56,162,000","242,500,000","115,199,000","75,087,000","28,986,000","12,875,000","34,500,000","25,056,000","78,149,000",,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"4,140,000,000","4,086,000,000","9,610,000,000","18,775,000,000","6,125,000,000","4,460,000,000","8,098,000,000","15,173,984,000","8,097,359,000","5,451,450,000","9,932,048,000","5,079,625,000","2,820,827,000","1,373,435,000","2,956,093,000","2,058,962,000","1,286,421,000","966,127,000","713,540,000","1,156,718,000","723,296,000","383,317,000","259,010,000","123,084,000","315,697,000","315,328,000","378,825,000","116,600,000","60,400,000","34,000,000","13,600,000","582,600,000","519,900,000","481,600,000","437,500,000"
		AccountsReceivable,"5,425,000,000","5,182,000,000","5,249,000,000","3,248,000,000","3,418,000,000","3,586,000,000","3,986,000,000","7,612,860,000","7,683,920,000","7,184,034,000",,,"4,946,876,000","4,231,142,000","3,576,794,000","3,696,115,000","3,313,377,000","2,927,370,000","2,812,727,000","2,179,451,000","2,055,839,000","1,950,058,000","1,782,326,000","1,708,807,000","1,563,038,000","1,468,519,000","1,336,222,000",,,,,,,,
		Inventory,"4,316,000,000","3,796,000,000","3,601,000,000","2,434,000,000","2,599,000,000","2,643,000,000","2,693,000,000","3,792,313,000","3,284,249,000","3,188,734,000","3,264,877,000","2,775,849,000","2,951,442,000","2,806,421,000","2,541,979,000","2,620,463,000","2,738,439,000","2,441,302,000","2,212,035,000","1,741,331,000","1,495,444,000","1,410,609,000","1,279,900,000","1,238,205,000","1,110,941,000","1,018,191,000","940,533,000","863,800,000","815,400,000","777,600,000","696,000,000","611,300,000","612,200,000","524,400,000","463,800,000"
		OtherCurrentAssets,,,,,,,,,,"1,872,490,000","1,210,883,000","1,258,554,000",,,"129,902,000","247,056,000",,,,,,,,,,"549,091,000","458,026,000","1,006,900,000","864,400,000","579,400,000","500,500,000","377,300,000","295,400,000","258,000,000","215,800,000"
		CurrentAssets,"15,667,000,000","14,632,000,000","20,147,000,000","26,776,000,000","14,155,000,000","15,261,000,000","19,247,000,000","31,322,583,000","23,768,774,000","22,317,529,000","23,313,891,000","17,042,559,000","14,042,733,000","11,281,883,000","11,386,028,000","10,734,485,000","10,290,415,000","9,121,772,000","8,419,189,000","7,376,241,000","6,419,754,000","5,553,136,000","5,038,208,000","4,480,902,000","4,226,711,000","3,876,328,000","3,585,535,000","3,231,700,000","2,891,100,000","2,461,200,000","2,102,800,000","2,353,000,000","2,155,500,000","1,888,900,000","1,680,400,000"
