name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
OperatingCashFlow,"6,401,000,000","6,136,000,000","6,300,000,000","5,570,000,000","3,203,000,000","2,966,000,000","3,675,000,000","3,324,000,000","9,314,401,000","8,970,077,000","8,735,981,000","7,275,160,000","7,344,191,000","5,183,843,000","5,329,241,000","5,174,416,000","4,407,943,000","3,746,448,000","4,182,944,000","3,566,848,000","3,099,618,000","2,937,521,000","2,732,901,000","2,628,767,000","2,382,062,000","1,965,581,000","2,212,137,000","1,846,909,000","1,388,800,000","1,453,200,000","1,200,900,000","959,900,000",,,,
	NetIncome,"3,110,000,000","3,687,000,000","2,368,000,000","477,000,000","1,400,000,000","4,423,000,000","2,284,000,000","2,576,000,000","5,962,920,000","4,728,449,000","4,626,172,000","5,745,838,000","4,880,719,000","3,606,314,000","1,716,755,000","3,372,065,000","3,235,851,000","2,753,233,000","2,793,703,000","1,550,390,000","2,785,977,000","2,445,759,000","2,333,231,000","2,094,462,000","1,882,033,000","1,688,700,000","1,516,683,000","1,399,126,000","1,239,100,000","1,088,800,000","965,800,000","859,800,000","752,000,000","632,600,000","540,500,000","465,300,000"
	DepreciationAndAmortization,"3,163,000,000","3,014,000,000","3,278,000,000","3,021,000,000","1,353,000,000","1,472,000,000","1,548,000,000","1,719,000,000","2,783,207,000","3,043,894,000","2,624,305,000","2,089,510,000","1,838,829,000","1,854,886,000","1,558,750,000","1,358,939,000","1,288,700,000","1,273,991,000","1,177,345,000","1,168,018,000","827,431,000","828,006,000","784,243,000","727,754,000","686,085,000","566,423,000","510,504,000","484,081,000","427,800,000","379,000,000","355,900,000","307,300,000",,,,
	StockBasedCompensation,"527,000,000","519,000,000","477,000,000","406,000,000","310,000,000","292,000,000","246,000,000","262,000,000","433,114,000","382,602,000","387,183,000","366,357,000","347,015,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-1,316,000,000","-1,331,000,000","-148,000,000","1,915,000,000","-1,513,000,000","-156,000,000","-490,000,000","-1,237,000,000","-1,859,833,000","1,067,000","658,784,000","-341,382,000","-39,686,000","-1,063,365,000","-548,061,000","173,941,000","-484,919,000","-496,819,000","-30,276,000","-641,896,000","-445,197,000","-419,956,000","-461,195,000","-338,465,000","-239,861,000","-337,597,000","154,516,000","-2,055,000","-282,500,000","-61,800,000","-111,200,000","-212,300,000",,,,
	ChangesInAccountReceivables,"187,000,000","-275,000,000","-190,000,000","-207,000,000","-177,000,000","-171,000,000","-195,000,000","-113,000,000","35,996,000","-670,152,000","-394,665,000","-387,749,000","-948,314,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,"-1,040,000,000","-593,000,000","-514,000,000","249,000,000","-98,000,000","-257,000,000","-297,000,000","-154,000,000","-417,053,000","-129,621,000","139,857,000","230,555,000","-257,476,000","131,324,000","104,653,000","-88,257,000","-285,328,000","7,007,000","-190,975,000","-184,953,000","-361,377,000","-147,778,000","-111,649,000","-98,964,000","-125,726,000","-93,184,000","-52,293,000","-91,490,000","-109,100,000","-44,800,000","-54,700,000","-96,800,000",,,,
	ChangeInAccountPayable,,"220,000,000","747,000,000","615,000,000","-652,000,000","-742,000,000","-225,000,000","-436,000,000","-134,209,000","1,789,652,000","572,533,000","-374,715,000","569,056,000",,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"4,564,000,000","4,498,000,000","4,906,000,000","4,435,000,000","2,082,000,000","1,856,000,000","2,598,000,000","2,179,000,000","7,519,112,000","7,478,577,000","7,720,906,000","6,186,112,000","6,056,467,000","3,527,636,000","3,991,423,000","3,966,923,000","3,116,310,000","2,499,707,000","2,886,547,000","2,403,141,000","2,063,745,000","1,950,423,000","2,732,901,000","2,628,767,000","2,382,062,000","1,965,581,000","2,212,137,000","1,846,909,000","381,600,000","682,600,000","559,500,000","386,800,000",,,,
	OtherNonCashItems,,,"32,000,000","912,000,000","165,000,000",,,,"288,000,000","5,400,949,000",,,,"429,677,000","329,957,000",,,,,,,,,"12,000",,,,,"-100,000","4,100,000",,,,,,
	OperatingCashFlow,"6,401,000,000","6,136,000,000","6,300,000,000","5,570,000,000","3,203,000,000","2,966,000,000","3,675,000,000","3,324,000,000","9,314,401,000","8,970,077,000","8,735,981,000","7,275,160,000","7,344,191,000","5,183,843,000","5,329,241,000","5,174,416,000","4,407,943,000","3,746,448,000","4,182,944,000","3,566,848,000","3,099,618,000","2,937,521,000","2,732,901,000","2,628,767,000","2,382,062,000","1,965,581,000","2,212,137,000","1,846,909,000","1,388,800,000","1,453,200,000","1,200,900,000","959,900,000",,,,
InvestingCashFlow,"-1,933,000,000","-1,815,000,000","-1,356,000,000","-9,618,000,000","-248,000,000","406,000,000","-202,000,000","-3,929,000,000","-6,081,288,000","260,832,000","-12,188,315,000","-3,698,710,000","-2,087,491,000","-1,136,277,000","-11,397,629,000","-720,087,000","-3,923,390,000","-1,630,605,000","-1,881,620,000","-8,384,874,000","-617,664,000","-1,198,249,000","-1,420,866,000","-1,197,671,000","-1,955,241,000","-1,037,723,000","-944,085,000","-793,838,000","-667,600,000","-642,100,000","-618,300,000","-392,200,000",,,,
	CapitalExpenditure,"-1,837,000,000","-1,638,000,000","-1,394,000,000","-1,135,000,000","-1,121,000,000","-1,110,000,000","-1,077,000,000","-1,145,000,000","-1,795,289,000","-1,491,500,000","-1,015,075,000","-1,089,048,000","-1,287,724,000","-1,656,207,000","-1,337,818,000","-1,207,493,000","-1,291,633,000","-1,246,741,000","-1,296,397,000","-1,163,707,000","-1,035,873,000","-987,098,000",,,,,,,"-1,007,200,000","-770,600,000","-641,400,000","-573,100,000",,,,
	PurchaseOfBusiness,"-42,000,000","-170,000,000","0","-17,183,000,000","-80,000,000","-235,000,000","-3,317,000,000","-580,000,000","-1,227,473,000","-672,500,000","-9,433,243,000","-2,370,630,000","-250,000,000",,,,,,,,,,,,,,,,,,,,,,,
	PurchaseOfInvestment,,"-103,000,000","-131,000,000","-210,000,000","-2,823,000,000","-4,933,000,000","-1,507,000,000","-10,064,000,000","-11,997,654,000","-5,109,987,000","-805,932,000","-248,970,000","-923,937,000","535,585,000","-2,129,412,000","-15,670,000","-543,292,000","-289,432,000","-156,078,000","-179,618,000","-68,085,000","-175,694,000","-278,002,000","-25,115,000","-312,535,000","-183,443,000","-226,728,000","-335,915,000","-178,700,000","-284,100,000","-309,700,000","-448,800,000",,,,
	SaleOfInvestment,,"21,000,000","73,000,000","129,000,000","3,709,000,000","4,112,000,000","5,624,000,000","7,839,000,000","8,936,406,000","5,648,720,000","954,361,000","16,306,000","449,231,000","17,830,000","18,476,000","783,599,000","224,923,000","337,017,000","140,284,000",,"235,839,000","169,356,000","78,898,000","43,424,000","117,783,000","67,130,000","185,268,000","447,983,000","496,100,000","398,700,000","310,900,000","591,000,000",,,,
	NetOtherInvestingChanges,"14,000,000","27,000,000","48,000,000","35,000,000","42,000,000","52,000,000","75,000,000","21,000,000","2,722,000","1,886,099,000","-1,888,426,000","-6,368,000","-75,061,000","-33,485,000","-25,712,000","14,600,000","14,433,000","66,465,000","16,570,000","73,646,000","45,455,000","12,187,000","18,034,000","-8,209,000","19,098,000","25,611,000","26,863,000","46,826,000","22,200,000","13,900,000","21,900,000","38,700,000",,,,
	InvestingCashFlow,"-1,933,000,000","-1,815,000,000","-1,356,000,000","-9,618,000,000","-248,000,000","406,000,000","-202,000,000","-3,929,000,000","-6,081,288,000","260,832,000","-12,188,315,000","-3,698,710,000","-2,087,491,000","-1,136,277,000","-11,397,629,000","-720,087,000","-3,923,390,000","-1,630,605,000","-1,881,620,000","-8,384,874,000","-617,664,000","-1,198,249,000","-1,420,866,000","-1,197,671,000","-1,955,241,000","-1,037,723,000","-944,085,000","-793,838,000","-667,600,000","-642,100,000","-618,300,000","-392,200,000",,,,
CashFlowFromContinuingFinancingActivities,"-2,775,000,000","-4,289,000,000","-10,391,000,000","-5,281,000,000","11,147,000,000","-2,236,000,000","-2,742,000,000","-6,696,000,000","716,093,000","-6,023,455,000","-1,087,741,000","1,002,019,000","-3,485,902,000","-2,312,632,000","3,621,927,000","-2,592,316,000","-1,138,320,000","-2,006,212,000","-2,309,974,000","4,623,816,000","-2,147,949,000","-1,426,826,000","-1,233,686,000","-1,308,499,000","-592,288,000","-933,873,000","-1,279,922,000","-863,867,000","-657,500,000","-779,800,000","-558,200,000","-935,900,000",,,,
	RepaymentOfDebt,"-2,922,000,000","-3,441,000,000","-12,433,000,000","-8,650,000,000","-12,000,000","-57,000,000","-577,000,000","-303,000,000","-11,071,178,000","-3,012,426,000","-1,673,998,000","-2,483,176,000","-913,948,000",,,,,,,,,,,,,,,,,,,,,,,
	CommonStockIssuance,,,,,,,,,,,,,,"1,249,804,000","502,782,000","223,637,000","155,197,000","75,035,000","137,004,000","169,422,000","135,570,000","434,183,000","150,881,000","137,482,000","109,638,000","76,540,000","36,214,000","27,536,000","74,000,000","57,900,000","51,300,000","26,600,000",,,,
	RepurchaseOfCapitalStock,"-737,000,000","-718,000,000","-238,000,000","-827,000,000","-522,000,000","-2,237,000,000","-2,195,000,000","-1,605,000,000","-2,364,240,000","-77,007,000","-866,825,000","-826,345,000","-1,081,806,000","-1,058,793,000","-754,502,000","-1,302,314,000","-499,745,000","-97,617,000",,"-17,364,000","-464,856,000",,"-875,407,000","-1,054,512,000","-808,816,000","-771,411,000","-615,946,000","-465,822,000","-607,600,000","-317,800,000","-605,600,000","-289,500,000",,,,
	CashDividendsPaid,"-2,417,000,000","-2,270,000,000","-1,974,000,000","-1,849,000,000","-1,539,000,000","-1,443,000,000","-1,342,000,000","-882,000,000","-3,182,811,000","-2,938,096,000","-2,671,475,000","-2,414,460,000","-2,174,252,000","-1,959,150,000","-1,777,170,000","-1,686,472,000","-1,599,770,000","-1,515,703,000","-1,427,850,000","-1,270,782,000","-1,145,894,000","-1,003,295,000","-891,661,000","-809,554,000","-728,147,000","-653,567,000","-602,356,000","-548,044,000","-488,400,000","-410,300,000","-351,200,000","-301,900,000",,,,
	NetOtherFinancingCharges,,,,"-13,000,000","-195,000,000","-17,000,000","-400,000,000","-6,396,000,000",,,,,,,,,,,,,,,,,,,,,,"-100,000",,,,,,
