name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"94,699,100,000","101,787,600,000","118,341,900,000","128,986,300,000","135,840,700,000","52,529,100,000","22,725,900,000","14,103,500,000","6,698,300,000","5,827,300,000","5,992,200,000","3,677,887,000","3,472,027,000","3,760,577,000","3,080,033,000","3,243,683,000","3,282,600,000","2,663,464,000","2,528,334,000","2,579,898,000","1,438,800,000","1,070,000,000","755,000,000","419,600,000","322,100,000","130,300,000","104,800,000","31,200,000","23,900,000"
	CurrentAssets,"11,126,700,000","6,475,400,000","11,376,700,000","17,857,900,000","8,615,400,000","6,881,700,000","4,434,700,000","3,879,700,000","2,569,700,000","1,799,400,000","1,771,000,000","1,458,417,000","1,173,776,000","1,261,676,000","1,360,430,000","1,370,186,000","1,323,489,000","920,781,000","889,738,000","831,345,000","434,700,000","293,300,000","246,800,000","279,600,000","197,600,000","87,100,000","78,700,000","16,000,000","12,500,000"
		CashCashEquivalentsAndShortTermInvestments,"5,914,900,000","1,907,300,000","6,449,300,000","13,225,500,000","1,105,300,000","251,000,000","331,500,000","328,000,000","224,200,000","293,900,000","215,000,000","520,780,000","216,353,000","160,820,000","629,926,000","680,332,000","573,721,000","272,804,000","329,419,000","237,646,000","116,000,000","45,700,000","82,800,000","148,200,000","92,200,000","51,500,000","42,700,000","100,000","1,000,000"
			CashAndCashEquivalents,"2,503,300,000","880,400,000","1,817,200,000","1,724,000,000","1,096,000,000","250,000,000","329,000,000","319,000,000","209,300,000","282,800,000","201,400,000","507,578,000","204,554,000","154,171,000","467,451,000","298,653,000","553,353,000","230,155,000","193,731,000","66,194,000","102,100,000","45,700,000","82,800,000","148,200,000","92,200,000","51,500,000","42,700,000","100,000","1,000,000"
			OtherShortTermInvestments,"3,411,600,000","1,026,900,000","4,632,100,000","11,501,500,000","9,300,000","1,000,000","2,500,000","9,000,000","14,900,000","11,100,000","13,600,000","13,202,000","11,799,000","6,649,000","162,475,000","381,679,000","20,368,000","42,649,000","135,688,000","171,452,000","13,900,000",,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"5,914,900,000","1,907,300,000","6,449,300,000","13,225,500,000","1,105,300,000","251,000,000","331,500,000","328,000,000","224,200,000","293,900,000","215,000,000","520,780,000","216,353,000","160,820,000","629,926,000","680,332,000","573,721,000","272,804,000","329,419,000","237,646,000","116,000,000","45,700,000","82,800,000","148,200,000","92,200,000","51,500,000","42,700,000","100,000","1,000,000"
		AccountsReceivable,"3,192,300,000","2,868,100,000","2,899,000,000","2,531,000,000","2,401,600,000","2,372,300,000","1,404,900,000","1,303,400,000","1,165,700,000","560,900,000","519,500,000","305,009,000","267,117,000","384,692,000","333,832,000","251,459,000","211,174,000","178,563,000","173,085,000","85,703,000",,,,,,,,,
		Inventory,"1,133,100,000","846,900,000","904,500,000","718,000,000","1,009,700,000","2,075,500,000","1,786,300,000","1,543,200,000","889,400,000","631,000,000","692,300,000","473,127,000","490,601,000","517,236,000","278,062,000","321,299,000","393,393,000","326,741,000","252,325,000","248,945,000","108,500,000","78,800,000","47,000,000","23,200,000","22,600,000","14,700,000","10,800,000","6,800,000","4,700,000"
		OtherCurrentAssets,"437,200,000","330,900,000","332,000,000","306,000,000","257,600,000","421,400,000",,"705,100,000","290,400,000","313,600,000","344,200,000","159,501,000",,,,,,"29,362,000","45,496,000","259,051,000","29,300,000","71,600,000","46,400,000","75,400,000","49,500,000","8,400,000","16,900,000","1,900,000","1,300,000"
		CurrentAssets,"11,126,700,000","6,475,400,000","11,376,700,000","17,857,900,000","8,615,400,000","6,881,700,000","4,434,700,000","3,879,700,000","2,569,700,000","1,799,400,000","1,771,000,000","1,458,417,000","1,173,776,000","1,261,676,000","1,360,430,000","1,370,186,000","1,323,489,000","920,781,000","889,738,000","831,345,000","434,700,000","293,300,000","246,800,000","279,600,000","197,600,000","87,100,000","78,700,000","16,000,000","12,500,000"
	TotalNonCurrentAssets,"83,572,500,000","95,312,200,000","106,965,200,000","111,128,400,000","127,225,300,000","45,647,400,000","18,291,200,000","10,223,800,000","4,128,600,000","4,027,900,000","4,221,200,000","2,219,470,000","2,298,251,000","2,498,901,000","1,719,603,000","1,873,497,000","1,959,111,000","1,742,683,000","1,638,596,000","1,748,553,000","1,004,100,000","776,700,000","508,200,000","140,000,000","124,500,000","43,200,000","26,100,000","15,200,000","11,400,000"
		NetPPE,"2,417,000,000","1,787,000,000","1,785,400,000","1,611,300,000","1,573,900,000","1,594,700,000","1,616,800,000","1,479,800,000","713,700,000","642,300,000","695,500,000","658,465,000","688,185,000","697,415,000","436,149,000","427,377,000","424,995,000","297,337,000","234,911,000","194,487,000","138,800,000","109,100,000","88,000,000","73,600,000","70,000,000","41,600,000","24,600,000","14,000,000","9,900,000"
			GrossPPE,"3,344,800,000","2,565,200,000","2,401,500,000","2,018,700,000","2,662,300,000","2,614,700,000","2,528,900,000","2,225,300,000","1,407,500,000","1,265,600,000","1,198,700,000","1,069,902,000","1,015,991,000","1,027,036,000","717,397,000","647,612,000","616,700,000","435,065,000","351,259,000","289,845,000","222,200,000","165,500,000","135,700,000","111,300,000","102,600,000","52,300,000","32,400,000","19,600,000","14,000,000"
			AccumulatedDepreciation,"-927,800,000","-778,200,000","-616,100,000","-407,400,000","-1,088,400,000","-1,020,000,000","-912,100,000","-745,500,000","-693,800,000","-623,300,000","-503,200,000","-411,437,000","-327,806,000","-329,621,000","-281,248,000","-220,235,000","-191,705,000","-137,728,000","-116,348,000","-95,358,000","-83,400,000","-56,400,000","-47,700,000","-37,700,000","-32,600,000","-10,700,000","-7,800,000","-5,600,000","-4,100,000"
			NetPPE,"2,417,000,000","1,787,000,000","1,785,400,000","1,611,300,000","1,573,900,000","1,594,700,000","1,616,800,000","1,479,800,000","713,700,000","642,300,000","695,500,000","658,465,000","688,185,000","697,415,000","436,149,000","427,377,000","424,995,000","297,337,000","234,911,000","194,487,000","138,800,000","109,100,000","88,000,000","73,600,000","70,000,000","41,600,000","24,600,000","14,000,000","9,900,000"
		InvestmentsAndAdvances,"160,100,000","136,800,000","184,700,000","206,700,000","230,300,000","64,600,000","13,300,000","91,200,000","71,300,000","84,500,000","114,500,000","80,635,000",,,,,,,,,,,,,,,,,
		Goodwill,"42,248,300,000","45,913,300,000","49,862,900,000","46,356,100,000","46,551,500,000","24,521,500,000","8,197,600,000","4,762,100,000","1,708,300,000","1,528,100,000","1,648,100,000","868,085,000","876,449,000","890,477,000",,,,,,,,,,,,,,,
		OtherIntangibleAssets,"37,890,600,000","43,695,400,000","54,648,300,000","62,618,600,000","67,931,700,000","19,188,400,000","8,234,500,000","3,830,000,000","1,613,600,000","1,632,000,000","1,721,900,000","560,023,000","603,697,000","779,284,000","1,207,403,000","1,368,341,000","1,456,890,000","1,335,315,000","1,268,924,000","1,444,545,000","573,700,000","474,500,000",,,,,,,
