name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalRevenue,"16,096,200,000","16,088,900,000","15,787,400,000","15,940,700,000","14,570,600,000","15,071,000,000","13,062,300,000","8,677,600,000","5,914,900,000","4,584,400,000","3,566,900,000","2,793,000,000","2,535,501,000","2,496,651,000","1,979,244,000","1,646,203,000","1,640,551,000","1,457,722,000","1,223,198,000","1,160,676,000","811,524,000","689,200,000","556,100,000","338,300,000","194,100,000","130,700,000","87,100,000","67,500,000","34,700,000","29,500,000"
CostOfRevenue,"2,618,400,000","2,493,100,000","2,191,400,000","2,168,000,000","1,860,800,000","4,810,400,000","6,303,800,000","4,690,700,000","3,390,400,000","2,564,900,000","1,998,500,000","1,596,800,000","1,502,822,000","1,504,756,000","1,233,483,000","852,414,000","820,794,000","624,651,000","545,625,000","508,534,000","355,587,000","216,600,000","199,900,000","117,700,000","69,800,000","58,700,000","37,600,000","30,500,000","17,700,000","16,500,000"
GrossProfit,"13,477,800,000","13,595,800,000","13,596,000,000","13,772,700,000","12,709,800,000","10,260,600,000","6,758,500,000","3,986,900,000","2,524,500,000","2,019,500,000","1,568,400,000","1,196,200,000","1,032,679,000","991,895,000","745,761,000","793,789,000","819,757,000","833,071,000","677,573,000","652,142,000","455,937,000","472,600,000","356,200,000","220,600,000","124,300,000","72,000,000","49,500,000","37,000,000","17,000,000","13,000,000"
OperatingExpense,"13,885,200,000","13,612,100,000","13,340,300,000","14,313,900,000","13,786,400,000","12,491,500,000","7,276,600,000","3,507,400,000","2,054,200,000","1,483,300,000","1,263,000,000","812,300,000","674,551,000","736,235,000","670,057,000","575,277,000","553,817,000","494,158,000","408,209,000","550,823,000","300,355,000","214,700,000","150,500,000","83,600,000","41,600,000","41,900,000","20,600,000","17,400,000","10,500,000","9,000,000"
	ResearchAndDevelopment,"1,807,000,000","1,812,000,000","2,266,200,000","2,100,100,000","2,575,700,000","2,358,500,000","1,085,900,000","616,900,000","401,800,000","295,400,000","296,100,000","197,300,000","170,122,000","144,793,000","131,023,000","125,263,000","134,221,000","102,083,000","81,617,000","63,517,000","67,294,000","49,300,000","30,800,000","18,100,000","16,500,000","18,600,000","11,100,000",,,
	SellingGeneralAndAdministration,"6,204,600,000","5,943,500,000","4,521,800,000","5,016,700,000","4,740,300,000","4,679,600,000","3,593,200,000","2,047,800,000","1,171,300,000","754,900,000","756,100,000","520,200,000","423,428,000","421,151,000","305,060,000","260,999,000","301,209,000","320,201,000","235,088,000","210,002,000","161,652,000","121,400,000","88,400,000","50,900,000","17,900,000","17,000,000","5,700,000","15,200,000","8,900,000","7,800,000"
	OperatingExpense,"13,885,200,000","13,612,100,000","13,340,300,000","14,313,900,000","13,786,400,000","12,491,500,000","7,276,600,000","3,507,400,000","2,054,200,000","1,483,300,000","1,263,000,000","812,300,000","674,551,000","736,235,000","670,057,000","575,277,000","553,817,000","494,158,000","408,209,000","550,823,000","300,355,000","214,700,000","150,500,000","83,600,000","41,600,000","41,900,000","20,600,000","17,400,000","10,500,000","9,000,000"
OperatingIncome,"-407,400,000","-16,300,000","255,700,000","-541,200,000","-1,076,600,000","-2,230,900,000","-518,100,000","479,500,000","470,300,000","536,200,000","305,400,000","383,900,000","358,128,000","255,660,000","75,704,000","218,512,000","265,940,000","338,913,000","269,364,000","101,319,000","155,582,000","257,900,000","205,700,000","137,000,000","82,700,000","30,100,000","28,900,000","19,600,000","6,500,000","4,000,000"
InterestExpense,"765,700,000","783,000,000","911,200,000","1,095,600,000","1,295,600,000","1,193,300,000","411,800,000","239,800,000","116,700,000","81,800,000","84,100,000","34,200,000","28,184,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-3,034,200,000","-4,396,200,000","-6,246,600,000","-8,817,300,000","-529,700,000","-752,500,000","-717,500,000","-882,900,000","-73,900,000","-500,000","27,700,000","7,900,000","19,314,000","10,329,000","-563,253,000","-28,969,000","-68,448,000","-499,000","-4,273,000","-79,855,000","208,750,000","21,200,000","400,000","7,600,000","26,500,000","42,600,000","1,600,000","800,000",,"-600,000"
