name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalRevenue,"721,251,000","682,429,000","694,018,000","841,045,000","1,116,843,000","985,076,000","593,078,000","317,711,000","256,158,000","136,920,000","86,409,000","75,891,000","93,598,000","52,895,000","71,250,000","44,484,000","50,708,000","45,491,000","51,419,000","42,248,000","66,927,000","64,632,000","56,667,000","42,323,000",,"33,925,000","32,862,630","28,400,000","20,900,000","18,500,000","15,900,000","14,200,000","12,300,000","10,300,000","8,000,000","7,300,000"
CostOfRevenue,"427,514,000","429,723,000","448,002,000","407,898,000","442,572,000","389,064,000","295,488,000","145,807,000","107,466,000","57,231,000","43,944,000","60,219,000","67,006,000","41,495,000","44,370,000","29,540,000","32,506,000","33,343,000","30,882,000","35,147,000","38,090,000","31,155,000","27,607,000","23,547,000",,"21,972,000","19,642,837","15,900,000","12,200,000","11,200,000","7,800,000","6,900,000","5,800,000","4,700,000","4,000,000","3,400,000"
GrossProfit,"293,737,000","252,706,000","246,016,000","433,147,000","674,271,000","596,012,000","297,590,000","171,904,000","148,692,000","79,689,000","42,465,000","15,672,000","26,592,000","11,400,000","26,880,000","14,944,000","18,202,000","12,148,000","20,537,000","7,101,000","28,837,000","33,477,000","29,060,000","18,776,000",,"11,953,000","13,219,793","12,500,000","8,700,000","7,300,000","8,100,000","7,300,000","6,500,000","5,600,000","4,000,000","3,900,000"
OperatingExpense,"339,868,000","351,136,000","380,421,000","358,031,000","305,817,000","269,184,000","168,728,000","80,788,000","70,781,000","46,423,000","31,193,000","35,184,000","33,775,000","31,215,000","31,785,000","22,423,000","18,570,000","18,424,000","24,102,000","35,617,000","23,048,000","21,355,000","19,616,000","15,611,000",,"10,864,000","9,547,557","9,600,000","8,100,000","14,500,000","15,600,000","5,600,000","5,400,000","4,100,000","3,200,000","3,400,000"
	ResearchAndDevelopment,"38,597,000","37,500,000","47,321,000","80,502,000","42,603,000","40,707,000","29,199,000","19,858,000","15,858,000","11,555,000","6,975,000","4,764,000","6,801,000","7,850,000","11,797,000","4,510,000","1,861,000","1,465,000","1,886,000","2,598,000","4,132,000","2,744,000","4,010,000","1,873,000",,"1,213,000","843,590","800,000",,,,,,,,
	SellingGeneralAndAdministration,"266,429,000","273,871,000","279,628,000","216,086,000","197,501,000","162,205,000","95,463,000","53,508,000","48,053,000","33,135,000","22,721,000","28,772,000","25,620,000","21,861,000","18,603,000","16,405,000","13,300,000","16,015,000","20,860,000","31,525,000","17,397,000","16,733,000","13,291,000","12,287,000",,"8,974,000","8,703,967","8,100,000","7,500,000","13,900,000","15,000,000","5,200,000","5,100,000","3,900,000","3,100,000","3,300,000"
	OperatingExpense,"339,868,000","351,136,000","380,421,000","358,031,000","305,817,000","269,184,000","168,728,000","80,788,000","70,781,000","46,423,000","31,193,000","35,184,000","33,775,000","31,215,000","31,785,000","22,423,000","18,570,000","18,424,000","24,102,000","35,617,000","23,048,000","21,355,000","19,616,000","15,611,000",,"10,864,000","9,547,557","9,600,000","8,100,000","14,500,000","15,600,000","5,600,000","5,400,000","4,100,000","3,200,000","3,400,000"
OperatingIncome,"-46,131,000","-98,430,000","-134,405,000","75,116,000","368,454,000","326,828,000","128,862,000","91,116,000","77,911,000","33,266,000","11,272,000","-19,512,000","-7,183,000","-19,815,000","-4,905,000","-7,479,000","-368,000","-6,276,000","-3,565,000","-28,516,000","5,789,000","12,122,000","9,444,000","3,165,000",,"1,089,000","3,672,236","2,900,000","600,000","-7,200,000","-7,500,000","1,700,000","1,100,000","1,500,000","800,000","500,000"
InterestExpense,"79,390,000","69,353,000","45,900,000","38,070,000","42,734,000","51,973,000","35,657,000","8,649,000","10,474,000","4,392,000","942,000","1,516,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-322,789,000","-88,441,000","-252,661,000","-91,028,000","-43,629,000","-38,416,000","-21,940,000","1,270,000","-9,155,000","12,432,000","11,646,000","-4,276,000","118,000","1,000","-451,000","1,212,000","1,568,000","39,000","2,000","-162,000","117,000",,,,,"216,000","-255,606","100,000","1,200,000","200,000","200,000","300,000","600,000","900,000","300,000","200,000"
