name,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"40,963,000,000","39,951,000,000","40,112,000,000","34,122,000,000","30,142,000,000","26,033,000,000","25,819,000,000","24,260,000,000","22,845,900,000","19,990,200,000","25,118,800,000","23,448,200,000","23,153,800,000","23,374,100,000","22,059,200,000","21,369,100,000","18,521,400,000","16,438,000,000","14,642,400,000","10,264,900,000","8,289,000,000","3,961,100,000","3,108,500,000","2,681,100,000","1,841,800,000","1,395,600,000","656,500,000","576,600,000","446,400,000","251,200,000","232,700,000","190,500,000","177,000,000","137,600,000"
	CurrentAssets,"25,747,000,000","24,553,000,000","28,345,000,000","21,956,000,000","21,752,000,000","17,939,000,000","17,770,000,000","17,510,000,000","16,315,900,000","14,918,900,000","15,799,000,000","14,184,200,000","14,544,500,000","14,776,700,000","13,442,700,000","13,057,900,000","13,249,600,000","11,906,600,000","10,716,300,000","6,870,600,000","5,146,600,000","3,228,700,000","2,503,700,000","2,239,800,000","1,674,700,000","1,287,100,000","578,600,000","503,200,000","385,200,000","213,300,000","199,000,000","161,900,000","140,400,000","116,300,000"
		CashCashEquivalentsAndShortTermInvestments,"2,531,000,000","1,763,000,000","6,879,000,000","2,356,000,000","4,616,000,000","2,865,000,000","1,901,000,000","2,274,000,000","1,929,300,000","2,755,300,000","2,246,400,000","1,675,000,000","1,440,800,000","1,819,300,000","1,511,500,000","1,096,000,000","1,724,000,000","1,382,000,000","934,100,000","504,600,000","165,200,000","305,000,000","243,100,000","287,800,000","40,600,000","54,900,000","66,600,000","3,700,000","57,900,000","7,500,000","9,300,000","4,000,000","10,500,000","46,500,000"
			CashAndCashEquivalents,"2,531,000,000","1,763,000,000","6,879,000,000","2,356,000,000","4,616,000,000","2,865,000,000","1,901,000,000","2,274,000,000","1,929,300,000","2,755,300,000","1,847,500,000","1,291,300,000","1,308,800,000","1,320,900,000","1,411,700,000","1,096,000,000","1,724,000,000","1,382,000,000","934,100,000","504,600,000","165,200,000","305,000,000","243,100,000","287,800,000","40,600,000","54,900,000","66,600,000","3,700,000","57,900,000","7,500,000","9,300,000","4,000,000","10,500,000","46,500,000"
			OtherShortTermInvestments,,,,,,,,,,,"398,900,000","383,700,000","132,000,000","498,400,000","99,800,000",,,,,,,,,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"2,531,000,000","1,763,000,000","6,879,000,000","2,356,000,000","4,616,000,000","2,865,000,000","1,901,000,000","2,274,000,000","1,929,300,000","2,755,300,000","2,246,400,000","1,675,000,000","1,440,800,000","1,819,300,000","1,511,500,000","1,096,000,000","1,724,000,000","1,382,000,000","934,100,000","504,600,000","165,200,000","305,000,000","243,100,000","287,800,000","40,600,000","54,900,000","66,600,000","3,700,000","57,900,000","7,500,000","9,300,000","4,000,000","10,500,000","46,500,000"
		AccountsReceivable,"8,448,000,000","7,800,000,000","8,048,000,000","7,405,000,000","6,523,000,000","5,380,000,000","6,304,000,000","6,355,000,000","6,155,700,000","5,170,600,000","5,643,600,000","5,006,900,000","4,714,400,000","4,111,600,000","3,451,000,000","3,432,700,000","2,784,400,000","2,295,400,000","2,408,700,000",,,,,,,,,,,,,,,
		Inventory,"12,822,000,000","12,308,000,000","11,301,000,000","10,615,000,000","9,211,000,000","8,266,000,000","8,373,000,000","7,864,000,000","7,334,200,000","6,355,900,000","7,145,500,000","6,768,800,000","7,383,200,000","7,714,200,000","7,380,000,000","7,471,300,000","7,623,300,000","7,361,000,000","6,286,100,000","3,865,300,000","2,931,400,000","1,895,500,000","1,453,100,000","1,238,200,000","1,071,800,000","868,200,000","318,700,000","346,500,000","186,900,000","118,500,000","112,700,000","75,000,000","69,900,000","36,500,000"
		OtherCurrentAssets,,,,,,,,,,,"174,700,000","140,400,000","354,800,000","502,700,000","238,200,000","262,500,000","341,900,000","218,300,000","236,300,000","823,700,000","459,700,000","202,000,000","135,300,000","148,900,000","46,000,000","23,100,000","49,400,000","5,500,000","24,400,000","4,500,000","1,900,000","16,000,000","2,200,000","1,200,000"
		CurrentAssets,"25,747,000,000","24,553,000,000","28,345,000,000","21,956,000,000","21,752,000,000","17,939,000,000","17,770,000,000","17,510,000,000","16,315,900,000","14,918,900,000","15,799,000,000","14,184,200,000","14,544,500,000","14,776,700,000","13,442,700,000","13,057,900,000","13,249,600,000","11,906,600,000","10,716,300,000","6,870,600,000","5,146,600,000","3,228,700,000","2,503,700,000","2,239,800,000","1,674,700,000","1,287,100,000","578,600,000","503,200,000","385,200,000","213,300,000","199,000,000","161,900,000","140,400,000","116,300,000"
	TotalNonCurrentAssets,"15,216,000,000","15,398,000,000","11,767,000,000","12,166,000,000","8,390,000,000","8,094,000,000","8,049,000,000","6,750,000,000","6,530,000,000","5,071,300,000","9,319,800,000","9,264,000,000","8,609,300,000","8,597,400,000","8,616,500,000","8,311,200,000","5,271,800,000","4,531,400,000","3,926,100,000","3,394,300,000","3,142,400,000","732,400,000","604,800,000","441,300,000","167,100,000","108,500,000","77,900,000","73,400,000","61,200,000","37,900,000","33,700,000","28,600,000","36,600,000","21,300,000"
		NetPPE,"2,356,000,000","2,487,000,000","1,879,000,000","1,796,000,000","1,506,000,000","1,459,000,000","1,489,000,000","1,551,000,000","1,512,200,000","1,468,800,000","1,873,000,000","1,737,200,000","1,647,000,000","2,584,000,000","2,484,000,000","2,364,000,000","2,089,500,000","1,894,400,000","1,838,300,000","1,626,900,000","1,540,500,000","331,400,000","276,700,000","153,500,000","95,200,000","60,000,000","39,000,000","39,000,000","31,000,000","19,100,000","17,700,000","12,200,000","22,800,000","14,300,000"
			GrossPPE,"5,168,000,000","5,260,000,000","4,627,000,000","4,476,000,000","4,034,000,000","3,870,000,000","3,669,000,000","3,537,000,000","3,274,200,000","3,093,700,000","3,883,800,000","3,732,800,000","3,537,200,000","5,060,600,000","4,668,600,000","4,300,100,000","3,755,300,000","3,509,300,000","3,345,900,000","2,937,800,000","2,748,300,000","548,400,000","476,600,000","265,600,000","177,300,000","119,300,000","61,000,000","56,100,000","43,800,000","28,300,000","24,800,000","17,500,000","29,700,000","19,100,000"
			AccumulatedDepreciation,"-2,812,000,000","-2,773,000,000","-2,748,000,000","-2,680,000,000","-2,528,000,000","-2,411,000,000","-2,180,000,000","-1,986,000,000","-1,762,000,000","-1,624,900,000","-2,010,800,000","-1,995,600,000","-1,890,200,000","-2,476,600,000","-2,184,600,000","-1,936,100,000","-1,665,800,000","-1,614,900,000","-1,507,600,000","-1,310,900,000","-1,207,800,000","-217,000,000","-199,900,000","-112,100,000","-82,100,000","-59,300,000","-22,000,000","-17,100,000","-12,800,000","-9,200,000","-7,100,000","-5,300,000","-6,900,000","-4,800,000"
			NetPPE,"2,356,000,000","2,487,000,000","1,879,000,000","1,796,000,000","1,506,000,000","1,459,000,000","1,489,000,000","1,551,000,000","1,512,200,000","1,468,800,000","1,873,000,000","1,737,200,000","1,647,000,000","2,584,000,000","2,484,000,000","2,364,000,000","2,089,500,000","1,894,400,000","1,838,300,000","1,626,900,000","1,540,500,000","331,400,000","276,700,000","153,500,000","95,200,000","60,000,000","39,000,000","39,000,000","31,000,000","19,100,000","17,700,000","12,200,000","22,800,000","14,300,000"
		InvestmentsAndAdvances,,,,,,,,,"0","691,500,000","929,800,000",,,,,,,,,,,,,,,,,,,,,,,
		Goodwill,"8,378,000,000","8,316,000,000","7,221,000,000","7,167,000,000","5,070,000,000","4,878,000,000","4,601,000,000","3,978,000,000",,,,"6,225,900,000","5,860,900,000","4,992,400,000",,,,,"1,175,400,000",,,,,,,,,,,,,,,
		OtherIntangibleAssets,"3,430,000,000","3,913,000,000","1,986,000,000","2,259,000,000","948,000,000","992,000,000","973,000,000","414,000,000",,,,,,,"5,097,400,000","4,938,800,000","2,332,300,000","1,544,100,000",,"961,700,000","942,100,000","125,100,000","122,100,000","92,400,000",,,,"23,700,000","21,500,000","12,300,000","12,600,000","13,000,000","7,200,000","2,300,000"
		OtherNonCurrentAssets,"1,052,000,000","682,000,000","681,000,000","944,000,000","866,000,000","765,000,000","986,000,000","807,000,000","758,800,000","657,800,000","421,100,000","1,300,900,000","1,101,400,000","1,021,000,000","1,035,100,000","1,008,400,000","850,000,000","1,092,900,000","912,400,000","805,700,000","659,800,000","275,900,000","206,000,000","195,400,000","71,900,000","48,500,000","38,900,000","10,700,000","8,700,000","6,500,000","3,400,000","3,400,000","6,600,000","4,700,000"
		TotalNonCurrentAssets,"15,216,000,000","15,398,000,000","11,767,000,000","12,166,000,000","8,390,000,000","8,094,000,000","8,049,000,000","6,750,000,000","6,530,000,000","5,071,300,000","9,319,800,000","9,264,000,000","8,609,300,000","8,597,400,000","8,616,500,000","8,311,200,000","5,271,800,000","4,531,400,000","3,926,100,000","3,394,300,000","3,142,400,000","732,400,000","604,800,000","441,300,000","167,100,000","108,500,000","77,900,000","73,400,000","61,200,000","37,900,000","33,700,000","28,600,000","36,600,000","21,300,000"
	TotalAssets,"40,963,000,000","39,951,000,000","40,112,000,000","34,122,000,000","30,142,000,000","26,033,000,000","25,819,000,000","24,260,000,000","22,845,900,000","19,990,200,000","25,118,800,000","23,448,200,000","23,153,800,000","23,374,100,000","22,059,200,000","21,369,100,000","18,521,400,000","16,438,000,000","14,642,400,000","10,264,900,000","8,289,000,000","3,961,100,000","3,108,500,000","2,681,100,000","1,841,800,000","1,395,600,000","656,500,000","576,600,000","446,400,000","251,200,000","232,700,000","190,500,000","177,000,000","137,600,000"
TotalAssets,"40,963,000,000","39,951,000,000","40,112,000,000","34,122,000,000","30,142,000,000","26,033,000,000","25,819,000,000","24,260,000,000","22,845,900,000","19,990,200,000","25,118,800,000","23,448,200,000","23,153,800,000","23,374,100,000","22,059,200,000","21,369,100,000","18,521,400,000","16,438,000,000","14,642,400,000","10,264,900,000","8,289,000,000","3,961,100,000","3,108,500,000","2,681,100,000","1,841,800,000","1,395,600,000","656,500,000","576,600,000","446,400,000","251,200,000","232,700,000","190,500,000","177,000,000","137,600,000"
	TotalLiabilitiesNetMinorityInterest,"34,633,000,000","33,892,000,000","33,284,000,000","27,551,000,000","23,886,000,000","19,632,000,000","19,844,000,000","18,016,000,000","16,997,300,000","14,714,100,000","16,394,100,000","15,700,700,000","15,776,900,000","14,883,400,000","13,466,200,000","13,392,800,000","10,763,300,000","10,045,000,000","9,205,300,000","6,283,700,000","4,826,000,000","2,335,900,000","1,776,300,000","1,750,400,000","1,293,600,000","1,027,100,000","400,900,000","357,300,000","253,000,000","126,300,000","164,800,000","136,500,000","130,300,000","96,100,000"
		CurrentLiabilities,"24,109,000,000","22,893,000,000","21,221,000,000","19,701,000,000","17,243,000,000","15,115,000,000","14,590,000,000","14,174,000,000","13,369,500,000","11,537,600,000","11,399,800,000","10,375,900,000","11,459,700,000","11,372,800,000","10,105,000,000","9,369,400,000","7,314,400,000","6,810,400,000","6,574,800,000","4,261,500,000","2,959,000,000","1,844,100,000","1,408,800,000","1,385,700,000","1,073,400,000","816,000,000","214,100,000","168,500,000","163,000,000","120,800,000","115,100,000","85,800,000","72,200,000","46,300,000"
			CurrentDebt,"452,000,000","1,001,000,000","1,327,000,000","587,000,000","281,000,000","801,000,000","168,000,000","476,000,000","326,700,000","233,200,000","367,300,000","159,000,000","16,000,000","229,200,000","307,900,000","860,600,000","228,700,000","18,200,000","14,200,000","28,400,000","40,200,000","30,700,000","28,300,000","106,000,000","5,100,000","27,900,000","3,100,000","3,700,000","48,100,000","42,800,000","53,500,000","33,400,000","28,100,000","12,200,000"
			AccountsPayable,"21,535,000,000","19,677,000,000","17,906,000,000","17,306,000,000","14,368,000,000","12,149,000,000","12,295,000,000","11,726,000,000","11,331,500,000","9,494,900,000","9,138,000,000","8,311,800,000","9,162,200,000","9,009,300,000","7,618,400,000","6,432,400,000","5,288,400,000","5,504,500,000","5,319,900,000","3,030,900,000","2,360,800,000","1,622,400,000","1,136,000,000","1,126,100,000","950,000,000","705,700,000","168,400,000","133,000,000","91,700,000","63,800,000",,,,
			CurrentAccruedExpenses,"2,122,000,000","2,002,000,000","1,988,000,000","1,808,000,000","2,594,000,000","2,165,000,000","2,127,000,000","1,972,000,000","1,711,300,000","1,809,500,000","1,868,200,000","1,889,700,000","2,247,300,000","2,053,900,000","2,178,700,000","2,021,300,000","1,733,000,000","1,287,700,000","1,240,700,000",,,,,,,,,,,,,,,
			OtherCurrentLiabilities,,"213,000,000",,,,,,,,,"26,300,000","15,400,000","34,200,000","80,400,000",,"55,100,000","64,300,000",,,"1,202,200,000","558,000,000","191,000,000","244,500,000","153,600,000","118,300,000","82,400,000","42,600,000","31,800,000","23,200,000","14,200,000","61,600,000","52,400,000","44,100,000","34,100,000"
			CurrentLiabilities,"24,109,000,000","22,893,000,000","21,221,000,000","19,701,000,000","17,243,000,000","15,115,000,000","14,590,000,000","14,174,000,000","13,369,500,000","11,537,600,000","11,399,800,000","10,375,900,000","11,459,700,000","11,372,800,000","10,105,000,000","9,369,400,000","7,314,400,000","6,810,400,000","6,574,800,000","4,261,500,000","2,959,000,000","1,844,100,000","1,408,800,000","1,385,700,000","1,073,400,000","816,000,000","214,100,000","168,500,000","163,000,000","120,800,000","115,100,000","85,800,000","72,200,000","46,300,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"10,524,000,000","10,999,000,000","12,063,000,000","7,850,000,000","6,643,000,000","4,517,000,000","5,254,000,000","3,842,000,000","3,627,800,000","3,176,500,000","4,994,300,000","5,324,800,000","4,317,200,000","3,510,600,000","3,361,200,000","4,023,400,000","3,448,900,000","3,234,600,000","2,630,500,000","2,022,200,000","1,867,000,000","491,800,000","367,500,000","364,700,000","220,200,000","211,100,000","186,800,000","188,800,000","90,000,000","5,500,000","49,700,000","50,700,000","58,100,000","49,800,000"
