name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
OperatingCashFlow,"2,226,000,000","2,722,000,000","2,768,000,000","1,184,000,000","2,971,000,000","2,540,000,000","2,524,000,000","1,727,000,000","1,176,000,000","1,394,600,000","2,134,100,000","1,567,300,000","1,512,100,000","1,223,100,000","2,140,300,000","2,850,200,000","2,624,700,000","1,398,000,000","983,900,000","871,700,000","638,200,000","345,700,000","143,100,000","39,200,000","122,200,000","10,500,000","-74,900,000","106,500,000","-93,800,000","-23,400,000","17,700,000",,,,
	NetIncome,"-4,158,000,000","1,363,000,000","256,000,000","1,288,000,000","1,427,000,000","1,215,000,000","1,166,000,000","334,000,000","1,069,000,000","959,000,000","642,200,000","1,151,600,000","1,300,600,000","1,931,100,000","1,000,100,000","1,050,700,000","1,474,500,000","1,405,800,000","1,056,200,000","857,400,000","679,700,000","456,300,000","247,100,000","181,100,000","111,900,000","85,000,000","35,100,000","33,600,000","25,200,000","17,400,000","12,800,000","8,800,000","6,600,000","5,400,000","6,000,000"
	DepreciationAndAmortization,"929,000,000","1,000,000,000","1,032,000,000","717,000,000","641,000,000","451,000,000","459,000,000","397,000,000","325,000,000","313,300,000","254,400,000","399,400,000","381,300,000","322,100,000","392,700,000","409,700,000","299,200,000","265,800,000","243,500,000","280,600,000","245,900,000","233,500,000","64,300,000","51,300,000","32,500,000","21,200,000","17,000,000","7,200,000","5,600,000","4,600,000","3,100,000",,,,
	DeferredIncomeTax,,,,,,,,,,"128,000,000","120,200,000","69,500,000","26,900,000","11,700,000","31,600,000","53,200,000","105,100,000","215,200,000","239,700,000","149,100,000","127,600,000","132,400,000","95,500,000","15,900,000","20,500,000","24,300,000","-11,400,000","-6,600,000","2,800,000",,"4,100,000",,,,
	StockBasedCompensation,"86,000,000","82,000,000","85,000,000","96,000,000","111,000,000","110,000,000","96,000,000","93,000,000","85,000,000","79,500,000","99,500,000","122,800,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"5,313,000,000","755,000,000","870,000,000","-1,294,000,000","623,000,000","452,000,000","755,000,000","-9,000,000","-434,000,000","-52,400,000","874,400,000","-263,300,000","-300,000,000","-436,300,000","203,500,000","1,107,900,000","694,200,000","-512,100,000","-668,200,000","-456,800,000","-449,400,000","-506,000,000","-184,400,000","-215,400,000","-31,200,000","-137,300,000","-146,900,000","68,400,000","-132,400,000","-48,500,000","-5,200,000",,,,
	ChangesInAccountReceivables,"-1,248,000,000","-751,000,000","-871,000,000","-665,000,000","-866,000,000","-870,000,000","925,000,000","216,000,000","-129,000,000","-457,200,000","20,600,000","-648,800,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,"-214,000,000","-551,000,000","-1,211,000,000","-673,000,000","-1,179,000,000","-779,000,000","142,000,000","-370,000,000","-495,000,000","-664,700,000","477,400,000","-341,800,000","613,100,000","217,400,000","-368,200,000","90,100,000","245,500,000","-234,400,000","-1,071,100,000","-1,517,800,000","-926,300,000","-318,500,000","-459,300,000","-169,400,000","-148,400,000","-159,000,000","-232,200,000","27,800,000","-132,400,000","-42,600,000","-5,800,000",,,,
	ChangeInAccountPayable,"1,466,000,000","1,864,000,000","2,574,000,000","564,000,000","2,815,000,000","1,948,000,000","-196,000,000","426,000,000","319,000,000","1,356,500,000","451,000,000","749,000,000",,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"1,851,000,000","2,394,000,000","2,384,000,000","797,000,000","2,506,000,000","2,240,000,000","2,275,000,000","1,532,000,000","913,000,000","1,103,300,000","1,878,300,000","1,033,900,000","1,136,000,000","865,700,000","1,697,100,000","2,278,500,000","2,214,500,000","974,800,000","698,500,000","530,500,000","330,400,000","-121,700,000","28,400,000","-36,000,000","49,100,000","-32,500,000","-86,200,000","101,200,000","-102,700,000","-34,300,000","13,900,000",,,,
