name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"9,389,527,000","10,132,393,000","11,635,580,000","14,275,109,000","19,350,336,000","10,909,616,000","6,571,856,000","6,568,559,000","7,292,583,000","3,912,389,000","2,488,803,000","1,956,631,000","1,702,638,000","1,396,689,000","1,371,678,000","947,491,000","753,880,000","512,972,000","470,995,000","467,840,000","329,436,000","287,618,000"
	CurrentAssets,"2,586,218,000","2,343,150,000","2,271,077,000","2,589,459,000","3,475,152,000","3,307,472,000","2,854,507,000","1,969,234,000","1,788,096,000","1,359,534,000","1,280,581,000","1,183,694,000","1,065,447,000","1,036,014,000","993,385,000","567,577,000","473,596,000","257,487,000","240,925,000","173,054,000","118,427,000",
		CashCashEquivalentsAndShortTermInvestments,"1,454,531,000","1,149,113,000","986,605,000","517,250,000","272,382,000","409,568,000","526,597,000","547,916,000","547,620,000","466,214,000","733,737,000","782,193,000","663,711,000","628,085,000","500,956,000","278,034,000","229,573,000","56,902,000","95,357,000","59,196,000","22,028,000","17,367,000"
			CashAndCashEquivalents,"1,454,531,000","1,149,113,000","986,605,000","517,250,000","272,348,000","408,753,000","526,597,000","547,916,000","547,620,000","466,214,000","708,462,000","775,693,000","350,325,000","628,085,000","500,956,000","278,034,000","229,573,000","56,902,000","95,357,000","59,196,000","22,028,000","17,367,000"
			OtherShortTermInvestments,,,,"0","34,000","815,000",,,,"0","25,275,000","6,500,000","313,386,000",,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"1,454,531,000","1,149,113,000","986,605,000","517,250,000","272,382,000","409,568,000","526,597,000","547,916,000","547,620,000","466,214,000","733,737,000","782,193,000","663,711,000","628,085,000","500,956,000","278,034,000","229,573,000","56,902,000","95,357,000","59,196,000","22,028,000","17,367,000"
		AccountsReceivable,"467,953,000","470,570,000","517,436,000","992,153,000","995,077,000","1,234,728,000","725,827,000","690,850,000","733,222,000","547,807,000","323,501,000","246,326,000","249,784,000","279,159,000","290,826,000","139,039,000","101,284,000","119,496,000","85,329,000",,"62,254,000",
		Inventory,"327,865,000","322,179,000","391,437,000","555,671,000","744,665,000","472,215,000","374,439,000","357,638,000","262,419,000","178,805,000","84,893,000","80,656,000","69,228,000","62,129,000","50,983,000","71,415,000","50,450,000","35,516,000","27,766,000","29,746,000","21,269,000",
		OtherCurrentAssets,"88,412,000","95,920,000",,"125,326,000","789,461,000","660,031,000","297,387,000","372,830,000","244,835,000",,"15,659,000",,,,,,,,,"5,800,000",,
		CurrentAssets,"2,586,218,000","2,343,150,000","2,271,077,000","2,589,459,000","3,475,152,000","3,307,472,000","2,854,507,000","1,969,234,000","1,788,096,000","1,359,534,000","1,280,581,000","1,183,694,000","1,065,447,000","1,036,014,000","993,385,000","567,577,000","473,596,000","257,487,000","240,925,000","173,054,000","118,427,000",
	TotalNonCurrentAssets,"6,803,309,000","7,789,243,000","9,364,503,000","11,685,650,000","15,875,184,000","7,602,144,000","3,717,349,000","4,599,325,000","5,504,487,000","2,552,855,000","1,208,222,000","772,937,000","637,191,000","360,675,000","378,293,000","379,914,000","280,284,000","255,485,000","230,070,000","294,786,000","211,009,000",
