name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"3,014,358,000","2,914,364,000","2,947,078,000","3,468,858,000","4,010,274,000","3,268,718,000","2,877,188,000","2,616,907,000","3,027,363,000","2,730,121,000","1,716,229,000","1,460,841,000","1,260,536,000","1,085,608,000","909,659,000","820,164,000","615,100,000","595,608,000","398,973,000","251,979,000","197,429,000","138,546,000","108,370,000"
CostOfRevenue,"1,566,228,000","1,569,338,000","1,631,682,000","2,228,530,000","2,634,973,000","2,075,651,000","1,400,555,000","1,039,516,000","1,261,093,000","1,065,208,000","504,757,000","375,058,000","267,235,000","217,369,000","201,421,000","186,350,000","140,989,000","135,671,000","98,857,000","74,891,000","61,807,000","58,263,000","54,731,000"
GrossProfit,"1,448,130,000","1,345,026,000","1,315,396,000","1,240,328,000","1,375,301,000","1,193,067,000","1,476,633,000","1,577,391,000","1,766,270,000","1,664,913,000","1,211,472,000","1,085,783,000","993,301,000","868,239,000","708,238,000","633,814,000","474,111,000","459,937,000","300,116,000","177,088,000","135,622,000","80,283,000","53,639,000"
OperatingExpense,"776,926,000","763,152,000","831,863,000","801,941,000","954,100,000","843,501,000","950,058,000","991,811,000","1,124,967,000","1,040,458,000","711,106,000","626,759,000","606,357,000","551,013,000","471,663,000","320,565,000","245,176,000","357,647,000","214,531,000","204,986,000","111,407,000","60,603,000","38,806,000"
	ResearchAndDevelopment,"128,861,000","130,732,000","185,826,000","172,067,000","183,372,000","102,197,000","154,203,000","142,472,000","226,120,000","182,286,000","144,525,000","185,317,000","110,211,000","138,255,000","82,808,000","88,307,000","50,546,000","51,024,000","56,823,000","38,994,000","26,012,000","9,373,000","5,893,000"
	SellingGeneralAndAdministration,"648,065,000","632,420,000","646,037,000","629,874,000","770,728,000","741,304,000","795,855,000","849,339,000","898,847,000","824,534,000","547,605,000","441,442,000","488,063,000","411,869,000","340,094,000","211,246,000","180,200,000","300,351,000","145,566,000","116,758,000","56,537,000","42,921,000","25,540,000"
	OperatingExpense,"776,926,000","763,152,000","831,863,000","801,941,000","954,100,000","843,501,000","950,058,000","991,811,000","1,124,967,000","1,040,458,000","711,106,000","626,759,000","606,357,000","551,013,000","471,663,000","320,565,000","245,176,000","357,647,000","214,531,000","204,986,000","111,407,000","60,603,000","38,806,000"
OperatingIncome,"671,204,000","581,874,000","483,533,000","438,387,000","421,201,000","349,566,000","526,575,000","585,580,000","641,303,000","624,455,000","500,366,000","459,024,000","386,944,000","317,226,000","236,575,000","313,249,000","228,935,000","102,290,000","85,585,000","-27,898,000","24,215,000","19,680,000","14,833,000"
InterestExpense,"557,947,000","558,680,000","534,850,000","494,694,000","456,396,000","378,901,000","231,164,000","174,928,000","183,240,000","148,623,000","47,956,000","37,718,000",,,,,,,,,,,
OtherIncomeExpense,"-454,214,000","-388,044,000","-900,709,000","-1,433,163,000","-3,892,378,000","-1,335,864,000","-1,425,161,000","-971,546,000","-1,200,052,000","-107,438,000","-36,933,000","-76,354,000","-9,306,000","-889,000","-57,309,000","-5,515,000","-3,800,000","6,966,000","-29,300,000",,"-172,117,000",,
PretaxIncome,"-321,946,000","-344,904,000","-938,832,000","-1,483,004,000","-3,923,856,000","-1,437,864,000","-1,125,701,000","-559,567,000","-741,583,000","351,691,000","420,698,000","359,660,000","402,200,000","353,250,000","233,734,000","324,244,000","231,096,000","108,998,000","60,894,000","-38,860,000","-163,021,000","5,333,000","382,000"
TaxProvision,"-131,555,000","15,680,000","22,935,000","-250,293,000","-700,084,000","-1,137,465,000","-401,840,000","-24,067,000","-53,562,000","109,626,000","133,678,000","93,324,000","140,459,000","125,810,000","95,895,000","121,949,000","87,787,000","39,208,000","30,081,000","-3,753,000","-6,181,000","2,073,000",
NetIncomeContinuousOperations,"-190,391,000","-360,584,000","-961,767,000","-1,232,711,000","-3,223,772,000","-300,399,000","-723,861,000","-535,500,000","-688,021,000","242,065,000","287,020,000","266,336,000","261,741,000","227,440,000","137,839,000","202,295,000","143,309,000","69,790,000","30,813,000","-35,107,000","-156,840,000","3,260,000","201,000"
NetIncome,"-274,133,000","-422,636,000","-1,031,469,000","-2,035,433,000","-3,347,066,000","-1,495,042,000","-721,319,000","-685,339,000","-740,337,000","187,613,000","259,006,000","266,336,000","261,741,000","227,440,000","137,839,000","202,295,000","143,309,000","69,790,000","30,813,000","-36,542,000","-156,840,000","3,260,000","201,000"
NetIncomeCommonStockholders,"-274,133,000","-422,636,000","-1,031,469,000","-2,035,433,000","-3,347,066,000","-1,495,042,000","-721,319,000","-685,339,000","-740,337,000","187,613,000","259,006,000","266,336,000","261,741,000","227,440,000","137,839,000","202,295,000","143,309,000","69,790,000","30,813,000","-36,542,000","-156,840,000","3,260,000","201,000"
BasicEPS,,"-1.87","-4.61","-9.12","-15.03","-6.731","-4.687","-5.941","-6.682","1.601","2.232","2.271","2.12","1.7","1.03","1.53","1.09","0.54","0.3","-0.4","-1.97","0.05","0"
DilutedEPS,,"-1.87","-4.61","-9.12","-15.03","-7.59","-4.91","-6.05","-6.682","1.55","2.2","2.27","2.12","1.69","1.03","1.52","1.08","0.53","0.3","-0.4","-1.97","0.05","0"
BasicAverageShares,,"226,050,000","223,960,000","223,198,000","222,651,000","222,124,282","153,912,985","115,354,393","110,793,855","117,158,880","116,057,895","117,062,000","123,248,000","133,903,000","133,178,000","132,242,000","131,805,000","128,417,000","102,064,000","91,505,000","79,454,223","71,332,266","71,307,000"
DilutedAverageShares,,"226,050,000","223,960,000","223,198,000","222,651,000","222,124,282","153,912,985","115,354,393","115,719,000","121,178,000","117,951,000","117,515,000","123,720,000","134,525,000","133,911,000","133,289,000","132,718,000","132,439,000","102,126,000","91,505,000","79,454,223","71,332,266","71,307,000"
Ebitda,,"826,638,000","319,725,000","-4,545,000","-2,484,151,000","-426,207,000","-562,886,000","-128,976,000","-272,819,000","737,728,000","577,058,000","497,262,000","436,849,000","333,517,000","254,424,000","329,129,000","239,955,000","108,960,000","89,117,000","30,388,000","53,073,000","27,989,000","22,206,000"
