name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"39,286,100,000","43,908,400,000","44,981,000,000","38,805,900,000","35,568,900,000","37,178,200,000","35,248,700,000","34,398,900,000","33,659,800,000","31,001,400,000","27,460,900,000","29,212,600,000","26,787,800,000","21,955,400,000","24,580,800,000","24,867,000,000","21,678,100,000","19,042,000,000","16,434,100,000","14,690,800,000","12,825,200,000","12,595,500,000","12,577,400,000","14,307,200,000","14,412,500,000","14,507,400,000","9,623,600,000","8,672,800,000","8,298,600,000","7,142,800,000","5,848,000,000","5,262,700,000","5,254,900,000","4,595,800,000","3,953,700,000"
	CurrentAssets,"13,709,600,000","20,549,600,000","19,202,100,000","15,101,400,000","12,573,600,000","12,179,800,000","13,104,700,000","13,038,700,000","14,248,200,000","14,840,000,000","12,486,500,000","12,453,300,000","12,256,900,000","9,694,400,000","10,795,800,000","12,835,800,000","8,758,700,000","7,804,100,000","6,938,900,000","7,943,000,000","7,055,500,000","5,406,800,000","5,320,700,000","3,891,300,000","4,138,600,000","3,962,300,000","3,697,100,000","3,006,000,000","2,939,300,000","2,501,300,000","2,274,400,000","2,414,700,000","2,724,100,000","2,072,200,000","1,940,200,000"
		CashCashEquivalentsAndShortTermInvestments,"2,438,500,000","8,086,400,000","8,034,100,000","6,038,600,000","4,451,800,000","4,827,000,000","5,397,300,000","5,684,300,000","6,897,100,000","6,727,000,000","4,497,600,000","5,926,100,000","4,831,200,000","3,891,000,000","5,037,700,000","7,464,400,000","3,713,300,000","3,654,700,000","3,731,000,000","4,618,200,000","3,836,000,000","1,495,700,000","1,947,500,000","813,700,000","999,500,000","536,900,000","539,600,000","432,400,000","479,200,000","350,200,000","323,000,000","761,500,000","1,030,900,000","486,000,000","406,100,000"
			CashAndCashEquivalents,"2,337,500,000","7,998,200,000","6,536,200,000","4,582,100,000","3,666,400,000","3,871,600,000","3,830,200,000","4,018,800,000","5,922,500,000","5,993,200,000","4,462,900,000","5,496,700,000","3,220,500,000","3,109,300,000","3,006,700,000","5,365,300,000","2,756,300,000","1,945,900,000","2,702,300,000","4,114,900,000","3,700,400,000","1,495,700,000","1,947,500,000","813,700,000","999,500,000","536,900,000","539,600,000","432,400,000","479,200,000","350,200,000","323,000,000","761,500,000","1,030,900,000","486,000,000","406,100,000"
			OtherShortTermInvestments,"101,000,000","88,200,000","1,497,900,000","1,456,500,000","785,400,000","955,400,000","1,567,100,000","1,665,500,000","974,600,000","733,800,000","34,700,000","429,400,000","1,610,700,000","781,700,000","2,031,000,000","2,099,100,000","957,000,000","1,708,800,000","1,028,700,000","503,300,000","135,600,000",,,,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"2,438,500,000","8,086,400,000","8,034,100,000","6,038,600,000","4,451,800,000","4,827,000,000","5,397,300,000","5,684,300,000","6,897,100,000","6,727,000,000","4,497,600,000","5,926,100,000","4,831,200,000","3,891,000,000","5,037,700,000","7,464,400,000","3,713,300,000","3,654,700,000","3,731,000,000","4,618,200,000","3,836,000,000","1,495,700,000","1,947,500,000","813,700,000","999,500,000","536,900,000","539,600,000","432,400,000","479,200,000","350,200,000","323,000,000","761,500,000","1,030,900,000","486,000,000","406,100,000"
		AccountsReceivable,"4,547,300,000","5,246,500,000","4,546,300,000","4,029,400,000","3,513,000,000","3,234,600,000","3,434,400,000","3,336,300,000","3,597,700,000","3,493,800,000","3,343,300,000","2,778,800,000","2,673,900,000","2,298,600,000","2,313,300,000","2,058,700,000","1,854,700,000","1,670,300,000","1,406,200,000","1,966,100,000",,,"1,883,200,000",,,,,,,,,,,,
		Inventory,"3,190,700,000","4,111,800,000","4,458,300,000","3,561,900,000","3,445,800,000","2,740,000,000","2,928,800,000","2,643,800,000","2,299,800,000","2,517,700,000","2,849,900,000","2,493,200,000","2,523,700,000","2,270,300,000","1,878,000,000","2,291,600,000","1,963,000,000","1,495,400,000","1,060,200,000","883,100,000","899,600,000","999,900,000","900,700,000","881,400,000","839,600,000","968,900,000","1,103,000,000","938,400,000","796,900,000","673,000,000","599,500,000","674,300,000","615,500,000","694,600,000","694,200,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,"475,600,000","477,100,000","667,500,000","589,300,000","459,100,000","491,100,000","621,900,000","1,104,400,000","584,100,000","537,200,000","599,400,000","506,100,000","217,200,000","146,200,000","112,500,000","153,400,000"
		CurrentAssets,"13,709,600,000","20,549,600,000","19,202,100,000","15,101,400,000","12,573,600,000","12,179,800,000","13,104,700,000","13,038,700,000","14,248,200,000","14,840,000,000","12,486,500,000","12,453,300,000","12,256,900,000","9,694,400,000","10,795,800,000","12,835,800,000","8,758,700,000","7,804,100,000","6,938,900,000","7,943,000,000","7,055,500,000","5,406,800,000","5,320,700,000","3,891,300,000","4,138,600,000","3,962,300,000","3,697,100,000","3,006,000,000","2,939,300,000","2,501,300,000","2,274,400,000","2,414,700,000","2,724,100,000","2,072,200,000","1,940,200,000"
