name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,949,800,000","22,319,500,000","24,555,700,000","22,871,300,000","21,222,100,000","19,958,700,000","19,615,600,000","23,113,100,000","22,603,400,000","24,286,500,000","23,076,000,000","21,836,000,000","20,378,000,000","18,633,500,000","15,691,000,000","14,645,300,000","13,857,900,000","12,582,500,000","11,077,500,000","11,542,500,000","10,862,200,000","10,002,900,000","9,236,800,000","8,517,600,000","7,346,600,000","6,763,800,000","5,711,600,000","6,452,400,000","6,167,300,000","5,725,700,000","5,191,600,000","4,175,600,000","4,069,700,000","3,643,800,000","3,720,400,000","3,270,600,000"
	OperatingRevenue,"22,949,800,000","22,319,500,000","24,555,700,000","22,871,300,000","21,222,100,000","19,958,700,000","19,615,600,000","23,113,100,000","22,603,400,000","24,286,500,000","23,076,000,000","21,836,000,000","20,378,000,000","18,633,500,000","15,691,000,000","14,645,300,000","13,857,900,000","12,582,500,000","11,077,500,000","11,542,500,000","10,862,200,000","10,002,900,000","9,236,800,000","8,517,600,000","7,346,600,000","6,763,800,000","5,711,600,000","6,452,400,000","6,167,300,000","5,725,700,000","5,191,600,000","4,175,600,000","4,069,700,000","3,643,800,000","3,720,400,000","3,270,600,000"
CostOfRevenue,"4,894,700,000","4,721,200,000","6,430,000,000","6,070,200,000","5,654,900,000","5,037,200,000","4,932,500,000","4,908,100,000","4,796,500,000","5,067,900,000","4,366,200,000","4,247,000,000","4,382,800,000","4,248,800,000","3,546,500,000","3,474,200,000","3,223,900,000","2,675,100,000","2,176,500,000","2,160,200,000","2,055,700,000","1,658,300,000","1,524,700,000","1,853,100,000","1,574,900,000","1,332,000,000","1,247,500,000","1,560,700,000","1,528,900,000","1,354,700,000","1,275,800,000","1,026,500,000","1,132,800,000","1,118,500,000","1,168,500,000","1,039,200,000"
GrossProfit,"18,055,100,000","17,598,300,000","18,125,700,000","16,801,100,000","15,567,200,000","14,921,500,000","14,683,100,000","18,205,000,000","17,806,900,000","19,218,600,000","18,709,800,000","17,589,000,000","15,995,200,000","14,384,700,000","12,144,500,000","11,171,100,000","10,634,000,000","9,907,400,000","8,901,000,000","9,382,300,000","8,806,500,000","8,344,600,000","7,712,100,000","6,664,500,000","5,771,700,000","5,431,800,000","4,464,100,000","4,891,700,000","4,638,400,000","4,371,000,000","3,915,800,000","3,149,100,000","2,936,900,000","2,525,300,000","2,551,900,000","2,231,400,000"
OperatingExpense,"12,225,000,000","12,048,400,000","13,922,800,000","13,496,200,000","11,725,900,000","11,864,400,000","11,554,600,000","12,714,000,000","12,791,600,000","12,900,700,000","11,937,600,000","11,219,000,000","10,467,300,000","9,581,800,000","8,019,100,000","7,522,500,000","6,975,300,000","6,405,600,000","5,573,300,000","5,652,500,000","5,246,800,000","4,980,900,000","4,887,600,000","4,206,200,000","3,724,900,000","3,450,000,000","2,669,200,000","4,239,100,000","3,482,900,000","2,602,700,000","2,376,400,000","1,984,300,000","1,890,100,000","1,930,300,000","1,691,600,000","1,467,000,000"
	SellingGeneralAndAdministration,"6,108,600,000","6,213,800,000","6,631,800,000","7,101,800,000","6,452,000,000","6,533,000,000","6,620,800,000","7,125,600,000","7,513,500,000","7,879,900,000","7,053,400,000","6,892,500,000","6,626,400,000","6,095,100,000","4,889,800,000","4,497,000,000","4,284,200,000","4,055,400,000","3,424,000,000","3,417,400,000","3,228,300,000","2,757,600,000","2,658,300,000","2,314,400,000","1,991,900,000","1,854,000,000","1,398,300,000","3,840,800,000","3,114,800,000","2,303,200,000","2,128,900,000","1,755,000,000","1,686,100,000","1,746,000,000","1,513,900,000","1,330,800,000"
		GeneralAndAdministrativeExpense,,"209,900,000","242,100,000","513,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"209,900,000","0","513,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"6,213,800,000","6,631,800,000","6,588,100,000","6,452,000,000","6,533,000,000","6,620,800,000","7,125,600,000","7,513,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"6,116,400,000","5,834,600,000","7,291,000,000","6,394,400,000","5,273,900,000","5,331,400,000","4,933,800,000","5,588,400,000","5,278,100,000","5,020,800,000","4,884,200,000","4,326,500,000","3,840,900,000","3,486,700,000","3,129,300,000","3,025,500,000","2,691,100,000","2,350,200,000","2,149,300,000","2,235,100,000","2,018,500,000","1,783,600,000","1,738,900,000","1,382,000,000","1,189,500,000","1,042,300,000","838,700,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"439,700,000","490,400,000","509,800,000","543,500,000","553,700,000","432,200,000","398,300,000","368,100,000","299,500,000","247,500,000","229,300,000","204,000,000","184,300,000","177,700,000","136,200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"439,700,000","490,400,000","509,800,000","543,500,000","553,700,000","432,200,000","398,300,000","368,100,000","299,500,000","247,500,000","229,300,000","204,000,000","184,300,000","177,700,000","136,200,000"
