name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
TotalAssets,"61,247,000,000","59,672,000,000","60,381,000,000","60,969,000,000","56,563,000,000","53,870,000,000","51,759,000,000","34,786,000,000","33,093,000,000","30,886,000,000","28,189,000,000","25,267,000,000","24,603,000,000","23,943,000,000","20,975,000,000","18,775,000,000","16,240,200,000","14,353,400,000","13,324,000,000","11,529,900,000","10,372,900,000","9,081,600,000","5,607,500,000","5,172,800,000","3,503,900,000","3,479,200,000"
	CurrentAssets,"42,222,000,000","38,465,000,000","37,136,000,000","36,948,000,000","38,437,000,000","36,670,000,000","32,573,000,000","23,170,000,000","23,603,000,000","22,357,000,000","21,504,000,000","18,671,000,000","17,786,000,000","17,856,000,000","16,919,000,000","15,332,300,000","13,004,200,000","11,253,600,000","10,698,700,000","9,164,000,000","7,965,500,000","6,499,500,000","4,105,600,000","3,761,100,000","2,665,000,000","2,699,400,000"
		CashCashEquivalentsAndShortTermInvestments,"4,015,000,000","2,981,000,000","2,672,000,000","2,783,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,142,000,000","1,809,300,000","717,800,000","533,500,000","563,000,000","445,600,000","605,900,000","240,800,000","35,700,000","124,800,000","281,800,000","385,400,000"
			CashAndCashEquivalents,"4,015,000,000","2,981,000,000","2,672,000,000","2,783,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,142,000,000","1,800,000,000","708,000,000","522,000,000","557,900,000","433,700,000","548,900,000","240,800,000","35,700,000","124,800,000","281,800,000","385,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,"9,300,000","9,800,000","11,500,000","5,100,000","11,900,000","57,000,000",,,,,
			CashCashEquivalentsAndShortTermInvestments,"4,015,000,000","2,981,000,000","2,672,000,000","2,783,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,142,000,000","1,809,300,000","717,800,000","533,500,000","563,000,000","445,600,000","605,900,000","240,800,000","35,700,000","124,800,000","281,800,000","385,400,000"
		AccountsReceivable,"17,201,000,000","14,941,000,000","14,349,000,000","14,602,000,000","14,519,000,000","13,117,000,000","12,543,000,000","8,683,000,000","9,977,000,000","7,982,000,000",,,"6,229,000,000","5,613,000,000","6,370,000,000","5,731,500,000","5,418,800,000","4,594,700,000","4,001,500,000","3,443,400,000",,,,,,
		Inventory,"16,734,000,000","16,709,000,000","16,310,000,000","15,278,000,000","15,335,000,000","14,296,000,000","13,308,000,000","10,335,000,000","10,073,000,000","9,225,000,000","9,441,000,000","8,527,000,000","9,000,000,000","8,153,000,000","7,260,000,000","7,495,500,000","6,735,100,000","6,022,500,000","6,011,500,000","5,116,400,000","4,149,300,000","3,529,000,000","2,583,500,000","2,259,500,000","1,379,100,000","1,467,500,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,"175,800,000","146,000,000","106,000,000","152,300,000","222,700,000","67,900,000"
		CurrentAssets,"42,222,000,000","38,465,000,000","37,136,000,000","36,948,000,000","38,437,000,000","36,670,000,000","32,573,000,000","23,170,000,000","23,603,000,000","22,357,000,000","21,504,000,000","18,671,000,000","17,786,000,000","17,856,000,000","16,919,000,000","15,332,300,000","13,004,200,000","11,253,600,000","10,698,700,000","9,164,000,000","7,965,500,000","6,499,500,000","4,105,600,000","3,761,100,000","2,665,000,000","2,699,400,000"
