name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
TotalRevenue,"231,051,000,000","231,051,000,000","214,319,000,000","208,357,000,000","198,533,000,000","190,884,000,000","179,045,000,000","137,609,000,000","122,455,000,000","122,734,000,000","112,084,000,000","108,702,000,000","106,632,000,000","101,703,000,000","92,977,000,000","88,050,000,000","80,514,600,000","69,506,100,000","57,120,800,000","50,006,000,000","42,010,000,000","36,734,200,000","30,382,300,000","20,857,300,000","12,886,700,000","13,716,400,000","13,189,100,000"
CostOfRevenue,"219,028,000,000","219,028,000,000","202,565,000,000","197,173,000,000","187,262,000,000","179,468,000,000","167,634,000,000","129,300,000,000","115,471,000,000","116,167,000,000","106,114,000,000","103,026,000,000","101,254,000,000","96,694,000,000","88,645,000,000","84,188,000,000","77,049,900,000","66,257,900,000","54,018,300,000","47,209,100,000","39,579,000,000","34,210,500,000","27,517,400,000","19,248,800,000","11,777,600,000","12,498,100,000","12,025,400,000"
GrossProfit,"12,023,000,000","12,023,000,000","11,754,000,000","11,184,000,000","11,271,000,000","11,416,000,000","11,411,000,000","8,309,000,000","6,984,000,000","6,567,000,000","5,970,000,000","5,676,000,000","5,378,000,000","5,009,000,000","4,332,000,000","3,862,000,000","3,464,700,000","3,248,200,000","3,102,500,000","2,796,900,000","2,431,000,000","2,523,700,000","2,864,900,000","1,608,500,000","1,109,100,000","1,218,300,000","1,163,700,000"
OperatingExpense,"9,264,000,000","9,264,000,000","8,474,000,000","8,263,000,000","7,807,000,000","7,668,000,000","8,293,000,000","5,874,000,000","4,678,000,000","4,269,000,000","3,936,000,000","3,668,000,000","4,182,000,000","3,531,000,000","3,068,000,000","2,748,000,000","3,655,200,000","2,264,800,000","2,172,600,000","2,103,300,000","2,334,600,000","2,365,500,000","2,532,700,000","1,246,300,000","1,016,300,000","944,200,000","1,193,800,000"
	ResearchAndDevelopment,"96,000,000","96,000,000","71,000,000","125,000,000","341,000,000","392,000,000","392,000,000","456,000,000","480,000,000","440,000,000","407,000,000","376,000,000","364,000,000","347,000,000","284,000,000","223,000,000","182,000,000","172,700,000","149,400,000","135,100,000","147,500,000","112,600,000","114,700,000",,,,
	SellingGeneralAndAdministration,"9,168,000,000","9,168,000,000","8,403,000,000","8,138,000,000","7,466,000,000","7,276,000,000","7,901,000,000","5,418,000,000","4,198,000,000","3,829,000,000","3,529,000,000","3,312,000,000","3,818,000,000","3,189,000,000","2,790,000,000","2,480,000,000","2,273,200,000","2,092,100,000","2,023,200,000","1,946,200,000","2,075,500,000","2,051,600,000","2,218,700,000","1,159,100,000","944,500,000","872,900,000","1,124,000,000"
	OperatingExpense,"9,264,000,000","9,264,000,000","8,474,000,000","8,263,000,000","7,807,000,000","7,668,000,000","8,293,000,000","5,874,000,000","4,678,000,000","4,269,000,000","3,936,000,000","3,668,000,000","4,182,000,000","3,531,000,000","3,068,000,000","2,748,000,000","3,655,200,000","2,264,800,000","2,172,600,000","2,103,300,000","2,334,600,000","2,365,500,000","2,532,700,000","1,246,300,000","1,016,300,000","944,200,000","1,193,800,000"
OperatingIncome,"2,759,000,000","2,759,000,000","3,280,000,000","2,921,000,000","3,464,000,000","3,748,000,000","3,118,000,000","2,435,000,000","2,306,000,000","2,298,000,000","2,034,000,000","2,008,000,000","1,196,000,000","1,478,000,000","1,264,000,000","1,114,000,000","-190,500,000","983,400,000","929,900,000","693,600,000","96,400,000","158,200,000","332,200,000","362,200,000","92,800,000","274,100,000","-30,100,000"
InterestExpense,"249,000,000","249,000,000","264,000,000","283,000,000","308,000,000","353,000,000","374,000,000","303,000,000","240,000,000","251,000,000","222,000,000","187,000,000","144,000,000",,,,,,,,,,,,,,
OtherIncomeExpense,"-1,415,000,000","-1,415,000,000","-2,445,000,000","-2,447,000,000","3,706,000,000","-163,000,000","-107,000,000","-59,000,000","-169,000,000","-147,000,000","-177,000,000","43,000,000","12,000,000","37,000,000","35,000,000","93,000,000","-1,131,300,000","48,200,000","46,500,000","4,700,000","-80,600,000","269,100,000",,,,,"5,400,000"
PretaxIncome,"1,144,000,000","1,144,000,000","610,000,000","239,000,000","6,891,000,000","3,250,000,000","2,657,000,000","2,096,000,000","1,919,000,000","1,919,000,000","1,635,000,000","1,864,000,000","1,064,000,000","1,457,000,000","1,297,000,000","1,158,000,000","-239,800,000","911,400,000","855,400,000","601,200,000","9,600,000","306,900,000","202,000,000","253,500,000","36,400,000","224,100,000","-81,700,000"
TaxProvision,"18,000,000","18,000,000","356,000,000","-53,000,000","1,614,000,000","908,000,000","815,000,000","742,000,000","581,000,000","516,000,000","505,000,000","601,000,000","241,000,000","468,000,000","329,000,000","421,000,000","-83,100,000","264,900,000","293,300,000","182,600,000","52,300,000","122,300,000","117,100,000","98,600,000","31,300,000","88,700,000","111,500,000"
NetIncomeContinuousOperations,"1,126,000,000","1,126,000,000","254,000,000","292,000,000","5,277,000,000","2,342,000,000","1,842,000,000","1,354,000,000","1,338,000,000","1,403,000,000","1,130,000,000","1,263,000,000","823,000,000","989,000,000","968,000,000","737,000,000","-156,700,000","646,500,000","562,100,000","418,600,000","-42,700,000","184,600,000","84,900,000","154,900,000","5,100,000","135,400,000","-193,200,000"
NetIncome,"900,000,000","900,000,000","34,000,000","67,000,000","5,070,000,000","2,258,000,000","1,476,000,000","1,263,000,000","1,338,000,000","1,403,000,000","1,202,000,000","1,263,000,000","823,000,000","990,000,000","913,000,000","751,000,000","-156,700,000","646,500,000","555,400,000","418,600,000","-48,300,000","723,700,000","84,900,000","154,900,000","133,900,000","135,400,000","404,500,000"
NetIncomeCommonStockholders,"900,000,000","900,000,000","34,000,000","67,000,000","5,070,000,000","2,258,000,000","1,476,000,000","1,263,000,000","1,338,000,000","1,403,000,000","1,202,000,000","1,263,000,000","823,000,000","990,000,000","913,000,000","751,000,000","-156,700,000","646,500,000","555,400,000","418,600,000","-48,300,000","723,700,000","84,900,000","154,900,000","133,200,000","135,400,000","404,500,000"
BasicEPS,,,"0.17","0.32","22.95","9.82","6.37","5.51","5.71","5.7","4.65","4.7","2.99","3.4","3.06","2.46","-0.53","2.23","1.92","1.47","-0.17","2.57","0.31","0.845","1.505","1.45","4.6"
DilutedEPS,,,"0.17","0.32","22.73","9.7","6.27","5.41","5.59","5.59","4.57","4.62","2.95","3.32","2.99","2.38","-0.53","2.19","1.88","1.43","-0.17","2.57","0.31","0.795","1.49","1.45","4.6"
BasicAverageShares,,,"196,000,000","208,000,000","221,000,000","230,000,000","232,000,000","229,000,000","235,000,000","246,000,000","258,000,000","269,000,000","275,000,000","291,000,000","298,000,000","306,000,000","293,500,000","290,000,000","289,300,000","285,200,000","283,100,000","281,300,000","275,200,000","202,400,000","89,000,000","93,400,000","87,934,783"
DilutedAverageShares,,,"197,000,000","209,000,000","223,000,000","233,000,000","235,000,000","233,000,000","239,000,000","251,000,000","263,000,000","273,000,000","279,000,000","298,000,000","305,000,000","316,000,000","293,500,000","298,600,000","298,800,000","298,100,000","283,100,000","281,300,000","289,800,000","202,400,000","90,200,000","93,400,000","87,934,783"
Ebitda,,"2,315,000,000","1,823,000,000","1,473,000,000","8,109,000,000","4,488,000,000","4,048,000,000","3,103,000,000","2,750,000,000","2,721,000,000","1,996,000,000","2,525,000,000","1,649,000,000","1,849,000,000","1,559,000,000","1,380,000,000","60,400,000","1,215,500,000","1,133,600,000","901,100,000","342,500,000","359,500,000","531,500,000","449,400,000","164,600,000","345,400,000","39,700,000"
