name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"84,397,000,000","82,637,000,000","87,872,000,000","95,377,000,000","101,779,000,000","98,335,000,000","105,645,000,000","106,132,000,000","105,128,000,000","105,781,000,000","112,089,700,000","47,195,700,000","48,350,700,000","44,569,800,000","44,845,800,000","42,572,800,000","40,587,500,000","47,561,200,000","44,006,700,000","39,910,400,000","35,634,900,000","31,853,400,000","25,811,900,000","24,293,100,000","23,831,800,000","21,856,600,000","19,927,500,000","11,086,000,000","9,498,500,000","8,029,800,000","6,756,700,000","6,127,500,000","5,680,000,000","5,105,200,000","4,902,200,000"
	CurrentAssets,"27,483,000,000","25,875,000,000","24,766,000,000","30,614,000,000","29,764,000,000","33,173,000,000","35,685,000,000","34,857,000,000","33,181,000,000","29,064,000,000","28,428,600,000","19,304,900,000","15,045,400,000","15,230,200,000","21,049,300,000","13,475,200,000","11,527,200,000","14,833,900,000","12,961,600,000","13,353,400,000","11,259,200,000","10,228,500,000","8,213,000,000","7,726,600,000","8,617,500,000","6,921,700,000","5,734,600,000","4,399,700,000","4,310,800,000","3,766,300,000","3,409,800,000","3,389,300,000","3,006,900,000","2,511,300,000","2,310,000,000"
		CashCashEquivalentsAndShortTermInvestments,"10,450,000,000","8,864,000,000","8,498,000,000","14,341,000,000","13,427,000,000","15,719,000,000","17,486,000,000","16,141,000,000","14,972,000,000","12,201,000,000","9,604,500,000","5,486,400,000","8,230,800,000","8,713,000,000","15,637,600,000","7,089,900,000","4,173,000,000","4,971,200,000","3,286,600,000","4,254,600,000","3,202,400,000","2,606,200,000","1,125,100,000","1,352,400,000","1,847,400,000","1,604,000,000","829,400,000","575,100,000","797,900,000","806,400,000","685,100,000","1,550,000,000","1,148,200,000","965,800,000","842,000,000"
			CashAndCashEquivalents,"9,676,000,000","7,965,000,000","6,092,000,000","6,515,000,000","8,524,000,000","7,441,000,000","15,621,000,000","13,451,000,000","13,531,000,000","10,900,000,000","9,311,400,000","4,368,300,000","5,336,100,000","5,914,700,000","9,585,300,000","2,878,800,000","1,201,000,000","2,243,000,000","2,144,000,000","2,536,800,000","2,021,900,000","2,606,200,000","1,125,100,000","1,352,400,000","1,847,400,000","1,604,000,000","829,400,000","575,100,000","797,900,000","806,400,000","685,100,000","1,550,000,000","1,148,200,000","965,800,000","842,000,000"
			OtherShortTermInvestments,"774,000,000","899,000,000","2,406,000,000","7,826,000,000","4,903,000,000","8,278,000,000","1,865,000,000","2,690,000,000","1,441,000,000","1,301,000,000","293,100,000","1,118,100,000","2,894,700,000","2,798,300,000","6,052,300,000","4,211,100,000","2,972,000,000","2,728,200,000","1,142,600,000","1,717,800,000","1,180,500,000",,,,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"10,450,000,000","8,864,000,000","8,498,000,000","14,341,000,000","13,427,000,000","15,719,000,000","17,486,000,000","16,141,000,000","14,972,000,000","12,201,000,000","9,604,500,000","5,486,400,000","8,230,800,000","8,713,000,000","15,637,600,000","7,089,900,000","4,173,000,000","4,971,200,000","3,286,600,000","4,254,600,000","3,202,400,000","2,606,200,000","1,125,100,000","1,352,400,000","1,847,400,000","1,604,000,000","829,400,000","575,100,000","797,900,000","806,400,000","685,100,000","1,550,000,000","1,148,200,000","965,800,000","842,000,000"
		AccountsReceivable,"6,778,000,000","7,071,000,000","6,873,000,000","7,018,000,000","6,484,000,000","6,626,000,000","7,184,000,000","7,672,000,000","8,261,000,000","7,344,000,000","6,602,900,000","3,778,900,000","3,636,200,000","3,314,800,000","2,927,300,000","3,627,700,000","4,023,600,000","5,423,400,000","5,215,400,000","5,017,900,000","4,089,000,000",,,,,,,,,,,,,,
		Inventory,"5,978,000,000","5,440,000,000","5,096,000,000","4,866,000,000","4,700,000,000","5,571,000,000","6,226,000,000","6,535,000,000","6,254,000,000","5,868,000,000","8,055,300,000","2,283,300,000","1,881,000,000","1,769,400,000","1,658,100,000","1,898,700,000","2,554,700,000","3,411,800,000","3,579,300,000","3,021,500,000","2,846,900,000","2,623,900,000","2,145,100,000","2,148,800,000","1,872,500,000","1,660,900,000","1,641,700,000","1,182,600,000","991,300,000","892,600,000","779,700,000","657,700,000","659,600,000","579,800,000","544,900,000"
		OtherCurrentAssets,"4,277,000,000","4,500,000,000","4,299,000,000","4,389,000,000","5,153,000,000",,,,,,,,,,,,,,,,"1,120,900,000","1,624,300,000","2,066,100,000","1,569,500,000","2,401,900,000","639,600,000","456,300,000","905,100,000","976,100,000","721,500,000","679,400,000","158,800,000","122,600,000","59,000,000","58,800,000"
		CurrentAssets,"27,483,000,000","25,875,000,000","24,766,000,000","30,614,000,000","29,764,000,000","33,173,000,000","35,685,000,000","34,857,000,000","33,181,000,000","29,064,000,000","28,428,600,000","19,304,900,000","15,045,400,000","15,230,200,000","21,049,300,000","13,475,200,000","11,527,200,000","14,833,900,000","12,961,600,000","13,353,400,000","11,259,200,000","10,228,500,000","8,213,000,000","7,726,600,000","8,617,500,000","6,921,700,000","5,734,600,000","4,399,700,000","4,310,800,000","3,766,300,000","3,409,800,000","3,389,300,000","3,006,900,000","2,511,300,000","2,310,000,000"
	TotalNonCurrentAssets,"56,914,000,000","56,762,000,000","63,106,000,000","64,763,000,000","72,015,000,000","65,162,000,000","69,960,000,000","71,275,000,000","71,947,000,000","76,717,000,000","83,661,100,000","27,890,800,000","33,305,300,000","29,339,600,000","23,796,500,000","29,097,600,000","29,060,300,000","32,727,300,000","31,045,100,000","26,557,000,000","24,375,700,000","21,624,900,000","17,598,900,000","16,566,500,000","15,214,300,000","14,934,900,000","14,192,900,000","6,686,300,000","5,187,700,000","4,263,500,000","3,346,900,000","2,738,200,000","2,673,100,000","2,593,900,000","2,592,200,000"
		NetPPE,"15,053,000,000","13,291,000,000","12,439,000,000","12,026,000,000","12,507,000,000","13,136,000,000","14,973,000,000","16,030,000,000","16,297,000,000","17,082,000,000","18,273,500,000","11,999,600,000","12,346,000,000","13,194,100,000","14,398,200,000","14,713,700,000","14,169,000,000","14,195,600,000","13,103,400,000","11,482,100,000","9,676,700,000","7,843,800,000","6,609,400,000","5,926,700,000","5,269,100,000","5,296,300,000","4,894,600,000","4,271,100,000","3,504,500,000","2,721,700,000","2,292,500,000","2,070,700,000","1,948,000,000","1,906,200,000","1,882,800,000"
			GrossPPE,"32,739,000,000","29,615,000,000","29,041,000,000","27,775,000,000","28,430,000,000","31,140,000,000","33,094,000,000","33,415,000,000","32,473,000,000","30,563,000,000","30,868,100,000","24,128,200,000","24,803,100,000","24,209,500,000","23,713,300,000","22,808,600,000","21,293,700,000","20,983,600,000","18,956,500,000","16,707,200,000","14,347,000,000","11,886,600,000","10,032,600,000","8,726,400,000","7,709,000,000","7,672,900,000","7,172,800,000","6,530,900,000","5,606,800,000","4,630,500,000","3,993,900,000","3,590,500,000","3,337,300,000","3,154,000,000","2,989,500,000"
			AccumulatedDepreciation,"-17,686,000,000","-16,324,000,000","-16,602,000,000","-15,749,000,000","-15,923,000,000","-18,004,000,000","-18,121,000,000","-17,385,000,000","-16,176,000,000","-13,481,000,000","-12,594,600,000","-12,128,600,000","-12,457,100,000","-11,015,400,000","-9,315,100,000","-8,094,900,000","-7,124,700,000","-6,788,000,000","-5,853,100,000","-5,225,100,000","-4,670,300,000","-4,042,800,000","-3,423,200,000","-2,799,700,000","-2,439,900,000","-2,376,600,000","-2,278,200,000","-2,259,800,000","-2,102,300,000","-1,908,800,000","-1,701,400,000","-1,519,800,000","-1,389,300,000","-1,247,800,000","-1,106,700,000"
			NetPPE,"15,053,000,000","13,291,000,000","12,439,000,000","12,026,000,000","12,507,000,000","13,136,000,000","14,973,000,000","16,030,000,000","16,297,000,000","17,082,000,000","18,273,500,000","11,999,600,000","12,346,000,000","13,194,100,000","14,398,200,000","14,713,700,000","14,169,000,000","14,195,600,000","13,103,400,000","11,482,100,000","9,676,700,000","7,843,800,000","6,609,400,000","5,926,700,000","5,269,100,000","5,296,300,000","4,894,600,000","4,271,100,000","3,504,500,000","2,721,700,000","2,292,500,000","2,070,700,000","1,948,000,000","1,906,200,000","1,882,800,000"
		InvestmentsAndAdvances,"1,469,000,000","6,233,000,000","12,125,000,000","11,416,000,000","13,039,000,000","13,515,000,000","9,770,000,000","7,305,000,000","3,458,000,000","2,175,000,000","432,300,000",,,,,,,,,,,,,,,,,,,,,,,,
		Goodwill,"19,425,000,000","18,253,000,000","18,284,000,000","18,162,000,000","17,723,000,000","12,992,000,000","12,301,000,000","12,134,000,000","12,155,000,000","12,378,000,000","11,923,100,000","1,438,700,000","1,454,800,000","1,431,600,000",,,,,,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"14,196,000,000","11,431,000,000","14,183,000,000","17,305,000,000","22,602,000,000","20,386,000,000","23,801,000,000","29,083,000,000","34,302,000,000","39,456,000,000","47,655,800,000","525,400,000","713,200,000","943,900,000","1,604,400,000","1,764,900,000","1,949,400,000","7,241,000,000","7,476,500,000","7,374,200,000","7,584,200,000","8,287,200,000","6,780,500,000","6,736,600,000","6,826,300,000","7,212,300,000","6,645,500,000","153,500,000",,,,,,,"97,100,000"
		OtherNonCurrentAssets,"6,771,000,000","7,554,000,000","6,075,000,000","5,854,000,000","6,144,000,000","5,133,000,000","9,115,000,000","6,723,000,000","5,735,000,000","5,626,000,000","5,376,400,000","13,927,100,000","18,791,300,000","13,770,000,000","7,793,900,000","12,619,000,000","12,941,900,000","11,290,700,000","10,465,200,000","7,700,700,000","7,114,800,000","5,493,900,000","4,209,000,000","3,903,200,000","3,118,900,000","2,426,300,000","2,652,800,000","2,261,700,000","1,683,200,000","1,541,800,000","1,054,400,000","667,500,000","725,100,000","687,700,000","612,300,000"
		TotalNonCurrentAssets,"56,914,000,000","56,762,000,000","63,106,000,000","64,763,000,000","72,015,000,000","65,162,000,000","69,960,000,000","71,275,000,000","71,947,000,000","76,717,000,000","83,661,100,000","27,890,800,000","33,305,300,000","29,339,600,000","23,796,500,000","29,097,600,000","29,060,300,000","32,727,300,000","31,045,100,000","26,557,000,000","24,375,700,000","21,624,900,000","17,598,900,000","16,566,500,000","15,214,300,000","14,934,900,000","14,192,900,000","6,686,300,000","5,187,700,000","4,263,500,000","3,346,900,000","2,738,200,000","2,673,100,000","2,593,900,000","2,592,200,000"
	TotalAssets,"84,397,000,000","82,637,000,000","87,872,000,000","95,377,000,000","101,779,000,000","98,335,000,000","105,645,000,000","106,132,000,000","105,128,000,000","105,781,000,000","112,089,700,000","47,195,700,000","48,350,700,000","44,569,800,000","44,845,800,000","42,572,800,000","40,587,500,000","47,561,200,000","44,006,700,000","39,910,400,000","35,634,900,000","31,853,400,000","25,811,900,000","24,293,100,000","23,831,800,000","21,856,600,000","19,927,500,000","11,086,000,000","9,498,500,000","8,029,800,000","6,756,700,000","6,127,500,000","5,680,000,000","5,105,200,000","4,902,200,000"
