name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"47,194,000,000","46,840,000,000","42,294,000,000","40,122,000,000","39,807,000,000","39,498,000,000","42,237,000,000","44,033,000,000","47,267,000,000","48,047,000,000","45,987,000,000","27,428,300,000","23,850,300,000","24,197,700,000","22,636,000,000","22,011,900,000","22,938,600,000","22,485,900,000","51,790,300,000","47,715,700,000","40,363,200,000","32,714,000,000","26,898,200,000","23,636,900,000","19,828,700,000","16,681,100,000","14,969,800,000","10,498,200,000","9,662,500,000","8,602,700,000","7,671,500,000","6,550,500,000","5,939,500,000","5,061,300,000","4,128,900,000","3,547,500,000"
CostOfRevenue,"14,130,000,000","14,112,000,000","13,509,000,000","12,775,000,000","13,891,000,000","14,934,000,000","16,768,000,000","16,954,000,000","16,446,000,000","16,871,000,000","18,396,000,000","9,018,900,000","5,582,500,000","6,140,700,000","6,001,100,000","5,149,600,000","4,959,800,000","4,315,300,000","33,053,600,000","28,976,500,000","21,166,200,000","16,706,800,000","13,174,600,000","10,953,200,000","8,588,300,000","6,789,100,000","5,281,100,000","2,111,100,000","1,774,700,000","1,671,100,000","1,524,100,000","1,328,600,000","1,321,200,000","1,234,300,000","1,144,100,000","1,089,900,000"
GrossProfit,"33,064,000,000","32,728,000,000","28,785,000,000","27,347,000,000","25,916,000,000","24,564,000,000","25,469,000,000","27,079,000,000","30,821,000,000","31,176,000,000","27,591,000,000","18,409,400,000","18,267,800,000","18,057,000,000","16,634,900,000","16,862,300,000","17,978,800,000","18,170,600,000","18,736,700,000","18,739,200,000","19,197,000,000","16,007,200,000","13,723,600,000","12,683,700,000","11,240,400,000","9,892,000,000","9,688,700,000","8,387,100,000","7,887,800,000","6,931,600,000","6,147,400,000","5,221,900,000","4,618,300,000","3,827,000,000","2,984,800,000","2,457,600,000"
OperatingExpense,"20,494,000,000","20,487,000,000","19,854,000,000","20,038,000,000","19,886,000,000","17,017,000,000","18,786,000,000","19,414,000,000","20,944,000,000","22,200,000,000","24,236,000,000","14,388,200,000","12,182,300,000","12,439,500,000","12,948,300,000","11,003,500,000","11,356,500,000","9,713,800,000","9,068,900,000","9,010,900,000","10,107,900,000","8,413,000,000","7,347,600,000","7,017,200,000","6,255,700,000","5,488,400,000","5,283,600,000","4,501,400,000","4,396,300,000","3,821,900,000","3,496,000,000","2,985,600,000","2,751,500,000","2,457,800,000","1,943,600,000","1,617,800,000"
	ResearchAndDevelopment,"10,084,000,000","9,872,000,000","9,752,000,000","10,208,000,000","10,124,000,000","6,704,000,000","7,180,000,000","7,503,000,000","8,168,000,000","8,467,000,000","10,991,000,000","5,845,000,000","4,805,300,000","4,882,800,000","4,782,900,000","3,848,000,000","4,010,200,000","3,178,100,000","2,677,200,000","2,456,400,000","2,343,800,000","2,068,300,000","1,821,100,000","1,683,700,000","1,487,300,000","1,331,400,000","1,230,600,000","1,172,800,000",,,,,,,,
	SellingGeneralAndAdministration,"10,410,000,000","10,615,000,000","10,102,000,000","9,830,000,000","9,762,000,000","10,313,000,000","11,606,000,000","11,911,000,000","12,776,000,000","13,733,000,000","13,245,000,000","8,543,200,000","7,377,000,000","7,556,700,000","8,165,400,000","7,155,500,000","7,346,300,000","6,394,900,000","6,186,800,000","6,224,400,000","6,167,700,000","5,199,900,000","4,511,400,000","4,299,200,000","3,841,300,000","3,297,800,000","3,177,500,000","2,913,900,000","4,074,900,000","3,558,100,000","3,242,000,000","2,763,900,000","2,546,600,000","2,247,800,000","1,749,700,000","1,330,600,000"
	OperatingExpense,"20,494,000,000","20,487,000,000","19,854,000,000","20,038,000,000","19,886,000,000","17,017,000,000","18,786,000,000","19,414,000,000","20,944,000,000","22,200,000,000","24,236,000,000","14,388,200,000","12,182,300,000","12,439,500,000","12,948,300,000","11,003,500,000","11,356,500,000","9,713,800,000","9,068,900,000","9,010,900,000","10,107,900,000","8,413,000,000","7,347,600,000","7,017,200,000","6,255,700,000","5,488,400,000","5,283,600,000","4,501,400,000","4,396,300,000","3,821,900,000","3,496,000,000","2,985,600,000","2,751,500,000","2,457,800,000","1,943,600,000","1,617,800,000"
OperatingIncome,"12,570,000,000","12,241,000,000","8,931,000,000","7,309,000,000","6,030,000,000","7,547,000,000","6,683,000,000","7,665,000,000","9,877,000,000","8,976,000,000","3,355,000,000","4,021,200,000","6,085,500,000","5,617,500,000","3,686,600,000","5,858,800,000","6,622,300,000","8,456,800,000","9,667,800,000","9,728,300,000","9,089,100,000","7,594,200,000","6,376,000,000","5,666,500,000","4,984,700,000","4,403,600,000","4,405,100,000","3,885,700,000","3,491,500,000","3,109,700,000","2,651,400,000","2,236,300,000","1,866,800,000","1,369,200,000","1,041,200,000","839,800,000"
InterestExpense,,"893,000,000","772,000,000","754,000,000","693,000,000","672,000,000","732,000,000","801,000,000","714,000,000","749,000,000","715,000,000","458,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"266,000,000","-158,000,000","199,000,000","-419,000,000","-1,006,000,000","-1,763,000,000","11,066,000,000","-1,583,000,000","-656,000,000","-1,092,000,000","-1,070,000,000","11,518,400,000","3,466,100,000","-2,482,200,000","2,266,100,000","1,531,500,000","1,500,000,000","805,700,000","731,500,000","939,500,000","1,057,500,000","1,199,800,000","2,125,100,000","1,057,100,000","838,900,000","584,200,000","227,900,000","-648,000,000","72,100,000","57,000,000","47,400,000","46,700,000","4,200,000","36,000,000","101,000,000","85,400,000"
PretaxIncome,"12,495,000,000","11,464,000,000","8,701,000,000","6,521,000,000","4,659,000,000","5,401,000,000","17,283,000,000","5,545,000,000","8,739,000,000","7,334,000,000","1,653,000,000","15,291,800,000","9,807,800,000","3,370,700,000","6,221,400,000","7,363,900,000","7,974,500,000","9,051,600,000","10,213,600,000","10,402,600,000","9,824,100,000","8,619,500,000","8,133,100,000","6,462,300,000","5,540,800,000","4,797,200,000","4,415,200,000","3,102,700,000","3,563,600,000","3,166,700,000","2,698,800,000","2,283,000,000","1,871,000,000","1,405,200,000","1,073,300,000","857,000,000"
TaxProvision,"1,995,000,000","1,687,000,000","2,508,000,000","4,103,000,000","718,000,000","942,000,000","5,349,000,000","1,028,000,000","2,440,000,000","942,000,000","671,000,000","2,267,600,000","1,999,400,000","95,300,000","1,787,600,000","2,732,600,000","2,161,100,000","2,462,000,000","3,064,100,000","3,120,800,000","3,002,400,000","2,729,000,000","2,884,900,000","1,848,200,000","1,659,500,000","1,462,000,000","1,418,200,000","936,500,000","1,117,000,000","1,045,000,000","917,600,000","787,600,000","664,200,000","498,800,000","397,600,000","317,100,000"
NetIncomeContinuousOperations,"10,500,000,000","9,777,000,000","6,193,000,000","2,418,000,000","3,941,000,000","4,459,000,000","11,934,000,000","4,517,000,000","6,299,000,000","6,392,000,000","982,000,000","13,024,200,000","7,808,400,000","3,275,400,000","4,433,800,000","4,631,300,000","5,813,400,000","6,589,600,000","7,149,500,000","7,281,800,000","6,821,700,000","5,890,500,000","5,248,200,000","4,614,100,000","3,881,300,000","3,335,200,000","2,997,000,000","2,166,200,000","2,446,600,000","2,121,700,000","1,781,200,000","1,495,400,000","1,206,800,000","906,400,000","675,700,000","539,900,000"
NetIncome,"10,479,000,000","9,843,000,000","6,220,000,000","2,394,000,000","3,920,000,000","4,442,000,000","11,920,000,000","4,404,000,000","6,168,000,000","6,272,000,000","861,000,000","12,901,300,000","7,808,400,000","3,275,400,000","4,433,800,000","4,631,300,000","5,813,400,000","6,830,900,000","7,149,500,000","7,281,800,000","6,821,700,000","5,890,500,000","5,248,200,000","4,614,100,000","3,881,300,000","3,335,200,000","2,997,000,000","2,166,200,000","1,984,200,000","2,121,700,000","1,781,200,000","1,495,400,000","1,206,800,000","906,400,000","675,700,000","539,900,000"
NetIncomeCommonStockholders,"10,479,000,000","9,843,000,000","6,220,000,000","2,394,000,000","3,920,000,000","4,442,000,000","11,920,000,000","4,404,000,000","6,165,000,000","6,257,000,000","861,000,000","12,899,200,000","7,808,400,000","3,275,400,000","4,433,800,000","4,631,300,000","5,813,400,000","6,830,900,000","7,149,500,000","7,281,800,000","6,821,700,000","5,890,500,000","5,248,200,000","4,614,100,000","3,881,300,000","3,335,200,000","2,997,000,000","2,166,200,000","1,984,200,000","2,121,700,000","1,781,200,000","1,495,400,000","1,206,800,000","906,400,000","675,700,000","539,900,000"
BasicEPS,,"3.877","2.399","0.952","2.07","1.597","4.2","1.504","2.201","2.063","0.28","4.15","3.66","1.51","2.04","2.11","2.62","3.05","3.17","3.18","2.96","2.51","2.21","1.915","1.6","1.35","1.19","0.94","1.06","0.92","0.76","0.63","0.51","0.37","0.27","0.21"
DilutedEPS,,"3.81","2.32","0.93","2.04","1.56","4.07","1.47","2.16","2.02","0.28","4.15","3.64","1.49","2.03","2.1","2.61","3.03","3.14","3.14","2.9","2.45","2.15","1.87","1.565","1.32","1.175","0.93","1.05","0.91","0.76","0.63","0.51","0.37","0.27","0.21"
BasicAverageShares,,"2,539,016,026","2,592,559,543","2,696,611,608","2,748,731,322","2,781,128,073","2,838,140,196","2,927,526,714","3,026,635,301","3,040,838,643","3,095,000,000","2,108,500,000","2,135,800,000","2,170,500,000","2,177,600,000","2,197,000,000","2,219,000,000","2,236,700,000","2,257,500,000","2,288,300,000","2,306,900,000","2,349,000,000","2,378,800,000","2,409,000,000","2,427,200,000","2,472,200,000","2,514,400,000","2,304,468,085","1,871,886,792","2,306,195,652","2,343,684,211","2,373,650,794","2,366,274,510","2,449,729,730","2,502,592,593","2,570,952,381"
DilutedAverageShares,,"2,580,000,000","2,679,000,000","2,748,000,000","2,787,000,000","2,841,000,000","2,928,000,000","2,996,000,000","3,076,000,000","3,094,000,000","3,120,000,000","2,273,200,000","2,145,300,000","2,192,900,000","2,187,700,000","2,200,400,000","2,226,400,000","2,253,100,000","2,277,000,000","2,322,300,000","2,353,200,000","2,404,600,000","2,441,100,000","2,469,400,000","2,490,400,000","2,526,666,667","2,552,400,000","2,329,247,312","1,889,714,286","2,331,538,462","2,343,684,211","2,373,650,794","2,366,274,510","2,449,729,730","2,502,592,593","2,570,952,381"
Ebitda,,"16,009,000,000","13,992,000,000","11,912,000,000","10,793,000,000","12,448,000,000","24,706,000,000","13,334,000,000","16,431,000,000","15,510,000,000","9,749,000,000","18,325,800,000","7,716,700,000","7,605,700,000","5,955,000,000","7,566,900,000","8,073,000,000","9,771,000,000","11,156,100,000","11,192,100,000","10,685,500,000","8,739,000,000","7,391,100,000","6,700,800,000","5,911,800,000","5,262,800,000","5,280,600,000","4,300,400,000","3,812,900,000","3,373,500,000","2,905,400,000","2,458,000,000","2,071,700,000","1,579,200,000","1,235,100,000","1,022,300,000"
