name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"31,255,500,000","32,734,900,000","35,806,300,000","34,726,200,000","22,267,700,000","15,886,600,000","15,236,341,000","11,931,897,000","11,598,143,000","11,536,804,000","10,801,734,000","10,409,859,000","11,353,176,000","4,253,867,000","1,870,526,000","2,135,673,000","1,875,290,000","1,745,223,000","1,616,710,000","1,465,973,000","1,341,230,000","1,206,700,000","847,800,000","777,600,000","692,000,000","546,200,000","403,300,000","351,100,000","226,700,000","169,600,000","137,500,000","112,700,000","108,800,000","80,300,000","56,000,000"
	CurrentAssets,"6,757,300,000","6,367,700,000","7,213,300,000","7,522,500,000","6,472,700,000","6,786,900,000","4,471,260,000","3,902,717,000","3,568,844,000","3,559,443,000","3,285,386,000","3,174,673,000","3,059,301,000","2,412,044,000","1,191,900,000","1,528,452,000","1,317,841,000","1,228,211,000","1,062,082,000","879,224,000","686,746,000","583,000,000","430,100,000","379,000,000","379,300,000","331,400,000","209,600,000","180,500,000","120,000,000","83,400,000","62,900,000","67,800,000","75,600,000","57,700,000","44,500,000"
		CashCashEquivalentsAndShortTermInvestments,"584,700,000","479,400,000","292,100,000","998,800,000","1,236,000,000","225,500,000","291,293,000","349,969,000","405,742,000","691,137,000","408,075,000","599,407,000","575,563,000","1,426,572,000","518,127,000","808,081,000","687,158,000","686,806,000","617,056,000","284,898,000","303,050,000","189,800,000","103,800,000","126,200,000","177,000,000","127,300,000","75,500,000","98,200,000","60,300,000","37,500,000","21,900,000","29,900,000","38,100,000","26,200,000","15,000,000"
			CashAndCashEquivalents,"475,600,000","388,100,000","292,100,000","998,800,000","1,236,000,000","225,500,000","291,293,000","349,969,000","375,056,000","662,052,000","380,516,000","557,147,000","484,202,000","1,252,365,000","150,124,000","137,733,000","101,713,000","258,902,000","160,790,000","229,183,000","203,493,000","189,800,000","103,800,000","126,200,000","177,000,000","127,300,000","75,500,000","98,200,000","60,300,000","37,500,000","21,900,000","29,900,000","38,100,000","26,200,000","15,000,000"
			OtherShortTermInvestments,"109,100,000","91,300,000",,,,,,,"30,686,000","29,085,000","27,559,000","42,260,000","91,361,000","174,207,000","368,003,000","670,348,000","585,445,000","427,904,000","456,266,000","55,715,000","99,557,000",,,,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"584,700,000","479,400,000","292,100,000","998,800,000","1,236,000,000","225,500,000","291,293,000","349,969,000","405,742,000","691,137,000","408,075,000","599,407,000","575,563,000","1,426,572,000","518,127,000","808,081,000","687,158,000","686,806,000","617,056,000","284,898,000","303,050,000","189,800,000","103,800,000","126,200,000","177,000,000","127,300,000","75,500,000","98,200,000","60,300,000","37,500,000","21,900,000","29,900,000","38,100,000","26,200,000","15,000,000"
		AccountsReceivable,"2,640,100,000","2,416,500,000","3,173,100,000","3,015,400,000","2,689,100,000","2,268,500,000","1,820,273,000","1,554,342,000","1,426,438,000","1,157,081,000","1,234,634,000","1,164,613,000","1,132,121,000","350,294,000","242,193,000","297,334,000","191,094,000","187,587,000","145,491,000","232,599,000",,,,,,,,,,,,,,,
		Inventory,"2,670,900,000","2,580,200,000","2,542,700,000","2,456,400,000","1,951,000,000","1,651,400,000","1,664,693,000","1,525,242,000","1,396,742,000","1,240,271,000","1,114,219,000","1,065,990,000","1,063,840,000","429,111,000","279,008,000","286,267,000","320,797,000","237,777,000","195,074,000","161,810,000","145,869,000","136,500,000","146,000,000","100,900,000","100,600,000","78,200,000","58,000,000","45,900,000","35,100,000","29,100,000","23,200,000","22,900,000","20,000,000","16,600,000","14,600,000"
		OtherCurrentAssets,"270,700,000","295,300,000",,,"596,600,000","2,641,500,000",,"473,164,000",,"446,982,000","480,493,000","346,614,000",,,,,,"11,868,000","11,819,000","140,443,000","40,067,000","107,800,000","43,400,000","36,600,000","29,700,000","67,600,000","7,700,000","4,000,000","2,200,000","700,000","400,000","1,000,000","900,000","1,000,000","800,000"
		CurrentAssets,"6,757,300,000","6,367,700,000","7,213,300,000","7,522,500,000","6,472,700,000","6,786,900,000","4,471,260,000","3,902,717,000","3,568,844,000","3,559,443,000","3,285,386,000","3,174,673,000","3,059,301,000","2,412,044,000","1,191,900,000","1,528,452,000","1,317,841,000","1,228,211,000","1,062,082,000","879,224,000","686,746,000","583,000,000","430,100,000","379,000,000","379,300,000","331,400,000","209,600,000","180,500,000","120,000,000","83,400,000","62,900,000","67,800,000","75,600,000","57,700,000","44,500,000"
	TotalNonCurrentAssets,"24,498,200,000","26,367,200,000","28,593,000,000","27,203,700,000","15,795,000,000","9,099,700,000","10,765,081,000","8,029,180,000","8,029,299,000","7,977,361,000","7,516,348,000","7,235,186,000","8,293,875,000","1,841,823,000","678,626,000","607,221,000","557,449,000","517,012,000","554,628,000","586,749,000","654,484,000","623,700,000","417,700,000","398,600,000","312,700,000","214,800,000","193,700,000","170,600,000","106,700,000","86,200,000","74,600,000","44,900,000","33,200,000","22,600,000","11,500,000"
		NetPPE,"2,404,200,000","2,170,200,000","2,339,100,000","2,322,200,000","1,983,900,000","1,785,700,000","1,663,076,000","1,397,216,000","1,298,034,000","1,209,342,000","1,122,648,000","1,063,996,000","1,102,932,000","686,739,000","406,875,000","336,719,000","273,051,000","178,330,000","166,531,000","168,396,000","168,000,000","154,600,000","151,400,000","135,800,000","121,800,000","92,300,000","82,500,000","68,500,000","42,200,000","33,500,000","30,900,000","27,800,000","26,900,000","19,300,000","11,500,000"
			GrossPPE,"4,377,500,000","3,974,500,000","4,002,200,000","3,807,900,000","3,294,000,000","2,955,800,000","2,725,835,000","2,484,011,000","2,371,084,000","2,173,579,000","1,958,791,000","1,757,596,000","1,751,943,000","940,646,000","617,613,000","525,286,000","437,462,000","332,891,000","302,213,000","292,073,000","273,581,000","244,800,000","226,300,000","197,400,000","173,500,000","132,600,000","115,100,000","94,900,000","65,000,000","49,300,000","44,000,000","38,700,000","35,800,000","26,400,000","17,500,000"
