name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"125,612,000,000","110,769,000,000","102,355,000,000","97,539,000,000","91,799,000,000","77,062,000,000","70,337,000,000","65,669,000,000","64,698,000,000","61,402,000,000","54,742,000,000","50,726,463,600","47,795,444,000","44,696,246,000","41,896,251,080","37,695,766,890","34,488,779,100","31,453,254,360","28,829,688,510","24,601,020,400","31,043,248,990","27,340,292,154","25,685,910,828","21,046,601,092","20,145,170,000","21,129,303,230","19,240,042,500","16,775,801,250","15,272,205,100","12,499,841,600","11,660,255,250","9,226,282,800","8,266,854,000","8,150,175,000","7,362,133,200"
	CurrentAssets,"62,456,000,000","59,067,000,000","60,080,000,000","59,766,000,000","55,140,000,000","46,293,000,000","42,058,000,000","40,163,000,000","39,591,000,000","37,293,000,000","32,666,000,000","29,137,092,400","24,332,412,000","20,839,412,800","19,529,730,040","17,873,797,170","16,301,313,900","13,751,951,670","13,825,886,550","12,529,114,400","15,931,936,550","13,062,860,020","12,842,270,712","9,753,085,013","9,634,212,800","13,204,066,260","9,201,109,500","10,578,571,250","8,487,646,550","6,637,201,600","6,392,756,250","4,891,538,400","4,192,563,050","4,348,962,750","4,289,274,000"
		CashCashEquivalentsAndShortTermInvestments,"15,475,000,000","15,638,000,000","18,852,000,000","20,699,000,000","20,465,000,000","15,905,000,000","14,469,000,000","16,105,000,000","17,502,000,000","16,051,000,000","12,826,000,000","10,184,876,800","7,384,616,000","5,102,491,800","5,017,968,080","3,989,637,870","3,098,254,800","1,741,111,740","3,049,213,650","1,275,370,800","1,973,933,670","798,675,108","1,122,911,280","1,572,002,159","2,999,884,600","6,684,733,370","5,706,441,000","5,818,998,250","6,035,909,450","4,338,353,600","2,947,605,750","2,520,695,800","2,047,814,350","1,994,223,000","2,105,643,600"
			CashAndCashEquivalents,"15,475,000,000","15,638,000,000","18,852,000,000","18,690,000,000","16,923,000,000","14,396,000,000","10,728,000,000","11,553,000,000","13,408,000,000","12,017,000,000","11,296,000,000","8,804,783,200","4,827,616,000","3,271,697,400","3,296,981,540","3,457,320,300","1,265,317,800","1,422,615,690","1,654,093,980","1,275,370,800","1,973,933,670","798,675,108","1,122,911,280","1,572,002,159","2,999,884,600","6,684,733,370","5,706,441,000","5,818,998,250","6,035,909,450","4,338,353,600","2,947,605,750","2,520,695,800","2,047,814,350","1,994,223,000","2,105,643,600"
			OtherShortTermInvestments,,,"0","2,009,000,000","3,542,000,000","1,509,000,000","3,741,000,000","4,552,000,000","4,094,000,000","4,034,000,000","1,530,000,000","1,380,093,600","2,557,000,000","1,830,794,400","1,720,986,540","532,317,570","1,832,937,000","318,496,050","1,395,119,670",,,,,,,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"15,475,000,000","15,638,000,000","18,852,000,000","20,699,000,000","20,465,000,000","15,905,000,000","14,469,000,000","16,105,000,000","17,502,000,000","16,051,000,000","12,826,000,000","10,184,876,800","7,384,616,000","5,102,491,800","5,017,968,080","3,989,637,870","3,098,254,800","1,741,111,740","3,049,213,650","1,275,370,800","1,973,933,670","798,675,108","1,122,911,280","1,572,002,159","2,999,884,600","6,684,733,370","5,706,441,000","5,818,998,250","6,035,909,450","4,338,353,600","2,947,605,750","2,520,695,800","2,047,814,350","1,994,223,000","2,105,643,600"
		AccountsReceivable,"24,912,000,000","22,786,000,000","20,165,000,000","20,234,000,000","15,485,000,000","13,041,000,000","10,907,000,000","9,639,000,000","9,349,000,000","8,500,000,000","7,063,000,000","6,595,563,600","6,101,002,000","5,164,648,400","4,784,720,820","4,088,418,450","3,819,604,200","3,800,719,530","3,876,260,640","4,708,444,400","6,528,027,830",,,,,,,,,,,,,,
		Inventory,"17,641,000,000","16,336,000,000","15,373,000,000","14,341,000,000","12,758,000,000","11,357,000,000","9,552,000,000","9,543,000,000","9,433,000,000","9,689,000,000","10,016,000,000","9,633,909,200","9,031,324,000","8,396,791,600","7,772,807,340","7,210,982,340","6,551,271,600","5,909,871,150","4,745,077,680","3,970,494,000","4,886,779,610","4,641,741,776","2,715,528,132","2,510,199,734","2,272,220,000","2,479,182,930","2,057,526,000","1,667,230,500","1,396,768,700","1,185,812,800","1,327,446,750","1,125,273,800","1,041,891,850","1,208,575,500","1,295,298,000"
		OtherCurrentAssets,,,,,,,,,,"2,403,000,000","1,962,000,000",,,"5,650,600","94,559,700","1,640,855,190","1,915,714,800","997,954,290",,"2,574,805,200","2,543,195,440","1,917,711,922","4,234,197,168",,,,,,,,,"687,400","609,650","-734,250",
		CurrentAssets,"62,456,000,000","59,067,000,000","60,080,000,000","59,766,000,000","55,140,000,000","46,293,000,000","42,058,000,000","40,163,000,000","39,591,000,000","37,293,000,000","32,666,000,000","29,137,092,400","24,332,412,000","20,839,412,800","19,529,730,040","17,873,797,170","16,301,313,900","13,751,951,670","13,825,886,550","12,529,114,400","15,931,936,550","13,062,860,020","12,842,270,712","9,753,085,013","9,634,212,800","13,204,066,260","9,201,109,500","10,578,571,250","8,487,646,550","6,637,201,600","6,392,756,250","4,891,538,400","4,192,563,050","4,348,962,750","4,289,274,000"
