name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
OperatingCashFlow,"46,904,000,000","46,782,000,000","44,616,000,000","41,168,000,000","48,314,000,000","38,287,000,000","31,692,000,000","25,942,000,000","22,214,000,000","21,374,000,000","19,679,000,000","15,378,000,000","12,896,921,200","9,997,870,000","7,741,322,000","8,699,492,400","7,644,519,330","6,178,771,500","4,876,528,410","4,310,669,160","5,261,907,200","3,629,967,910","3,475,574,214","3,031,860,456","1,921,666,906","2,529,923,000","2,662,826,110","1,912,113,000","1,327,888,250","1,186,248,100","1,504,070,400",,,,,
	NetIncome,"40,403,000,000","38,951,000,000","38,628,000,000","38,130,000,000","37,925,000,000","34,860,000,000","26,481,000,000","25,184,000,000","21,432,000,000","17,097,000,000","14,403,000,000","10,768,000,000","9,666,004,400","8,535,266,000","6,452,985,200","5,856,397,420","5,048,785,200","4,872,064,800","4,090,904,820","3,851,198,610","3,088,162,000","2,410,121,260","2,408,763,364","2,219,119,182","1,802,530,706","1,561,735,600","1,431,443,860","1,430,347,500","1,272,690,250","930,193,550","760,121,600","745,986,750","637,907,200","480,404,200","521,317,500","607,759,200"
	DepreciationAndAmortization,"5,689,000,000","5,661,000,000","3,925,000,000","3,182,000,000","3,193,000,000","2,959,000,000","3,435,000,000","2,799,000,000","2,693,000,000",,"2,467,000,000","2,551,000,000","2,449,933,600","3,012,146,000","2,141,577,400","1,929,017,880","1,904,270,070","1,625,992,500","1,330,605,720","1,077,667,290","1,034,734,800","1,426,850,930","1,468,696,012","1,142,082,936","1,067,460,352","1,138,881,000","1,055,036,150","799,092,000","693,738,500","591,941,350","520,417,600",,,,,
	DeferredIncomeTax,"9,949,000,000","9,602,000,000","8,987,000,000","10,550,000,000","9,873,000,000","8,623,000,000","7,615,000,000","7,355,000,000","6,379,000,000",,,,,,,,,,,,,,,"-143,102,718",,"592,439,800","-210,399,140","53,001,000","-144,267,500","117,087,300","-26,569,600",,,,,
	StockBasedCompensation,,"363,000,000","414,000,000","292,000,000","368,000,000","442,000,000","371,000,000","409,000,000","308,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-8,756,000,000","-3,388,000,000","-3,370,000,000","-3,634,000,000","-3,708,000,000","-2,157,000,000","-2,148,000,000","-265,000,000","274,000,000","434,000,000","297,000,000","-224,000,000","-561,666,000","-1,027,914,000","-1,028,409,200","-390,846,760","109,756,200","-1,271,230,500","-714,846,690","-1,453,597,740","914,416,800","-170,039,230","-236,290,642","-237,591,594","-802,977,988","54,865,800","44,390,570","-542,241,000","-654,221,750","-587,210,550","294,576,000",,,,,
	ChangesInAccountReceivables,,"-2,126,000,000","-2,621,000,000","69,000,000","-4,749,000,000","-2,444,000,000","-2,134,000,000","-1,268,000,000","-290,000,000","-849,000,000","-1,878,000,000","-740,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,,"-1,305,000,000","-963,000,000","-1,032,000,000","-1,583,000,000","-1,401,000,000","-1,805,000,000","-9,000,000","-110,000,000","256,000,000","327,000,000","-405,000,000","-652,602,400","-618,794,000","-683,722,600","-617,790,040","-625,610,340","-573,531,900","-1,132,430,400","-843,755,010","-376,996,400","-192,218,260","-154,767,186","-115,714,638","-229,337,185","106,960,600","-125,874,630","-380,520,000","-276,617,250","-208,155,200","140,934,400",,,,,
	ChangeInAccountPayable,,"-398,000,000","1,146,000,000","-401,000,000","1,084,000,000","-23,000,000","858,000,000","233,000,000","568,000,000","385,000,000","1,805,000,000","921,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"36,987,000,000","35,551,000,000","32,206,000,000","32,520,000,000","40,047,000,000","31,881,000,000","27,357,000,000","22,298,000,000","18,592,000,000","18,042,000,000","15,782,000,000","12,313,000,000","10,853,526,800","7,568,720,000","4,424,419,800","4,803,632,760","4,483,540,770","3,665,874,000","927,177,390","375,930,450","2,895,653,200","1,700,392,300","1,336,857,298","421,776,432","-126,284,372","1,032,474,600","925,512,980","-487,201,500","-624,113,750","-163,803,950","332,697,600",,,,,
	OtherNonCashItems,"3,971,000,000","222,000,000","472,000,000","135,000,000","-345,000,000","-3,534,000,000","121,000,000","-1,000,000","673,000,000","9,117,000,000","20,385,000,000","2,283,000,000","1,438,934,800","761,986,000","954,951,400","-2,212,696,980","-2,771,344,050",,"7,077,690","8,354,010",,,"636,902",,,"554,200",,"214,042,500","627,250","591,350","17,328,000",,,,,
	OperatingCashFlow,"46,904,000,000","46,782,000,000","44,616,000,000","41,168,000,000","48,314,000,000","38,287,000,000","31,692,000,000","25,942,000,000","22,214,000,000","21,374,000,000","19,679,000,000","15,378,000,000","12,896,921,200","9,997,870,000","7,741,322,000","8,699,492,400","7,644,519,330","6,178,771,500","4,876,528,410","4,310,669,160","5,261,907,200","3,629,967,910","3,475,574,214","3,031,860,456","1,921,666,906","2,529,923,000","2,662,826,110","1,912,113,000","1,327,888,250","1,186,248,100","1,504,070,400",,,,,
InvestingCashFlow,"-10,589,000,000","-11,509,000,000","-12,080,000,000","-6,571,000,000","-6,790,000,000","-6,098,000,000","-2,064,000,000","-2,773,000,000","-4,070,000,000","-3,459,000,000","-5,579,000,000","-3,046,000,000","-1,385,442,800","-1,518,858,000","-2,520,167,600","-4,904,496,440","-2,014,026,270","-2,317,778,400","-4,381,090,110","-4,126,880,940","-2,542,720,400","-1,863,038,520","-2,141,901,426","-3,295,470,726","-1,991,957,264","-1,011,969,200","-2,254,797,720","-2,936,119,500","-2,387,940,750","-1,777,006,750","-1,710,851,200",,,,,
	CapitalExpenditure,"-9,917,000,000","-11,231,000,000","-12,410,000,000","-8,648,000,000","-8,267,000,000","-6,406,000,000","-4,335,000,000","-3,644,000,000","-3,622,000,000","-3,332,000,000","-3,897,000,000","-3,065,000,000","-2,043,394,400","-2,429,150,000","-3,316,902,200","-3,895,859,640","-3,160,978,560","-2,512,897,500","-3,949,351,020","-3,934,738,710","-2,366,254,000","-1,929,575,610","-2,138,716,916","-2,610,084,024","-2,047,951,278","-1,497,448,400","-1,737,313,130","-2,399,314,500","-1,952,002,000","-1,350,052,050","-1,171,372,800",,,,,
	PurchaseOfBusiness,"-492,000,000","-100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PurchaseOfInvestment,,"-350,000,000","-248,000,000","-40,000,000","-643,000,000","-3,542,000,000",,,"-501,000,000",,"-2,913,000,000",,,"-542,084,000",,"-1,027,548,740",,,,"-300,744,360",,,,,,,,,,,,,,,,
