name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"118,370,000,000","145,563,000,000","133,079,000,000","130,124,000,000","131,556,000,000","125,387,000,000","126,254,000,000","124,216,000,000","117,496,000,000","123,318,000,000","95,505,000,000","78,299,000,000","75,452,000,000","68,008,000,000","57,732,000,000","54,469,000,000","49,317,000,000","45,144,000,000","40,305,000,000","35,484,000,000","41,212,000,000","40,214,389,534.884"
	CurrentAssets,"29,504,000,000","35,563,000,000","28,208,000,000","24,931,000,000","22,845,000,000","37,561,000,000","30,542,000,000","28,004,000,000","24,084,000,000","26,685,000,000","33,691,000,000","20,881,000,000","27,430,000,000","21,404,000,000","21,443,000,000","24,611,000,000","22,273,000,000","20,870,000,000","20,640,000,000","20,084,000,000","21,811,000,000","21,162,063,953.488"
		CashCashEquivalentsAndShortTermInvestments,"11,446,000,000","15,964,000,000","9,485,000,000","7,777,000,000","5,447,000,000","13,862,000,000","9,222,000,000","8,119,000,000","4,957,000,000","8,134,000,000","17,449,000,000","3,738,000,000","13,201,000,000","7,955,000,000","10,933,000,000","14,593,000,000","13,259,000,000","12,575,000,000","13,183,000,000","12,514,000,000","10,269,000,000","9,691,860,465.116"
			CashAndCashEquivalents,"11,112,000,000","13,271,000,000","8,860,000,000","7,007,000,000","4,674,000,000","13,023,000,000","6,687,000,000","5,552,000,000","3,709,000,000","5,319,000,000","2,894,000,000","2,038,000,000","5,360,000,000","3,815,000,000","6,321,000,000","6,083,000,000","5,646,000,000","5,813,000,000","6,727,000,000","5,368,000,000","3,950,000,000","5,060,319,767.442"
			OtherShortTermInvestments,"334,000,000","2,693,000,000","625,000,000","770,000,000","773,000,000","839,000,000","2,535,000,000","2,567,000,000","1,248,000,000","2,815,000,000","14,555,000,000","1,700,000,000","7,841,000,000","4,140,000,000","4,612,000,000","8,510,000,000","7,613,000,000","6,762,000,000","6,456,000,000","7,146,000,000","6,319,000,000","4,631,540,697.674"
			CashCashEquivalentsAndShortTermInvestments,"11,446,000,000","15,964,000,000","9,485,000,000","7,777,000,000","5,447,000,000","13,862,000,000","9,222,000,000","8,119,000,000","4,957,000,000","8,134,000,000","17,449,000,000","3,738,000,000","13,201,000,000","7,955,000,000","10,933,000,000","14,593,000,000","13,259,000,000","12,575,000,000","13,183,000,000","12,514,000,000","10,269,000,000","9,691,860,465.116"
		AccountsReceivable,"8,301,000,000","8,727,000,000","8,600,000,000","8,202,000,000","8,180,000,000","8,275,000,000","9,902,000,000","10,051,000,000","10,323,000,000","9,873,000,000","8,310,000,000","7,026,000,000","6,648,000,000","6,161,000,000","5,343,000,000","4,851,000,000","4,376,000,000","3,707,000,000","3,228,000,000","3,221,000,000",,"4,225,290,697.674"
		Inventory,"5,982,000,000","6,956,000,000","6,867,000,000","6,255,000,000","6,226,000,000","6,093,000,000","7,267,000,000","6,744,000,000","5,930,000,000","6,093,000,000","5,830,000,000","5,792,000,000","5,455,000,000","4,498,000,000","3,725,000,000","3,558,000,000","3,346,000,000","2,971,000,000","2,482,000,000","2,513,000,000","4,331,000,000","4,865,552,325.581"
		OtherCurrentAssets,"2,680,000,000",,,,"2,992,000,000","2,530,000,000","3,392,000,000","3,090,000,000",,"2,585,000,000","2,102,000,000","2,379,000,000","2,126,000,000","736,000,000","1,442,000,000","1,609,000,000","1,292,000,000","1,617,000,000","1,747,000,000","1,836,000,000","2,782,000,000","2,379,360,465.116"
		CurrentAssets,"29,504,000,000","35,563,000,000","28,208,000,000","24,931,000,000","22,845,000,000","37,561,000,000","30,542,000,000","28,004,000,000","24,084,000,000","26,685,000,000","33,691,000,000","20,881,000,000","27,430,000,000","21,404,000,000","21,443,000,000","24,611,000,000","22,273,000,000","20,870,000,000","20,640,000,000","20,084,000,000","21,811,000,000","21,162,063,953.488"
	TotalNonCurrentAssets,"88,866,000,000","110,000,000,000","104,871,000,000","105,193,000,000","108,711,000,000","87,826,000,000","95,712,000,000","96,212,000,000","93,412,000,000","96,633,000,000","61,814,000,000","57,418,000,000","48,022,000,000","46,604,000,000","36,289,000,000","29,858,000,000","27,044,000,000","24,274,000,000","19,665,000,000","15,400,000,000","19,401,000,000","19,052,325,581.395"
		NetPPE,"13,746,000,000","15,696,000,000","16,464,000,000","15,641,000,000","15,982,000,000","15,983,000,000","18,197,000,000","16,939,000,000","15,627,000,000","15,840,000,000","14,075,000,000","13,100,000,000","12,633,000,000","10,945,000,000","8,679,000,000","8,497,000,000","7,597,000,000","6,338,000,000","5,468,000,000","5,507,000,000","7,337,000,000","8,237,645,348.837"
			GrossPPE,"28,676,000,000","34,028,000,000","34,010,000,000","31,296,000,000","31,448,000,000","31,428,000,000","35,456,000,000","32,772,000,000","29,935,000,000","28,957,000,000","25,900,000,000","23,973,000,000","22,800,000,000","19,703,000,000","16,514,000,000","16,846,000,000","14,893,000,000","12,878,000,000","10,784,000,000","10,703,000,000","14,473,000,000","8,237,645,348.837"
			AccumulatedDepreciation,"-14,930,000,000","-18,332,000,000","-17,546,000,000","-15,655,000,000","-15,466,000,000","-15,445,000,000","-17,259,000,000","-15,833,000,000","-14,308,000,000","-13,117,000,000","-11,825,000,000","-10,873,000,000","-10,167,000,000","-8,758,000,000","-7,835,000,000","-8,349,000,000","-7,296,000,000","-6,540,000,000","-5,316,000,000","-5,196,000,000","-7,136,000,000",
			NetPPE,"13,746,000,000","15,696,000,000","16,464,000,000","15,641,000,000","15,982,000,000","15,983,000,000","18,197,000,000","16,939,000,000","15,627,000,000","15,840,000,000","14,075,000,000","13,100,000,000","12,633,000,000","10,945,000,000","8,679,000,000","8,497,000,000","7,597,000,000","6,338,000,000","5,468,000,000","5,507,000,000","7,337,000,000","8,237,645,348.837"
		InvestmentsAndAdvances,"11,162,000,000","10,697,000,000","17,613,000,000","16,500,000,000","17,780,000,000","10,152,000,000","10,748,000,000","9,957,000,000","9,560,000,000","10,225,000,000","20,426,000,000",,"10,573,000,000",,,,,,,,,"4,808,866,279.07"
		Goodwill,"26,524,000,000","35,294,000,000","31,750,000,000","30,980,000,000","31,174,000,000","29,311,000,000","31,026,000,000","31,090,000,000","29,943,000,000","29,692,000,000","12,039,000,000","11,285,000,000","11,854,000,000","10,659,000,000",,,,,,,,
		OtherIntangibleAssets,"28,787,000,000","38,719,000,000","29,997,000,000","31,340,000,000","34,217,000,000","23,832,000,000","27,841,000,000","30,331,000,000","31,969,000,000","35,231,000,000",,"9,534,000,000","-6,696,000,000","10,571,000,000","13,294,000,000","5,629,000,000","4,708,000,000","4,407,000,000","3,952,000,000","3,555,000,000","2,021,000,000",
		OtherNonCurrentAssets,"176,000,000","290,000,000","201,000,000","200,000,000","156,000,000","136,000,000","108,000,000","135,000,000","418,000,000","405,000,000","10,659,000,000","19,076,000,000","16,091,000,000","10,526,000,000","10,915,000,000","13,543,000,000","12,338,000,000","11,345,000,000","8,293,000,000","6,338,000,000","10,043,000,000","1,852,470,930.233"
