name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"49,528,000,000","48,677,000,000","53,166,000,000","50,135,000,000","49,436,000,000","50,387,000,000","53,634,000,000","58,831,000,000","57,561,000,000","59,375,000,000","51,561,000,000","45,103,000,000","42,584,000,000","38,947,000,000","36,031,000,000","32,212,000,000","28,247,000,000","24,864,000,000","23,151,000,000","19,335,000,000","21,832,000,000","20,418,000,000","23,039,244,186.047"
	OperatingRevenue,"48,205,000,000","47,498,000,000","51,900,000,000","49,109,000,000","48,518,000,000","49,440,000,000","52,419,000,000","57,920,000,000","56,673,000,000","59,375,000,000","51,561,000,000","45,103,000,000","41,459,000,000","38,947,000,000","36,031,000,000","32,212,000,000","28,247,000,000","24,864,000,000","23,151,000,000","19,335,000,000","21,832,000,000","20,418,000,000","23,039,244,186.047"
CostOfRevenue,"14,919,000,000","14,425,000,000","18,407,000,000","17,175,000,000","17,520,000,000","17,404,000,000","17,345,000,000","19,608,000,000","18,756,000,000","18,983,000,000","14,488,000,000","12,179,000,000","11,439,000,000","11,032,000,000","10,299,000,000","8,554,000,000","6,625,000,000","5,894,000,000","5,441,000,000","4,759,000,000","6,245,000,000","5,229,000,000","7,305,232,558.14"
GrossProfit,"34,609,000,000","34,252,000,000","34,759,000,000","32,960,000,000","31,916,000,000","32,983,000,000","36,289,000,000","39,223,000,000","38,805,000,000","40,392,000,000","37,073,000,000","32,924,000,000","31,145,000,000","27,915,000,000","25,732,000,000","23,658,000,000","21,622,000,000","18,970,000,000","17,710,000,000","14,576,000,000","15,587,000,000","15,189,000,000","15,734,011,627.907"
OperatingExpense,"25,332,000,000","25,166,000,000","26,590,000,000","24,331,000,000","23,648,000,000","24,006,000,000","25,200,000,000","28,313,000,000","27,294,000,000","29,394,000,000","25,547,000,000","22,942,000,000","22,181,000,000","19,689,000,000","18,501,000,000","16,753,000,000","15,083,000,000","13,081,000,000","12,076,000,000","10,184,000,000","10,781,000,000","10,571,000,000","10,388,081,395.349"
	SellingGeneralAndAdministration,"14,308,000,000","14,369,000,000","16,471,000,000","14,997,000,000","14,192,000,000","14,247,000,000","14,993,000,000","17,609,000,000","17,290,000,000","18,049,000,000","15,797,000,000","14,331,000,000","14,097,000,000","13,259,000,000","12,411,000,000","11,544,000,000","10,413,000,000","9,325,000,000","8,977,000,000","7,656,000,000","7,941,000,000","6,952,000,000","7,680,959,302.326"
		GeneralAndAdministrativeExpense,,,,"2,136,000,000","2,194,000,000","2,475,000,000","2,616,000,000","3,060,000,000","2,937,000,000","2,970,000,000","2,481,000,000","2,281,000,000",,"2,133,000,000",,,,,,,,,"1,292,877,906.977"
			OtherGandA,,,,"2,136,000,000","2,194,000,000","2,475,000,000","2,616,000,000","3,060,000,000","2,937,000,000","2,970,000,000","2,481,000,000","2,281,000,000",,"2,133,000,000",,,,,,,,,"1,292,877,906.977"
		SellingAndMarketingExpense,,,,"12,861,000,000","11,998,000,000","11,772,000,000","12,377,000,000","14,549,000,000","14,353,000,000","15,079,000,000","13,316,000,000","12,050,000,000",,"11,126,000,000",,,,,,,,,"6,388,081,395.349"
	ResearchAndDevelopment,"9,553,000,000","9,402,000,000","9,074,000,000","8,972,000,000","9,039,000,000","8,935,000,000","9,086,000,000","9,852,000,000","9,332,000,000","9,583,000,000","9,070,000,000","7,469,000,000","7,217,000,000","6,430,000,000","5,349,000,000","4,846,000,000","4,207,000,000","3,756,000,000","3,099,000,000","2,528,000,000","2,840,000,000","2,670,000,000","2,707,122,093.023"
