name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
OperatingCashFlow,,"12,588,000,000","15,827,000,000","16,470,000,000","15,901,000,000","14,512,000,000","16,883,000,000","17,765,000,000","17,054,000,000","20,240,000,000","11,454,000,000","16,587,000,000","18,238,000,000","13,353,000,000","17,594,000,000","14,733,000,000","16,340,000,000","11,739,000,000","10,183,000,000","9,263,000,000","6,195,000,000","3,056,000,000","2,929,000,000","1,629,000,000","2,067,000,000","1,821,400,000","1,488,500,000","1,263,000,000","807,000,000","847,600,000","860,500,000","655,800,000",,,,
	NetIncome,"14,172,000,000","16,273,000,000","11,153,000,000","21,308,000,000","7,215,000,000","6,960,000,000","9,135,000,000","22,003,000,000","14,570,000,000","10,009,000,000","8,257,000,000","8,635,000,000","8,104,000,000","8,144,000,000","19,337,000,000","8,085,000,000","11,361,000,000","3,910,000,000","9,126,000,000","7,788,000,000","3,726,000,000","3,179,000,000","3,351,000,000","2,213,000,000","1,929,000,000","1,572,900,000","1,298,400,000","657,500,000","810,900,000","722,100,000","801,200,000","681,100,000","791,300,000","690,200,000","660,000,000","579,700,000"
	DepreciationAndAmortization,,"6,010,000,000","6,384,000,000","6,269,000,000","5,757,000,000","5,157,000,000","5,537,000,000","6,410,000,000","7,611,000,000","9,026,000,000","8,487,000,000","4,757,000,000","5,090,000,000","5,200,000,000","5,293,000,000","5,576,000,000","5,093,000,000","4,078,000,000","1,036,000,000","1,068,000,000","968,000,000","542,000,000","489,000,000","502,000,000","430,000,000","374,000,000","292,000,000","258,200,000","263,900,000","244,100,000","224,800,000","207,100,000",,,,
	DeferredIncomeTax,,"614,000,000","-2,205,000,000","-2,410,000,000","-700,000,000","-18,000,000","317,000,000","1,703,000,000","2,198,000,000","454,000,000","1,953,000,000","-9,582,000,000","-1,331,000,000","-2,788,000,000","-1,945,000,000","-1,376,000,000","-1,579,000,000","-104,000,000","-385,000,000","217,000,000","-265,000,000","286,000,000","-61,000,000","24,000,000","75,000,000","-12,900,000","32,600,000","-336,100,000",,,,,,,,
	StockBasedCompensation,,"718,000,000","949,000,000","840,000,000","691,000,000","669,000,000","586,000,000","523,000,000","481,000,000","419,000,000","405,000,000","349,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,,"-4,031,000,000","-926,000,000","1,296,000,000","85,000,000","564,000,000","1,423,000,000","-3,392,000,000","-1,942,000,000","2,729,000,000","-10,426,000,000","12,517,000,000","4,859,000,000","-800,000,000","3,016,000,000","-586,000,000","-862,000,000","-693,000,000","3,000,000","446,000,000","1,803,000,000","-1,261,000,000","224,000,000","-1,110,000,000","-381,000,000","-77,600,000","-128,600,000","-79,600,000","-370,600,000","-342,700,000","-59,400,000","-223,100,000",,,,
	ChangesInAccountReceivables,,"-742,000,000","-644,000,000","259,000,000","-134,000,000","21,000,000","148,000,000","940,000,000","275,000,000","-66,000,000","-608,000,000","-472,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,,"-1,050,000,000","-717,000,000","-357,000,000","365,000,000","-199,000,000","175,000,000","-538,000,000","-631,000,000","1,084,000,000","2,917,000,000","1,631,000,000","294,000,000","720,000,000","118,000,000","72,000,000","-542,000,000","-202,000,000","-129,000,000","-102,000,000","-436,000,000","-240,000,000","-439,000,000","-375,000,000","-149,000,000","-24,600,000","-110,800,000","-142,300,000","-116,100,000","-118,000,000","-38,800,000","-77,100,000",,,,
	ChangeInAccountPayable,,"-564,000,000","431,000,000","46,000,000","871,000,000","254,000,000","297,000,000","382,000,000","579,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,,"9,994,000,000","13,631,000,000","14,253,000,000","13,902,000,000","13,016,000,000","15,300,000,000","16,300,000,000","15,727,000,000","18,580,000,000","9,941,000,000","15,382,000,000","16,537,000,000","11,473,000,000","15,544,000,000","12,627,000,000","13,739,000,000","9,098,000,000","8,425,000,000","7,060,000,000","4,004,000,000","1,495,000,000","1,731,000,000","686,000,000","1,293,000,000","1,125,100,000","817,000,000","628,800,000","132,800,000","253,800,000","313,000,000","199,300,000",,,,
